,Teaching Activities
0,91-970 - EMERGENCY MEDICINE (Fall Term 2020)  2020
1,STP2200 - EXPOSURE TO EMERGENCY MEDICINE (Fall Term 2020)  2020
2,STP2200 - EXPOSURE TO EMERGENCY MEDICINE (Fall Term 2019)  2019
3,STP2200 - EXPOSURE TO EMERGENCY MEDICINE (Spring Term 2019)  2019
4,91-970 - EMERGENCY MEDICINE (Spring Term 2019)  2019
5,91-970 - EMERGENCY MEDICINE (Spring Term 2019)  2019
6,STP2200 - EXPOSURE TO EMERGENCY MEDICINE (Fall Term 2018)  2018
7,91-970 - EMERGENCY MEDICINE (Fall Term 2018)  2018
8,STP2200 - EXPOSURE TO EMERGENCY MEDICINE (Fall Term 2018)  2018
9,STP2200 - EXPOSURE TO EMERGENCY MEDICINE (Fall Term 2017)  2017
10,91-970 - EMERGENCY MEDICINE (Spring Term 2017)  2017
11,91-970 - EMERGENCY MEDICINE (Spring Term 2017)  2017
12,91-970 - EMERGENCY MEDICINE (Spring Term 2017)  2017
13,STP2200 - EXPOSURE TO EMERGENCY MEDICINE (Fall Term 2015)  2015
