,Teaching Activities
0,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021 - 2022
1,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021 - 2022
2,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021 - 2022
3,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021 - 2022
4,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021 - 2022
5,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
6,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
7,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
8,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
9,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
10,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
11,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
12,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
13,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
14,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
15,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2021)  2021
16,91-965 - AMBULATORY PEDIATRICS (Spring Term 2021)  2021
17,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
18,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
19,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
20,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
21,STP2311 - HOW TO BE A PEDS AI (Spring Term 2021)  2021
22,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
23,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
24,02-352TLC - NEUROLOGY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
25,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
26,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
27,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
28,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
29,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
30,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2021)  2021
31,91-962M - GENERAL PEDIATRICS (Spring Term 2021)  2021
32,91-965 - AMBULATORY PEDIATRICS (Spring Term 2021)  2021
33,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2021)  2021
34,91-962M - GENERAL PEDIATRICS (Spring Term 2021)  2021
35,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2021)  2021
36,91-965 - AMBULATORY PEDIATRICS (Spring Term 2021)  2021
37,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2020)  2020
38,91-965 - AMBULATORY PEDIATRICS (Fall Term 2020)  2020
39,02-102TLC - LONGITUDINAL INTEGRATED CLERKSHIP PARTICIPATION (Fall Term 2020)  2020
40,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2020)  2020
41,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
42,02-352TLC - NEUROLOGY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
43,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
44,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
45,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2020)  2020
46,91-962M - GENERAL PEDIATRICS (Fall Term 2020)  2020
47,91-965 - AMBULATORY PEDIATRICS (Fall Term 2020)  2020
48,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2020)  2020
49,91-962M - GENERAL PEDIATRICS (Fall Term 2020)  2020
50,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
51,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2020)  2020
52,91-962M - GENERAL PEDIATRICS (Fall Term 2020)  2020
53,91-965 - AMBULATORY PEDIATRICS (Fall Term 2020)  2020
54,02-102TLC - LONGITUDINAL INTEGRATED CLERKSHIP PARTICIPATION (Fall Term 2020)  2020
55,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2020)  2020
56,91-962M - GENERAL PEDIATRICS (Fall Term 2020)  2020
57,91-965 - AMBULATORY PEDIATRICS (Fall Term 2020)  2020
58,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
59,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
60,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
61,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2020)  2020
62,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
63,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
64,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
65,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2020)  2020
66,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
67,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
68,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
69,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
70,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
71,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2020)  2020
72,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2020)  2020
73,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2020)  2020
74,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2019)  2019
75,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2019)  2019
76,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
77,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
78,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
79,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
80,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2019)  2019
81,91-965 - AMBULATORY PEDIATRICS (Fall Term 2019)  2019
82,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
83,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
84,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
85,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019
86,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019
87,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019
88,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019
89,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2019)  2019
90,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2019)  2019
91,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2019)  2019
92,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
93,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
94,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
95,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
96,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
97,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
98,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
99,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
100,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
101,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2019)  2019
102,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
103,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
104,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
105,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
106,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
107,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
108,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
109,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
110,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
111,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
112,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
113,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
114,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
115,STP3000 - MENTORSHIP THROUGH PAST EXPERIENCES (Spring Term 2019)  2019
116,02-682TLC - PSYCHIATRY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
117,02-102TLC - LONGITUDINAL INTEGRATED CLERKSHIP PARTICIPATION (Fall Term 2018)  2018 - 2019
118,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
119,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
120,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
121,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
122,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
123,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
124,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
125,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
126,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
127,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
128,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
129,02-522TLC - PEDIATRICS LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
130,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
131,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2019)  2019
132,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Spring Term 2019)  2019
133,91-965 - AMBULATORY PEDIATRICS (Spring Term 2019)  2019
134,52-527 - EVIDENCE-BASED MEDICINE IN PEDIATRICS (Fall Term 2018)  2018 - 2019
