,Teaching Activities
0,NAH692L - Residency: Adult/Gero NP (Summer Term 2021)  2021
1,NAH692L - Residency: Adult/Gero NP (Summer Term 2021)  2021
2,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2021)  2021
3,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2021)  2021
4,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2020)  2020
5,NAH692L - Residency: Adult/Gero NP (Summer Term 2020)  2020
6,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2020)  2020
7,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2020)  2020
8,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2019)  2019
9,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2019)  2019
10,NAH692L - Residency: Adult/Gero NP (Summer Term 2019)  2019
11,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2019)  2019
12,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2018)  2018
13,NAH692L - Residency: Adult/Gero NP (Summer Term 2018)  2018
14,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2018)  2018
15,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2017)  2017
16,NAH692L - Residency: Adult/Gero NP (Summer Term 2017)  2017
17,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2017)  2017
18,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2016)  2016
