,Principal Investigator On
0,Amino Acid Transport and the Biology of Human Gliomas  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
1,Amino Acid Transport and the Biology of Human Gliomas  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
2,Astrocyte-Vascular Coupling in a Mouse Model of Alzheimer's Disease  awarded by  ALZHEIMER'S OF CENTRAL ALABAMA
3,Bradykinin as a Strong Promoter of Motility and Invasion of Glioma Cells  awarded by  American Brain Tumor Association
4,Center for Glial Biology in Medicine Research Recruitment Core Center  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
5,Glioma-Astrocyte Vascular Interactions  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
6,Glutamate Release Promotes Tumor Growth and Tumor-Associated Epilepsy  awarded by  American Brain Tumor Association
7,Properties and Function of Glia Ion Channels  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
8,Radiation Resistance of Brain Tumor Stem Cells  awarded by  American Brain Tumor Association
9,Regulation of CIC-3 in Human Malignant Glioma  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
10,Regulation of the Vasculature by Invading Glioma Cells  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
11,Role of CL-Channels and Transporters in Tumor-Associated Epilepsy  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
12,The Role of Astrogliosis in Tumor-Associated Epilepsy  awarded by  Epilepsy Foundation of America
13,"The Role of Ion Transport in Glioma Cell Migration, Proliferation and Apoptosis  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS"
