,Year,Title,Altmetric
0,2021,Molecular mechanisms of inhibiting glucosyltransferases for biofilm formation in Streptococcus mutans. International Journal of Oral Science. 13.  2021  10.1038/s41368-021-00137-1,
1,2021,The ZO-1 protein Polychaetoid as an upstream regulator of the Hippo pathway in Drosophila. PLoS Genetics. 17.  2021  10.1371/journal.pgen.1009894,
2,2021,Post-translational modification of Streptococcus sanguinis SpxB influences protein solubility and H2O2 production  2021  10.1111/omi.12348,
3,2021,Structure-function characterization of Streptococcus intermedius surface antigen pas. Journal of Bacteriology. 203.  2021  10.1128/JB.00175-21,
4,2021,"Structural and functional analysis of the C-terminal region of Streptococcus gordonii SspB. Acta Crystallographica. Section d, Structural Biology. 77:1206-1215.  2021  10.1107/S2059798321008135",
5,2021,Insights Into the Oral Microbiome and Barrett's Esophagus Early Detection: A Narrative Review. Clinical and Translational Gastroenterology. 12:e00390.  2021  10.14309/ctg.0000000000000390,
6,2021,Autism-Associated Variant in the SLC6A3 Gene Alters the Oral Microbiome and Metabolism in a Murine Model. Frontiers in Psychiatry. 12.  2021  10.3389/fpsyt.2021.655451,
7,2021,Multiple factors are involved in regulation of extracellular membrane vesicle biogenesis in Streptococcus mutans  2021  10.1111/omi.12318,
8,2021,Discovery of Potent Inhibitors of Streptococcus mutans Biofilm with Antivirulence Activity. ACS Medicinal Chemistry Letters. 12:48-55.  2021  10.1021/acsmedchemlett.0c00373,
9,2021,"Transcriptional programming in arteriosclerotic,disease; A Multifaceted Function of the Runx2 (Runt-Related Transcription Factor 2)  2021  10.1161/ATVBAHA.120.313791",
10,2020,Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. Journal of Dental Research. 99:969-976.  2020  10.1177/0022034520914519,
11,2020,"Intracellular metabolism analysis of Clostridium cellulovorans via modeling integrating proteomics, metabolomics and fermentation. Process Biochemistry. 89:9-19.  2020  10.1016/j.procbio.2019.10.032",
12,2020,Pulp–dentin tissue healing response: A discussion of current biomedical approaches. Journal of Clinical Medicine. 9.  2020  10.3390/jcm9020434,
13,2020,Arterial Stiffness: A Focus on Vascular Calcification and Its Link to Bone Mineralization  2020  10.1161/ATVBAHA.120.313131,
14,2019,Metabolic stress and cardiovascular disease in diabetes mellitus: The role of protein O -GlcNAc modification  2019  10.1161/ATVBAHA.119.312192,
15,2019,Dietary Nitrite Drives Disease Outcomes in Oral Polymicrobial Infections. Journal of Dental Research. 98:1020-1026.  2019  10.1177/0022034519855348,
16,2019,Signal transduction of streptococci by cyclic dinucleotide second messengers. Current Issues in Molecular Biology. 32:87-122.  2019  10.21775/CIMB.032.087,
17,2019,"Cloning, expression, purification, and preliminary characterization of single-crystal X-ray diffraction of glucosyltransferase B of streptococcus mutans  2019  10.1177/1934578X19849339",
18,2019,Quantitative proteomics uncovers the interaction between a virulence factor and mutanobactin synthetases in Streptococcus mutans. mSphere. 4.  2019  10.1128/mSphere.00429-19,
19,2018,Antigen I/II mediates interactions between Streptococcus mutans and Candida albicans  2018  10.1111/omi.12223,
20,2018,Inhibition of Streptococcus mutans Biofilms by the Natural Stilbene Piceatannol Through the Inhibition of Glucosyltransferases. ACS Omega. 3:8378-8385.  2018  10.1021/acsomega.8b00367,
21,2018,Glucan binding protein C of Streptococcus mutans mediates both sucrose-independent and sucrose-dependent adherence. Infection and Immunity. 86.  2018  10.1128/IAI.00146-18,
22,2018,AKT-independent activation of p38 MAP kinase promotes vascular calcification. Redox Biology. 16:97-103.  2018  10.1016/j.redox.2018.02.009,
23,2018,"Oral Biofilms: Pathogens, Matrix, and Polymicrobial Interactions in Microenvironments. Trends in Microbiology. 26:229-242.  2018  10.1016/j.tim.2017.09.008",
24,2018,Activation of the innate immune system by Treponema denticola periplasmic flagella through Toll-like receptor 2. Infection and Immunity. 86.  2018  10.1128/IAI.00573-17,
25,2018,"Correction: ""Activation of the innate immune system by Treponema denticola periplasmic flagella through Toll-like receptor 2"" [Infection and Immunity, 86, 1, e00573-17, (2018)] doi: 10.1128/IAI.00573-17. Infection and Immunity. 86.  2018  10.1128/IAI.00251-18",
26,2018,Glycosyltransferase-mediated biofilm matrix dynamics and virulence of Streptococcus mutans. Applied and Environmental Microbiology. 85.  2018  10.1128/AEM.02247-18,
27,2018,Small molecule inhibitors for streptococcus mutans biofilms. Current Organic Chemistry. 22:2664-2670.  2018  10.2174/1385272822666181128141154,
28,2017,Structure-Based Discovery of Small Molecule Inhibitors of Cariogenic Virulence. Scientific Reports. 7.  2017  10.1038/s41598-017-06168-1,
29,2017,Dietary potassium regulates vascular calcification and arterial stiffness.. JCI insight. 2.  2017  10.1172/jci.insight.94920,
30,2017,"Deficiency of RgpG causes major defects in cell division and biofilm formation, and deficiency of LytR-CpsAPsr family proteins leads to accumulation of cell wall antigens in culture medium by Streptococcus mutans. Applied and Environmental Microbiology. 83.  2017  10.1128/AEM.00928-17",
31,2017,Targeting of Streptococcus mutans Biofilms by a Novel Small Molecule Prevents Dental Caries and Preserves the Oral Microbiome. Journal of Dental Research. 96:807-814.  2017  10.1177/0022034517698096,
32,2017,A commensal streptococcus hijacks a Pseudomonas aeruginosa exopolysaccharide to promote biofilm formation. PLoS Pathogens. 13.  2017  10.1371/journal.ppat.1006300,
33,2016,Engineering and dissecting the glycosylation pathway of a streptococcal serine-rich repeat adhesin. Journal of Biological Chemistry. 291:27354-27363.  2016  10.1074/jbc.M116.752998,
34,2016,"Streptococcus mutans copper chaperone, CopZ, is critical for biofilm formation and competitiveness  2016  10.1111/omi.12150",
35,2016,Effects of diadenylate cyclase deficiency on synthesis of extracellular polysaccharide matrix of Streptococcus mutans revisit. Environmental Microbiology. 18:3612-3619.  2016  10.1111/1462-2920.13440,
36,2016,Fine-tuned production of hydrogen peroxide promotes biofilm formation of streptococcus parasanguinis by a pathogenic cohabitant Aggregatibacter actinomycetemcomitans. Environmental Microbiology. 18:4023-4036.  2016  10.1111/1462-2920.13425,
37,2016,New helical binding domain mediates a glycosyltransferase activity of a bifunctional protein. Journal of Biological Chemistry. 291:22106-22117.  2016  10.1074/jbc.M116.731695,
38,2016,A distinct sortase SrtB anchors and processes a streptococcal adhesin AbpA with a novel structural property. Scientific Reports. 6.  2016  10.1038/srep30966,
39,2016,Cyclic di-AMP mediates biofilm formation  2016  10.1111/mmi.13277,
