,Principal Investigator On
0,A Novel Glycosylation - Associated Protein is Required for Fimbriae Biogenesis  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
1,"Amylase Binding Streptococci, Dental Plaque and Caries  awarded by  UNIVERSITY OF BUFFALO (STATE UNIVERSITY OF NEW YORK)"
2,Amylase Binding and Gene Expression is Streptococcus Gordonii  awarded by  UNIVERSITY OF BUFFALO (STATE UNIVERSITY OF NEW YORK)
3,Bacterial Second Messenger Mediated Virulence Regulation in Streptococcus Mutans  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
4,Biosynthesis and Function of Treponema Denticola Lipooligosaccharide  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
5,BrpA in Virulence Modulation of Streptococcus Mutans  awarded by  Louisiana State University
6,Construction of Prokaryotic Expression Clone for Human Amelogenin and Biomimetic Mineralization Ex Vivo  awarded by  SICHUAN MEDICAL SCIENCE ACADEMY AND SICHUAN PROVINCIAL PEOPLE'S HOSPITAL
7,Dental Academic Research Training Program (DART)  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
8,Dental Academic Research Training Program (DART)  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
9,Determination of the Role of Smu.833 in the Fitness and Virulence of Cariogenic Streptococcus Mutans  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
10,Development of Small Molecules That Inhibit and Disperse Carciogenic Biofilms  awarded by  International Association for Dental Research
11,Dispersion of Streptococcus Mutans Biofilms by a Novel Small Molecule  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
12,Genetic Analysis-Adhesion of S Sanguis to S Pellicle  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
13,Glycosylation & Function of an Oral Streptococcal Adhesin  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
14,Glycosylation and Biogenesis of Streptococcal Adhesins  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
15,Glycosylation and Function of an Oral Streptococcal Adhesion  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
16,"Private Grant  awarded by  MICROBIOTIX, INC."
17,Small Molecule Inhibitors of Carciogenic Biofilms  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
18,Small Molecule Inhibitors of Cariogenic Biofilms  awarded by  National Institute of Dental and Craniofacial Research/NIH/DHHS
