,Year,Title,Altmetric
0,2021,Is there more to metamemory? An argument for two specialized monitoring abilities. Psychonomic Bulletin and Review. 28:1657-1667.  2021  10.3758/s13423-021-01930-z,
1,2021,Structural complexity is negatively associated with brain activity: a novel multimodal test of compensation theories of aging. Neurobiology of Aging. 98:185-196.  2021  10.1016/j.neurobiolaging.2020.10.023,
2,2021,Cellphone addiction explains how cellphones impair learning for lecture materials  2021  10.1002/acp.3745,
3,2021,Is the Future Bright or Bleak? Assessing Past and Future Outlooks Across the Adult Lifespan  2021  10.1177/23337214211046080,
4,2021,Sources of nonreplicability in aging ethnoracial health disparities research.. Psychology and Aging. 2021  10.1037/pag0000606,
5,2020,Risk for Alzheimer's disease: A review of long-term episodic memory encoding and retrieval fMRI studies. Ageing Research Reviews. 62.  2020  10.1016/j.arr.2020.101133,
6,2020,Refining the metamemory in adulthood questionnaire: a 20-item version of change and capacity designed for research and clinical settings. Aging and Mental Health. 24:1054-1063.  2020  10.1080/13607863.2019.1594160,
7,2020,The association between the number of chronic health conditions and advance care planning varies by race/ethnicity. Aging and Mental Health. 24:453-463.  2020  10.1080/13607863.2018.1533521,
8,2020,Linear and nonlinear relationships between cognitive subdomains of ability discrepancy and Alzheimer’s disease biomarkers.. Neuropsychology. 34:211-226.  2020  10.1037/neu0000606,
9,2019,Evidence for maintained post-encoding memory consolidation across the Adult Lifespan Revealed by network complexity  2019  10.3390/e21111072,
10,2019,Biological markers of aging and mental health: A seed and soil model of neurocognitive disorders. Aging and Mental Health. 23:793-799.  2019  10.1080/13607863.2018.1531383,
11,2019,Do older adults with Alzheimer's disease engage in estate planning and advance care planning preparation?. Aging and Mental Health. 23:872-879.  2019  10.1080/13607863.2018.1461192,
12,2019,Cognitive reserve moderates older adults' memory errors in an autobiographical reality monitoring task.. Psychology & Neuroscience. 12:247-256.  2019  10.1037/pne0000161,
13,2019,What makes us busy? Predictors of perceived busyness across the adult lifespan  2019  10.1080/00221309.2018.1540396,
14,2019,A review on the trajectory of attentional mechanisms in aging and the alzheimer’s disease continuum through the attention network test. Yale Journal of Biology and Medicine. 92:37-51.  2019,
15,2019,Dementia Risk Elevates Brain Activity During Memory Retrieval: A Functional MRI Analysis of Middle Aged and Older Adults. Journal of Alzheimer's Disease. 70:1005-1023.  2019  10.3233/JAD-190035,
16,2019,Memory training for adults with probable mild cognitive impairment: a pilot study. Aging and Mental Health. 23:1433-1441.  2019  10.1080/13607863.2018.1484884,
17,2018,Addicted to cellphones: exploring the psychometric properties between the nomophobia questionnaire and obsessiveness in college students. Heliyon. 4.  2018  10.1016/j.heliyon.2018.e00895,
18,2018,The relation between white matter microstructure and network complexity: Implications for processing efficiency. Frontiers in Integrative Neuroscience. 12.  2018  10.3389/fnint.2018.00043,
19,2018,"The effect of cellphones on attention and learning: The influences of time, distraction, and nomophobia. Computers in Human Behavior. 86:52-60.  2018  10.1016/j.chb.2018.04.027",
20,2018,Individual differences in math anxiety and math self-concept promote forgetting in a directed forgetting paradigm  2018  10.1016/j.lindif.2018.04.007,
