,Year,Title,Altmetric
0,2018,Activation of the innate immune system by Treponema denticola periplasmic flagella through Toll-like receptor 2. Infection and Immunity. 86.  2018  10.1128/IAI.00573-17,
1,2018,"Correction: ""Activation of the innate immune system by Treponema denticola periplasmic flagella through Toll-like receptor 2"" [Infection and Immunity, 86, 1, e00573-17, (2018)] doi: 10.1128/IAI.00573-17. Infection and Immunity. 86.  2018  10.1128/IAI.00251-18",
2,2017,Association between early childhood caries and colonization with streptococcus mutans genotypes from mothers. Pediatric Dentistry. 39:130-135.  2017,
3,2016,The pH of beverages in the United States. Journal of the American Dental Association. 147:255-263.  2016  10.1016/j.adaj.2015.10.019,
4,2015,Isolation of Raoultella planticola from refillable antimicrobial liquid soap dispensers in a dental setting. Journal of the American Dental Association. 146:241-245.  2015  10.1016/j.adaj.2014.12.013,
5,2015,Kanamycin resistance cassette for genetic manipulation of Treponema denticola. Applied and Environmental Microbiology. 81:4329-4338.  2015  10.1128/AEM.00478-15,
6,2014,Mutans streptococci enumeration and genotype selection using different bacitracin-containing media. Journal of Microbiological Methods. 103:53-57.  2014  10.1016/j.mimet.2014.05.010,
7,2013,Effects of resolvin d1 on cell survival and cytokine expression of human gingival fibroblasts. Journal of Periodontology. 84:1838-1846.  2013  10.1902/jop.2013.120388,
8,2013,Characteristics of Streptococcus mutans genotypes and dental caries in children. European Journal of Oral Sciences. 121:148-155.  2013  10.1111/eos.12044,
9,2013,A randomized study of sodium hypochlorite versus formocresol pulpotomy in primary molar teeth. International Journal of Paediatric Dentistry. 23:145-152.  2013  10.1111/j.1365-263X.2012.01237.x,
10,2013,Comparative genotyping of Streptococcus mutans by repetitive extragenic palindromic polymerase chain reaction and multilocus sequence typing  2013  10.1111/omi.12002,
11,2012,Evaluation of in-office dental unit waterline testing. General Dentistry. 60.  2012,
12,2011,Real-time quantitative polymerase chain reaction for enumeration of Streptococcus mutans from oral samples. European Journal of Oral Sciences. 119:447-454.  2011  10.1111/j.1600-0722.2011.00888.x,
13,2011,Responses of human neutrophils to nicotine and/or Porphyromonas gingivalis. Journal of Periodontology. 82:1504-1508.  2011  10.1902/jop.2011.100757,
14,2011,Induction of IL-10-producing CD4+ T-cells in chronic periodontitis. Journal of Dental Research. 90:653-658.  2011  10.1177/0022034510397838,
15,2011,Genetic diversity of plaque mutans streptococci with rep-PCR. Journal of Dental Research. 90:331-335.  2011  10.1177/0022034510386375,
16,2010,Repetitive extragenic palindromic PCR for study of Streptococcus mutans diversity and transmission in human populations. Journal of Clinical Microbiology. 48:599-602.  2010  10.1128/JCM.01828-09,
17,2010,The Caries Phenomenon: A Timeline from Witchcraft and Superstition to Opinions of the 1500s to Today's Science.. International Journal of Dentistry. 2010.  2010  10.1155/2010/432767,
18,2009,Maternal transmission of mutans streptococci in severe-early childhood caries. Pediatric Dentistry. 31:193-201.  2009,
19,2008,Effect of glucose on Treponema denticola cell behavior  2008  10.1111/j.1399-302X.2007.00417.x,
20,2008,Comparison of preparation design and material thickness on microbial leakage through Cavit using a tooth model system  2008  10.1016/j.tripleo.2007.10.014,
21,2008,Observations of biofilm growth on human dentin and potential destruction after exposure to antibiotics  2008  10.1016/j.tripleo.2007.11.005,
22,2007,Treponema denticola activates mitogen-activated protein kinase signal pathways through toll-like receptor 2. Infection and Immunity. 75:5763-5768.  2007  10.1128/IAI.01117-07,
23,2007,Nature of symbiosis in oral disease. Journal of Dental Research. 86:8-11.  2007  10.1177/154405910708600102,
24,2005,Salivary Actinomyces naeslundii genospecies 2 and Lactobacillus casei levels predict pregnancy outcomes. Journal of Periodontology. 76:171-177.  2005  10.1902/jop.2005.76.2.171,
25,2003,Genetic diversity of Actinomyces naeslundii genospecies 2 in mother-child pairs. Archives of Oral Biology. 48:851-855.  2003  10.1016/S0003-9969(03)00179-1,
26,2002,Genetic characterization of the oral Actinomyces. Archives of Oral Biology. 47:457-463.  2002  10.1016/S0003-9969(02)00023-7,
27,1998,Effect of temperature and viscosity on the motility of the spirochete Treponema denticola. FEMS Microbiology Letters. 169:251-254.  1998  10.1016/S0378-1097(98)00493-5,
28,1997,Relationship of Treponema denticola periplasmic flagella to irregular cell morphology. Journal of Bacteriology. 179:1628-1635.  1997  10.1128/jb.179.5.1628-1635.1997,
29,1996,Gene inactivation in the oral spirochete Treponema denticola: Construction of an flgE mutant. Journal of Bacteriology. 178:3664-3667.  1996  10.1128/jb.178.12.3664-3667.1996,
30,1992,Morphology and dynamics of protruding spirochete periplasmic flagella. Journal of Bacteriology. 174:832-840.  1992  10.1128/jb.174.3.832-840.1992,
31,1991,Etymology of Loa  1991  10.1016/0169-4758(91)90124-7,
32,1982,Extracellular Iodophilic Polysaccharide Synthesized by Neisseria in Human Dental Plaque. Journal of Dental Research. 61:627-631.  1982  10.1177/00220345820610050101,
33,1978,Streptococcus mutans - an assessment of its physiological potential in relation to dental caries. Revue Canadienne de Biologie. 37:273-289.  1978,
34,1974,Amylase Activity of Bacterial Origin from Human Dental Plaque. Journal of Dental Research. 53:498.  1974  10.1177/00220345740530025701,
