,Teaching Activities
0,PG701 - Cariology Journal Club (Fall Term 2011)  2011
1,PG583 - Graduate Cariology (Spring Term 2011)  2011
2,OB600 - Graduate Cariology (Spring Term 2011)  2011
3,PG701 - Cariology Journal Club (Fall Term 2010)  2010
4,DENT2110 - Pediatric Dentistry (Fall Term 2010)  2010
5,PG701 - Cariology Journal Club (Fall Term 2009)  2009
6,PG583 - Graduate Cariology (Spring Term 2009)  2008 - 2009
7,OB600 - Graduate Cariology (Spring Term 2009)  2009
8,DENT2141 - Cariology (Fall Term 2008)  2008
9,PG701 - Cariology Journal Club (Fall Term 2008)  2008
10,PG701 - Cariology Journal Club (Fall Term 2007)  2007
11,DENT2141 - Cariology (Fall Term 2007)  2007
