,Teaching Activities
0,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2021)  2021
1,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2021)  2021
2,NUR313L - Concepts Professional Nur Prac (Spring Term 2021)  2021
3,NUR313L - Concepts Professional Nur Prac (Fall Term 2020)  2020
4,NUR313L - Concepts Professional Nur Prac (Spring Term 2020)  2020
5,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
6,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
7,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2019)  2019
8,NUR313L - Concepts Professional Nur Prac (Spring Term 2019)  2019
9,NUR313L - Concepts Professional Nur Prac (Fall Term 2017)  2017
10,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2017)  2017
11,NUR313L - Concepts Professional Nur Prac (Spring Term 2017)  2017
12,NUR313L - Concepts Professional Nur Prac (Fall Term 2016)  2016
13,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2016)  2016
14,NUR313L - Concepts Professional Nur Prac (Spring Term 2016)  2016
