,Teaching Activities
0,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2018)  2018
1,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2017)  2017
2,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2017)  2017
3,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2016)  2016
4,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2015)  2015
5,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2015)  2015
6,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2014)  2014
7,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2014)  2014
8,NUR386L - Psychiatric Mental Hlth Pract (Fall Term 2013)  2013
9,NUR386L - Psychiatric Mental Hlth Pract (Spring Term 2013)  2013
