,Teaching Activities
0,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2021)  2021
1,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2021)  2021
2,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2021)  2021
3,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2021)  2021
4,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2020)  2020
5,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2020)  2020
6,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2020)  2020
7,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2020)  2020
8,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2020)  2020
9,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2019)  2019
10,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2019)  2019
11,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2019)  2019
12,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2019)  2019
13,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2018)  2018
14,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2018)  2018
15,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2018)  2018
16,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2017)  2017
17,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2017)  2017
18,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2017)  2017
19,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2016)  2016
20,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2016)  2016
21,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2016)  2016
22,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2015)  2015
23,NCA623 - Adult Gero Acute Cr Nur Pr III (Summer Term 2015)  2015
24,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2015)  2015
25,NCA621 - Adult Gero Acute Care Nur Pr I (Fall Term 2014)  2014
26,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2014)  2014
27,NCA622 - Adult Acute Gero Care:Pract II (Summer Term 2014)  2014
28,NCA686L - Adult Gero Acute Care: Prac II (Summer Term 2014)  2014
29,NCA621 - Adult Gero Acute Care Nur Pr I (Spring Term 2014)  2014
30,NCA685L - Adult Gero Acute Care: Pract I (Spring Term 2014)  2014
31,NCA686L - Adult Gero Acute Care: Prac II (Fall Term 2013)  2013
32,NCA685L - Practicum I Adu Acute Care NP (Summer Term 2013)  2013
33,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
34,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
35,NCA621 - Adv Adult Acute Care Nursing I (Spring Term 2013)  2013
36,NCA686L - Prac II Ad Acute Care NP (Fall Term 2012)  2012
