,Teaching Activities
0,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
1,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
2,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
3,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
4,06-424T - CULINARY MEDICINE (Spring Term 2020)  2020
5,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
6,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
7,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
8,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019
9,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
10,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
11,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
12,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
13,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
14,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
15,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
16,06-424T - CULINARY MEDICINE (Spring Term 2019)  2019
17,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Fall Term 2018)  2018 - 2019
18,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Fall Term 2018)  2018
19,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2018)  2018
20,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Fall Term 2018)  2018
21,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2018)  2018
22,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2018)  2018
23,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Spring Term 2018)  2018
24,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2018)  2018
25,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Spring Term 2018)  2018
26,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2018)  2018
27,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2017)  2017 - 2018
28,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2018)  2018
29,06-424T - CULINARY MEDICINE (Spring Term 2018)  2018
30,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Spring Term 2018)  2018
31,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2017)  2017
32,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2017)  2017
33,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2017)  2017
34,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2017)  2017
35,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2017)  2017
36,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2017)  2017
37,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2016)  2016 - 2017
38,06-424T - CULINARY MEDICINE (Spring Term 2017)  2017
39,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2017)  2017
40,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2016)  2016
41,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2016)  2016
42,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2016)  2016
43,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2015)  2015 - 2016
44,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2016)  2016
45,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2015)  2015 - 2016
46,06-424T - CULINARY MEDICINE (Spring Term 2016)  2016
47,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2016)  2016
48,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2016)  2016
49,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2015)  2015
50,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2015)  2015
51,02-302TLC - FAMILY MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2015)  2015
52,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2015)  2015
53,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2015)  2015
54,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2014)  2014
55,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Fall Term 2014)  2014
