,Teaching Activities
0,DENT2250 - D2 Clinical Integration (Spring Term 2020)  2020
1,DENT2252 - D2 Clinical Integration II (Spring Term 2020)  2020
2,DENT2250R - D2 Clinical Inegration (Fall Term 2019)  2019
3,DENT2250 - D2 Clinical Integration (Spring Term 2019)  2019
4,DENT2252 - D2 Clinical Integration II (Spring Term 2019)  2019
5,DENT2250 - D2 Clinical Integration (Spring Term 2018)  2018
6,DENT2252 - D2 Clinical Integration II (Spring Term 2018)  2018
7,DENT2250R - D2 Clinical Inegration (Fall Term 2017)  2017
8,DENT2250 - D2 Clinical Integration (Spring Term 2017)  2017
9,DENT2252 - D2 Clinical Integration II (Spring Term 2017)  2017
10,DENT2250 - D2 Clinical Integration (Spring Term 2016)  2016
11,DENT2252 - D2 Clinical Integration II (Spring Term 2016)  2016
12,DENT2170 - PCD: Fixed Prosthodontics (Fall Term 2015)  2014 - 2015
13,DENT2170 - PCD: Fixed Prosthodontics (Fall Term 2014)  2014
14,DENT2170 - PCD: Fixed Prosthodontics (Fall Term 2013)  2013
15,DENT1210 - Case-Based Education 1 (Spring Term 2012)  2012
16,DENT2150 - Biomaterials I (Fall Term 2008)  2008
17,DENT4210 - Advanced Biomaterials (Winter Term 2008)  2007 - 2008
18,DENT2150 - Biomaterials I (Fall Term 2007)  2007
