,Year,Title,Altmetric
0,2020,c-di-GMP modulates type IV MSHA pilus retraction and surface attachment in Vibrio cholerae. Nature Communications. 11.  2020  10.1038/s41467-020-15331-8,
1,2019,Oxylipins mediate cell-to-cell communication in Pseudomonas aeruginosa. Communications Biology. 2.  2019  10.1038/s42003-019-0310-0,
2,2018,A simple cell-based high throughput screening (HTS) assay for inhibitors of Salmonella enterica RNA polymerase containing the general stress response regulator RpoS (σ S ). Journal of Microbiological Methods. 150:1-4.  2018  10.1016/j.mimet.2018.05.009,
3,2016,Oxylipins produced by Pseudomonas aeruginosa promote biofilm formation and virulence. Nature Communications. 7.  2016  10.1038/ncomms13823,
4,2016,A novel cell-based assay to measure activity of Venezuelan equine encephalitis virus nsP2 protease. Virology. 496:77-89.  2016  10.1016/j.virol.2016.05.012,
5,2016,CTXϕ: Exploring new alternatives in host factor-mediated filamentous phage replications.. Bacteriophage. 6:e1128512.  2016  10.1080/21597081.2015.1128512,
6,2016,Pf filamentous phage requires UvrD for replication in Pseudomonas aeruginosa. mSphere. 1.  2016  10.1128/mSphere.00104-15,
7,2016,"Tanzawaic acids, a chemically novel set of bacterial conjugation inhibitors. PLoS ONE. 11.  2016  10.1371/journal.pone.0148098",
8,2015,Intracellular Degradable Hydrogel Cubes and Spheres for Anti-Cancer Drug Delivery. ACS Applied Materials and Interfaces. 7:13633-13644.  2015  10.1021/acsami.5b03360,
9,2015,Synthetic fatty acids prevent plasmid-mediated horizontal gene transfer. mBio. 6.  2015  10.1128/mBio.01032-15,
10,2014,PH-responsive hydrogel cubes for release of doxorubicin in cancer cells. Journal of Materials Chemistry B. 2:2494-2507.  2014  10.1039/c4tb00165f,
11,2013,Biocompatible shaped particles from dried multilayer polymer capsules. Biomacromolecules. 14:3830-3841.  2013  10.1021/bm4008666,
12,2011,Characterization of the single-stranded DNA binding protein pV(VGJΦ) of VGJΦ phage from Vibrio cholerae.  2011  10.1016/j.bbapap.2011.04.013,
13,2011,Cys mutants in functional regions of Sticholysin I clarify the participation of these residues in pore formation.. Toxicon. 58:8-17.  2011  10.1016/j.toxicon.2011.04.005,
14,2011,Validation of a mutant of the pore-forming toxin sticholysin-I for the construction of proteinase-activated immunotoxins.  2011  10.1093/protein/gzr002,
15,2010,"VEJ{phi}, a novel filamentous phage of Vibrio cholerae able to transduce the cholera toxin genes.. Microbiology. 156:108-115.  2010  10.1099/mic.0.032235-0",
16,2009,DNA binding proteins of the filamentous phages CTXphi and VGJphi of Vibrio cholerae.. Journal of Bacteriology. 191:5873-5876.  2009  10.1128/JB.01206-08,
17,2009,Anaerobic growth promotes synthesis of colonization factors encoded at the Vibrio pathogenicity island in Vibrio cholerae El Tor.. Research in Microbiology. 160:48-56.  2009  10.1016/j.resmic.2008.10.005,
