,Investigator On
0,Genomic Classification of the Heart Transplant Endomyocardial Biopsy  awarded by  American Heart Association (Southeast Affiliate)
1,"Genomic Classification of the Heart Transplant Endomyocardial Biopsy  awarded by  University of California, Los Angeles"
2,"Private Grant  awarded by  MEDTRONIC, INC."
3,"Private Grant  awarded by  CARDIOMEMS, INC."
4,"Private Grant  awarded by  CARDIOMEMS, INC."
5,"Private Grant  awarded by  SUNSHINE HEART, INC."
6,Private Grant  awarded by  Gilead Sciences ^
7,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
8,Private Grant  awarded by  Actelion Pharmaceuticals Ltd.
9,Private Grant  awarded by  Gilead Sciences ^
10,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
11,"Private Grant  awarded by  SYNVISTA THERAPEUTICS, INC."
12,"Private Grant  awarded by  ACTELION CLINICAL RESEARCH, INC."
13,"Private Grant  awarded by  ACTELION CLINICAL RESEARCH, INC."
14,"Private Grant  awarded by  TERUMO HEART, INC"
15,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
16,Private Grant  awarded by  THORATEC CORPORATION
17,"Private Grant  awarded by  MEDTRONIC, INC."
18,Private Grant  awarded by  Bayer AG
19,Private Grant  awarded by  Bayer AG
20,Private Grant  awarded by  Bayer AG
21,Private Grant  awarded by  Bayer AG
22,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
23,Private Grant  awarded by  NOVARTIS PHARMACEUTICALS CORPORATION
24,Private Grant  awarded by  Gilead Sciences ^
25,Private Grant  awarded by  GENO LLC
26,Private Grant  awarded by  GENO LLC
27,"Private Grant  awarded by  EVAHEART, INC."
28,Private Grant  awarded by  Gilead Sciences ^
29,Private Grant  awarded by  ELI LILLY AND COMPANY
30,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
31,Private Grant  awarded by  Gilead Sciences ^
32,Private Grant  awarded by  NOVARTIS PHARMACEUTICALS CORPORATION
33,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
34,Private Grant  awarded by  THORATEC CORPORATION
35,Private Grant  awarded by  CARDIOVASCULAR CLINICAL SCIENCE FOUNDATION
36,"Private Grant  awarded by  INO THERAPEUTICS, INC."
37,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
38,Randomized Evaluation of VAD Intervention before Inotropic Therapy (REVIVE-IT) Pilot Trial  awarded by  University of Michigan
39,Treatment of Preserved Cardiac Function Heart Failure with an Aldosterine Antagonist (TOPCAT)  awarded by  NEW ENGLAND RESEARCH INSTITUTE
