,Teaching Activities
0,NUR737 - Interprof Ldrship Role Dev (Summer Term 2021)  2021
1,NUR743 - EBP strategies (Summer Term 2021)  2021
2,NUR701 - Writing for Publication (Spring Term 2021)  2021
3,NUR729 - EBP Design and Translation (Spring Term 2021)  2021
4,NUR737 - Interprof Ldrship Role Dev (Fall Term 2020)  2020
5,NUR737 - Interprof Ldrship Role Dev (Fall Term 2020)  2020
6,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2020)  2020
7,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2020)  2020
8,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2019)  2019
9,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2019)  2019
10,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2019)  2019
11,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2019)  2019
12,NUR606 - Translating Evidence into Prac (Spring Term 2019)  2019
13,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2019)  2019
14,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
15,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2018)  2018
16,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2018)  2018
17,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2018)  2018
18,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2018)  2018
19,NUR606 - Translating Evidence into Prac (Spring Term 2018)  2018
20,NUR606 - Translating Evidence into Prac (Spring Term 2018)  2018
21,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2017)  2017
22,NUR740 - Health Policy and Politics (Fall Term 2017)  2017
23,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2017)  2017
24,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2017)  2017
25,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2017)  2017
26,NUR737 - Interdscipln Ldrship Role Dev (Spring Term 2017)  2017
27,NUR738L - Scholarly Project Development (Spring Term 2017)  2017
28,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2016)  2016
29,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2016)  2016
30,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2016)  2016
31,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2016)  2016
32,NUR737 - Interdscipln Ldrship Role Dev (Spring Term 2016)  2016
33,NUR743 - EBP strategies (Spring Term 2016)  2016
34,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2015)  2015
35,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2015)  2015
36,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2015)  2015
37,NUR606 - Translating Evidence into Prac (Spring Term 2015)  2015
38,NUR606 - Translating Evidence into Prac (Fall Term 2014)  2014
39,NUR738L - Scholarly Project Development (Fall Term 2014)  2014
40,NUR738L - Scholarly Project Development (Summer Term 2014)  2014
41,NUR738L - Scholarly Project Development (Spring Term 2014)  2014
42,NUR738L - Scholarly Project Development (Fall Term 2013)  2013
43,NUR738L - Scholarly Project Development (Summer Term 2013)  2013
44,NUR456L - Leader Management Practicum (Spring Term 2013)  2013
45,NUR738L - Scholarly Project Development (Spring Term 2013)  2013
46,NUR738L - Scholarly Project Development (Spring Term 2013)  2013
47,NUR456L - Leader Management Practicum (Spring Term 2012)  2012
48,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
49,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
50,NUR456L - Leader Management Practicum (Summer Term 2010)  2010
51,NUR456L - Leader Management Practicum (Spring Term 2010)  2010
