,Teaching Activities
0,HA650 - Mgmt & Ldshp Skills Clin Profs (Spring Term 2020)  2020
1,NUR790 - Independent Study in Nursing (Spring Term 2020)  2020
2,HA650 - Mgmt & Ldshp Skills Clin Profs (Fall Term 2019)  2019
3,HA650 - Mgmt & Ldshp Skills Clin Profs (Summer Term 2019)  2019
4,HA650 - Mgmt & Ldshp Skills Clin Profs (Spring Term 2019)  2019
5,HA650 - Mgmt & Ldshp Skills Clin Profs (Fall Term 2018)  2018
6,HA671 - Health Care Marketing (Spring Term 2018)  2018
7,HQS600 - Intro Clinical Quality Improve (Spring Term 2018)  2018
8,HQS600 - Intro Clinical Quality Improve (Fall Term 2017)  2017
9,HQS635 - HC Policy and Regulation (Fall Term 2017)  2017
10,HA671 - Health Care Marketing (Spring Term 2017)  2017
11,HQS600 - Intro Clinical Quality Improve (Spring Term 2017)  2017
12,HQS635 - HC Policy and Regulation (Spring Term 2017)  2017
13,HQS600 - Intro Clinical Quality Improve (Fall Term 2016)  2016
14,HA671 - Health Care Marketing (Spring Term 2016)  2016
15,HCM405 - HR Mgt in Health Care Orgs (Spring Term 2016)  2016
16,HCM405 - HR Mgt in Health Care Orgs (Spring Term 2016)  2016
17,HQS635 - HC Policy and Regulation (Spring Term 2016)  2016
18,HCM405 - HR Mgt in Health Care Orgs (Fall Term 2015)  2015
19,HCM405 - HR Mgt in Health Care Orgs (Fall Term 2015)  2015
