,Teaching Activities
0,PY214 - Elem Stats Methods and Design (Spring Term 2011)  2011
1,PY353 - Behavioral Neuroscience (Spring Term 2011)  2011
2,PY353 - Behavioral Neuroscience (Fall Term 2010)  2010
3,PY716 - Intro to Statistics (Fall Term 2010)  2010
4,PY214 - Elem Stats Methods and Design (Spring Term 2010)  2010
5,PY353 - Behavioral Neuroscience (Spring Term 2010)  2010
6,PY353 - Behavioral Neuroscience (Fall Term 2009)  2009
7,PY716 - Intro to Statistics (Fall Term 2009)  2009
8,PY214 - Elem Stats Methods and Design (Spring Term 2009)  2009
9,PY353 - Behavioral Neuroscience (Fall Term 2008)  2008
10,PY716 - Intro to Statistics (Fall Term 2008)  2008
11,PY716L - Lab for Intro to Statistics (Fall Term 2008)  2008
12,PY353 - Behavioral Neuroscience (Spring Term 2008)  2008
13,PY214 - Elem Stats Methods and Design (Fall Term 2007)  2007
14,PY716 - Intro to Statistics (Fall Term 2007)  2007
