,Year,Title,Altmetric
0,2019,Developing a Theoretical Framework for a Complex Maternal–Child Health Intervention: Health Beginning Initiative. Health Promotion Practice. 20:941-950.  2019  10.1177/1524839918782929,
1,2018,Measuring women's empowerment in Sub-Saharan Africa: Exploratory and Confirmatory Factor Analyses of the demographic and health surveys. Frontiers in Psychology. 9.  2018  10.3389/fpsyg.2018.00994,
2,2018,Resilience in American Indian and Alaska Native Public Health: An Underexplored Framework. American Journal of Health Promotion. 32:274-281.  2018  10.1177/0890117116664708,
3,2018,"Sexual and reproductive health priorities of adolescent girls in Lagos, Nigeria: Findings from free-listing interviews. International Journal of Adolescent Medicine and Health. 30.  2018  10.1515/ijamh-2016-0105",
4,2017,Structural barriers in access to medical marijuana in the USA-a systematic review protocol. Systematic Reviews. 6.  2017  10.1186/s13643-017-0541-4,
5,2017,Primary prevention interventions for reducing school violence. Cochrane Database of Systematic Reviews. 2017.  2017  10.1002/14651858.CD006347.pub2,
6,2017,"Prevalence of Caesarean sections in Enugu, southeast Nigeria: Analysis of data from the Healthy Beginning Initiative. PLoS ONE. 12.  2017  10.1371/journal.pone.0174369",
7,2017,What do You Need to Get Male Partners of Pregnant Women Tested for HIV in Resource Limited Settings? The Baby Shower Cluster Randomized Trial. AIDS and Behavior. 21:587-596.  2017  10.1007/s10461-016-1626-0,
8,2017,Association between measures of women's empowerment and use of modern contraceptives: An analysis of Nigeria's demographic and health surveys. Frontiers in Public Health. 4.  2017  10.3389/fpubh.2016.00293,
9,2016,Predictors of HIV testing among youth in sub-Saharan Africa: A cross-sectional study. PLoS ONE. 11.  2016  10.1371/journal.pone.0164052,
10,2016,Contraceptive use and uptake of HIV-Testing among sub-saharan african women. PLoS ONE. 11.  2016  10.1371/journal.pone.0154213,
11,2016,Interventions for preventing unintended pregnancies among adolescents. Cochrane Database of Systematic Reviews. 2016.  2016  10.1002/14651858.CD005215.pub3,
12,2016,Antenatal care and uptake of HIV testing among pregnant women in sub-Saharan Africa: A cross-sectional study. Journal of the International AIDS Society. 19.  2016  10.7448/IAS.19.1.20605,
13,2016,Prenatal exposure to cannabis and maternal and child health outcomes: A systematic review and meta-analysis. BMJ Open. 6.  2016  10.1136/bmjopen-2015-009986,
14,2016,Using a cultural framework to understand factors influencing HIV testing in Nigeria. International Quarterly of Community Health Education. 37:33-42.  2016  10.1177/0272684X16685258,
15,2015,National studies as a component of the World Health Organization initiative to estimate the global and regional burden of foodborne disease. PLoS ONE. 10.  2015  10.1371/journal.pone.0140319,
16,2015,"Population-based prevalence of malaria among pregnant women in Enugu State, Nigeria: The Healthy Beginning Initiative. Malaria Journal. 14.  2015  10.1186/s12936-015-0975-x",
17,2015,"Impact of male partner's awareness and support for contraceptives on female intent to use contraceptives in southeast Nigeria Health behavior, health promotion and society. BMC Public Health. 15.  2015  10.1186/s12889-015-2216-1",
18,2015,Hand washing promotion for preventing diarrhoea. Cochrane Database of Systematic Reviews. 2015.  2015  10.1002/14651858.CD004265.pub3,
19,2015,Integrating mental health screening into routine community maternal and child health activity: experience from Prevention of Mother-to-child HIV transmission (PMTCT) trial in Nigeria  2015  10.1007/s00127-014-0952-7,
20,2015,Effect of a congregation-based intervention on uptake of HIV testing and linkage to care in pregnant women in Nigeria (Baby Shower): A cluster randomised trial. The Lancet Global Health. 3:e692-e700.  2015  10.1016/S2214-109X(15)00195-3,
21,2015,The effects of prenatal cannabis exposure on fetal development and pregnancy outcomes: A protocol. BMJ Open. 5.  2015  10.1136/bmjopen-2014-007227,
22,2015,World Health Organization Global Estimates and Regional Comparisons of the Burden of Foodborne Disease in 2010. PLoS Medicine. 12.  2015  10.1371/journal.pmed.1001923,
23,2014,Training and deployment of lay refugee/internally displaced persons to provide basic health services in camps: a systematic review.. Global Health Action. 7:23902.  2014  10.3402/gha.v7.23902,
24,2014,Intimate partner violence and HIV infection among women: a systematic review and meta-analysis.. Journal of the International AIDS Society. 17:18845.  2014  10.7448/IAS.17.1.18845,
25,2014,Training and deployment of lay refugee/internally displaced persons to provide basic health services in camps: A systematic review. Global Health Action. 7.  2014  10.3402/gha.v7.23902,
26,2013,Factors Associated with the Acceptability of Male Circumcision among Men in Jamaica. PLoS ONE. 8.  2013  10.1371/journal.pone.0075074,
27,2012,Sexual violence and associated factors among women in HIV discordant and concordant relationships in Uganda. International Journal of Adolescent Medicine and Health. 24:125-133.  2012  10.1515/IJAMH.2012.019,
28,2012,"Socio-demographic determinants of aflatoxin B1-lysine adduct levels among pregnant women in Kumasi, Ghana.. Ghana Medical Journal. 46:179-188.  2012",
29,2010,"Association between anemia and aflatoxin B 1 biomarker levels among pregnant women in Kumasi, Ghana. American Journal of Tropical Medicine and Hygiene. 83:1077-1083.  2010  10.4269/ajtmh.2010.09-0772",
30,2010,"Malaria, intestinal helminths and other risk factors for stillbirth in Ghana  2010  10.1155/2010/350763",
31,2010,"Association between birth outcomes and aflatoxin B1 biomarker blood levels in pregnant women in Kumasi, Ghana. Tropical Medicine and International Health. 15:160-167.  2010  10.1111/j.1365-3156.2009.02435.x",
32,2010,"The effect of malaria and intestinal helminth coinfection on birth outcomes in Kumasi, Ghana. American Journal of Tropical Medicine and Hygiene. 82:28-34.  2010  10.4269/ajtmh.2010.09-0165",
33,2009,"HIV/AIDS-related stigma in Kumasi, Ghana. Health and Place. 15:255-262.  2009  10.1016/j.healthplace.2008.05.006",
34,2009,Interventions for preventing unintended pregnancies among adolescents.. Cochrane Database of Systematic Reviews. 2009,
35,2009,Malaria and intestinal helminth co-infection among pregnant women in Ghana: Prevalence and risk factors. American Journal of Tropical Medicine and Hygiene. 80:896-901.  2009  10.4269/ajtmh.2009.80.896,
36,2008,Hand washing for preventing diarrhoea.. Cochrane Database of Systematic Reviews. 2008,
37,2008,Hand washing for preventing diarrhoea. Cochrane Database of Systematic Reviews. 2008  10.1002/14651858.CD004265.pub2,
38,2007,Primary prevention interventions for reducing school violence. Cochrane Database of Systematic Reviews. 2007  10.1002/14651858.CD006347,
39,2007,"Prevalence and correlates of depressive symptoms among high school students in Hanover, Jamaica. The Scientific World Journal. 7:567-576.  2007  10.1100/tsw.2007.104",
40,2006,"Health effects of long-term exposure to insecticide-treated mosquito nets in the control of malaria in endemic regions, revised. The Scientific World Journal. 6:1631-1641.  2006  10.1100/tsw.2006.272",
41,2006,Interventions to increase booster seat use among 4-8 year olds: A Cochrane review. International Journal of Epidemiology. 35:1136-1138.  2006  10.1093/ije/dyl195,
42,2006,Interventions to Increase Children's Booster Seat Use. A Review. American Journal of Preventive Medicine. 31:185-192.  2006  10.1016/j.amepre.2006.03.020,
43,2006,Ethical challenges in ecological policy: Global thinking and local action  2006  10.1108/14777830610639422,
44,2006,Interventions for promoting booster seat use in four to eight year olds traveling in motor vehicles.. Cochrane Database of Systematic Reviews. 2006,
45,2006,Road traffic injuries: Hidden epidemic in less developed countries. Journal of the National Medical Association. 98:73-82.  2006,
46,2005,Sociocultural correlates of HIV/AIDS-related stigma in rural Jamaica. AIDS and Public Policy Journal. 20:126-136.  2005,
47,2005,Trends in birth across high-parity groups by race/ethnicity and maternal age. Journal of the National Medical Association. 97:799-804.  2005,
48,2005,AIDS-related stigma in sub-Saharan Africa: Its contexts and potential intervention strategies. AIDS and Public Policy Journal. 20:25-39.  2005,
49,2005,High parity and adverse birth outcomes: Exploring the maze  2005  10.1111/j.0730-7659.2005.00344.x,
50,2005,"Quality of child health services in primary health care facilities in south-east Nigeria. Child: Care, Health and Development. 31:181-191.  2005  10.1111/j.1365-2214.2004.00493.x",
51,2005,Biochemical evaluation of antioxidant function after a controlled optimum physical exercise among adolescents. International Journal of Adolescent Medicine and Health. 17:57-66.  2005  10.1515/IJAMH.2005.17.1.57,
52,2005,Clinical microbiological aspects of epileptic seizures in the tropical countries with specific focus on Nigeria.. The Scientific World Journal. 5:401-409.  2005  10.1100/tsw.2005.51,
53,2005,Extreme parity and the risk of stillbirth. Obstetrics and Gynecology. 106:446-453.  2005  10.1097/01.AOG.0000165825.65203.69,
54,2005,High parity and fetal morbidity outcomes. Obstetrics and Gynecology. 105:1045-1051.  2005  10.1097/01.AOG.0000157444.74674.75,
55,2005,Socioeconomic constraints to effective management of Burkitt's lymphoma in south-eastern Nigeria. Tropical Medicine and International Health. 10:92-98.  2005  10.1111/j.1365-3156.2004.01348.x,
56,2004,Mass use of insecticide-treated bednets in malaria endemic poor countries: Public health concerns and remedies. Journal of Public Health Policy. 25:9-22.  2004  10.1057/palgrave.jphp.3190001,
57,2004,Assessing the health effects of long-term exposure to insecticide-treated mosquito nets in the control of malaria in endemic regions.. The Scientific World Journal. 4:978-988.  2004  10.1100/tsw.2004.195,
58,2004,Efficacy of sodium valproate in the treatment of photosensitive epilepsy (PSE) and the probable reasons for the persistence of occipital spikes.. The Scientific World Journal. 4:521-530.  2004  10.1100/tsw.2004.108,
59,2004,Interventions to prevent HIV/AIDS among adolescents in less developed countries: Are they effective?. International Journal of Adolescent Medicine and Health. 16:303-323.  2004  10.1515/IJAMH.2004.16.4.303,
60,2004,Mycotoxins and antifungal drug interactions: Implications in the treatment of illnesses due to indoor chronic toxigenic mold exposures. The Scientific World Journal. 4:167-177.  2004  10.1100/tsw.2004.22,
61,2004,Predictors of sexual involvement among adolescents in rural Jamaica. International Journal of Adolescent Medicine and Health. 16:165-178.  2004  10.1515/IJAMH.2004.16.2.165,
62,2004,Transition to adult care for adolescents with sickle cell disease: Results of a national survey. International Journal of Adolescent Medicine and Health. 16:47-64.  2004  10.1515/IJAMH.2004.16.1.47,
63,2003,Biochemical changes in the serum of patients with chronic toxigenic mold exposures: a risk factor for multiple renal dysfunctions.. The Scientific World Journal. 3:1058-1064.  2003  10.1100/tsw.2003.92,
64,2003,Photosensitive epilepsy beyond adolescence: Is freedom from photosensitivity age-dependent?. International Journal of Adolescent Medicine and Health. 15:125-132.  2003  10.1515/IJAMH.2003.15.2.125,
65,2003,The neurological significance of abnormal natural killer cell activity in chronic toxigenic mold exposures.. The Scientific World Journal. 3:1128-1137.  2003  10.1100/tsw.2003.98,
66,2003,"Use of antenatal services in Kampung District, Cambodia.. The Scientific World Journal. 3:1081-1092.  2003  10.1100/tsw.2003.95",
67,2002,"Mothers' perspectives on the quality of postpartum care in Central Shanghai, China. International Journal for Quality in Health Care. 14:393-402.  2002  10.1093/intqhc/14.5.393",
68,2001,Critical control points of complementary food preparation and handling in eastern Nigeria. Bulletin of the World Health Organization. 79:423-433.  2001,
69,1999,Child health promotion in developing countries: The case for integration of environmental and social interventions?. Health Policy and Planning. 14:1-10.  1999  10.1093/heapol/14.1.1,
70,1999,"Health information systems in developing countries: Benefits, problems, and prospects  1999  10.1177/146642409911900309",
71,1998,Action on low immunization uptake. World Health Forum. 19:362-364.  1998,
72,1997,Tackling the cause of child accidents in the home.. World Health Forum. 18:331-332.  1997,
73,1997,"Shaping the new generation of microbiological food safety professionals: Attitudes, education and training. International Journal of Environmental Health Research. 7:233-250.  1997  10.1080/09603129773869",
74,1997,A survey of HACCP implementation in Glasgow: Is the information reaching the target?. International Journal of Environmental Health Research. 7:71-84.  1997  10.1080/09603129774020,
75,1997,Evaluation of a food hygiene training course in Scotland. Food Control. 8:137-147.  1997  10.1016/S0956-7135(97)00005-4,
76,1996,Food safety control: Overcoming barriers to wider use of hazard analysis. World Health Forum. 17:301-303.  1996,
77,1996,Hygiene training and education of food handlers: Does it work?. Ecology of Food and Nutrition. 35:243-251.  1996  10.1080/03670244.1996.9991494,
78,1995,"Food safety control in developing countries: does HACCP matter?. Science, Technology & Development. 13:250-265.  1995",
79,1995,HACCP implementation in food businesses: The need for a flexible approach  1995  10.1177/146642409511500411,
80,1995,Implementation of HACCP in food businesses: the way ahead. Food Control. 6:341-345.  1995  10.1016/0956-7135(95)00045-3,
81,1995,The role of health visitors in the prevention of home accidents involving children: time for a rethink?  1995,
82,1994,Food safety control strategies: a critical review of traditional approaches. International Journal of Environmental Health Research. 4:254-263.  1994  10.1080/09603129409356824,
