,Teaching Activities
0,HB697 - Internship (Summer Term 2009)  2009
1,MCH606 - Basics of Comm Eval (Spring Term 2009)  2009
2,MCH608 - Project Planning Intl Health (Spring Term 2009)  2009
3,MCH661 - Extended Field Work MCH (Spring Term 2009)  2009
4,MCH695 - Public Health Integrative Expe (Summer Term 2008)  2008
5,MCH690 - Adv Leadership MCH (Summer Term 2008)  2008
6,MCH697 - Internship (Summer Term 2008)  2008
7,MCH608 - Project Planning Intl Health (Spring Term 2008)  2008
8,MCH697 - Internship (Spring Term 2008)  2008
9,LCS104 - Freshman Sem:Health w/o Border (Fall Term 2007)  2007
10,MCH697 - Internship (Fall Term 2007)  2007
11,MCH795 - Dir Readings/Doc stud in MCH (Fall Term 2007)  2007
12,MCH799 - Dissert Res in Matrnl/Chd Hlth (Fall Term 2007)  2007
