,Teaching Activities
0,NUR701 - Writing for Publication (Summer Term 2021)  2021
1,NUR739L - DNP Project Implemen and Eval (Summer Term 2021)  2021
2,NUR745 - Foundations Scholarly Writing (Spring Term 2021)  2021
3,NUR745 - Foundations Scholarly Writing (Spring Term 2021)  2021
4,NUR002 - DNP Orientation (Spring Term 2020)  2020
5,NUR745 - Foundations Scholarly Writing (Spring Term 2020)  2020
6,GRD727 - Writing & Reviewing Research (Fall Term 2019)  2019
7,GRD730 - Develop & Manag Prof Image (Fall Term 2019)  2019
8,GRD727 - Writing & Reviewing Research (Summer Term 2019)  2019
9,GRD727 - Writing & Reviewing Research (Spring Term 2019)  2019
10,GRD730 - Develop & Manag Prof Image (Spring Term 2019)  2019
11,GRD727 - Writing & Reviewing Research (Fall Term 2018)  2018
12,GRD730 - Develop & Manag Prof Image (Fall Term 2018)  2018
13,GRD727 - Writing & Reviewing Research (Summer Term 2018)  2018
14,GRD727 - Writing & Reviewing Research (Spring Term 2018)  2018
15,GRD730 - Develop & Manag Prof Image (Spring Term 2018)  2018
16,GRD727 - Writing & Reviewing Research (Fall Term 2017)  2017
17,GRD730 - Develop & Manag Prof Image (Fall Term 2017)  2017
18,GRD727 - Writing & Reviewing Research (Summer Term 2017)  2017
19,GRD727 - Writing & Reviewing Research (Spring Term 2017)  2017
20,GRD727 - Writing & Reviewing Research (Fall Term 2016)  2016
21,GRD727 - Writing & Reviewing Research (Summer Term 2016)  2016
22,GRD728 - Prof. Writing & Publishing (Summer Term 2016)  2016
23,GRD727 - Writing & Reviewing Research (Spring Term 2016)  2016
24,GRD727 - Writing & Reviewing Research (Fall Term 2015)  2015
25,GRD727 - Writing & Reviewing Research (Summer Term 2015)  2015
26,GRD727 - Writing & Reviewing Research (Spring Term 2015)  2015
27,GRD727 - Writing & Reviewing Research (Fall Term 2014)  2014
28,GRD727 - Writing & Reviewing Research (Summer Term 2014)  2014
29,GRD727 - Writing & Reviewing Research (Summer Term 2014)  2014
30,GRD727 - Writing & Reviewing Research (Spring Term 2014)  2014
31,GRD727 - Writing & Reviewing Research (Fall Term 2013)  2013
32,GRD727 - Writing & Reviewing Research (Fall Term 2012)  2012
33,GRD727 - Writing & Reviewing Research (Spring Term 2012)  2012
34,GRD727 - Writing & Reviewing Research (Fall Term 2011)  2011
35,GRD727 - Writing & Reviewing Research (Spring Term 2011)  2011
36,GRD727 - Writing & Reviewing Research (Fall Term 2010)  2010
37,GRD726 - Acad Writing for International (Fall Term 2008)  2008
38,GRD727 - Writing & Reviewing Research (Spring Term 2008)  2008
39,GRD726 - Acad Writing for International (Fall Term 2007)  2007
