,Teaching Activities
0,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
1,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
2,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2021)  2021
3,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2021)  2021
4,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2020)  2020
5,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2020)  2020
6,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2020)  2020
7,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2020)  2020
8,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2019)  2019
9,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2019)  2019
10,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2019)  2019
11,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2019)  2019
12,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2018)  2018
13,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2018)  2018
14,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2018)  2018
15,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2017)  2017
16,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2017)  2017
17,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2017)  2017
18,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2016)  2016
19,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2016)  2016
20,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
21,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2016)  2016
22,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2015)  2015
23,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2015)  2015
24,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2014)  2014
25,NPE686L - Prac II NP Pediatric Prim Care (Summer Term 2014)  2014
26,NPE685L - Pract I NP Pediatric Prim Care (Spring Term 2014)  2014
27,NPE692L - Prac III: NP Ped Prim Cr Resid (Spring Term 2014)  2014
28,NPE687L - Pract III:Pediatric Nurs Pract (Fall Term 2013)  2013
29,NPE686L - Pract II: Pediatric Nur Pract (Summer Term 2013)  2013
30,NPE685L - Pract I: Pediatric Nurse Pract (Spring Term 2013)  2013
31,NPE692L - Residency: Pediatric Nur Prac (Spring Term 2013)  2013
32,NPE621 - Advanced Pediatric Nursing I (Spring Term 2012)  2012
33,NPE685L - Pract I: Pediatric Nurse Pract (Spring Term 2012)  2012
