,Year,Title,Altmetric
0,2021,Integrating behavioral health into two primary care clinics serving vulnerable populations  2021  10.1016/j.xjep.2021.100430,
1,2021,Can individualized-targeted computerized cognitive training improve everyday functioning in adults with HIV-associated neurocognitive disorder?  2021  10.1080/23279095.2021.1906678,
2,2021,"Driving habits, cognition, and health-related quality of life in middle-aged and older adults with HIV  2021  10.1080/23279095.2021.1960530",
3,2020,Alignment of a PhD program in nursing with the AACN report on the research-focused doctorate in nursing: A descriptive analysis. Journal of Professional Nursing. 36:604-610.  2020  10.1016/j.profnurs.2020.08.011,
4,2018,Improving Population Health among Uninsured Patients with Diabetes. Population Health Management. 21:373-377.  2018  10.1089/pop.2017.0170,
5,2018,An Integrative Review of Psychosocial Concerns among Young African American Breast Cancer Survivors. Cancer Nursing. 41:139-155.  2018  10.1097/NCC.0000000000000477,
6,2018,Improving population health among uninsured patients with diabetes. Population Health Management. 2018,
7,2018,Speed of processing training in Middle-aged and older breast cancer survivors (SOAR): Results of a randomized controlled pilot.. Breast Cancer Research and Treatment.. 2018,
8,2018,Speed of processing training in middle-aged and older breast cancer survivors (SOAR): results of a randomized controlled pilot. Breast Cancer Research and Treatment. 168:259-267.  2018  10.1007/s10549-017-4564-2,
9,2017,Providing primary care using an interprofessional collaborative practice model: What clinicians have learned. Journal of Professional Nursing. 33:410-416.  2017  10.1016/j.profnurs.2016.11.004,
10,2017,Providing primary care using an interprofessional collaborative practice model: What clinicians have learned.. Journal of Professional Nursing. 2017,
11,2017,Using data analytics as evidentiary support forfinancial outcome success in 2 nurse-led population based clinics.. Journal for Healthcare Quality. 2017,
12,2017,Interventions for cognitive deficits in breast cancer survivors treated with chemotherapy. Cancer Nursing. 40:E11-E27.  2017  10.1097/NCC.0000000000000349,
13,2017,Using data analytics as evidentiary support for financial outcome success in nurse-led population-based clinics. Journal for Healthcare Quality. 39:391-396.  2017  10.1097/JHQ.0000000000000112,
14,2016,The implementation of a patient assistance program in a free clinic setting: A case report. Journal of Health Care for the Poor and Underserved. 27:1183-1191.  2016  10.1353/hpu.2016.0148,
15,2015,Cognitive deficits in breast cancer survivors after chemotherapy and hormonal therapy. Journal of Neuroscience Nursing. 2015,
16,2015,"Information at the point of care: An informational application for cancer resources. Computers, Informatics, Nursing. 2015",
17,2015,Team-based care in an urban free clinic setting.. Nursing Administration Quarterly. 2015,
18,2015,Cognitive deficits in breast cancer survivors after chemotherapy and hormonal therapy. Journal of Neuroscience Nursing. 47:302-312.  2015  10.1097/JNN.0000000000000171,
19,2015,Evaluation of team-based care in an urban free clinic setting. Nursing Administration Quarterly. 39:254-262.  2015  10.1097/NAQ.0000000000000103,
20,2015,"Information at the point of care: An informational application for cancer resources. CIN: Computers, Informatics, Nursing. 33:390-395.  2015  10.1097/CIN.0000000000000171",
21,2014,Attention and memory deficits in breast cancer survivors: Implications for nursing practice and research. Journal of Neuroscience Nursing. 46:274-284.  2014  10.1097/JNN.0000000000000078,
22,1990,Progressive aphasia: A precursor of global dementia?. Neurology. 1990,
23,1989,Is word recognition automatic? A cognitive-anatomical approach. J. Cognitive Neuroscience. 1989,
24,1987,Language changes in health aging and dementia. Advances in Applied Psycholinguistics. 1987,
25,1987,Perseveration in behavioral neurology. Neurology. 1987,
26,1986,Perseveration in aphasia. Cortex. 1986,
27,1986,Confabulation in Aphasia. Cortex. 22:621-626.  1986  10.1016/S0010-9452(86)80021-1,
28,1984,Varieties of perseveration. Neuropsychologia. 1984,
29,1980,The episode schema in story processing. Jounal of Verbal Learning and Verbal Behavior. 1980,
30,1978,Competency in senile dementia. Archives of the Foundation of Thanathology. 1978,
