,Teaching Activities
0,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021 - 2022
1,02-282 - MEDICINE CLERKSHIP (Spring Term 2021)  2021
2,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
3,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
4,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
5,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
6,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
7,91-939FM - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE FM (Spring Term 2021)  2021
8,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Spring Term 2021)  2021
9,91-939FM - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE FM (Spring Term 2021)  2021
10,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Spring Term 2021)  2021
11,91-946A - OUTPATIENT MEDICINE (Spring Term 2021)  2021
12,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Spring Term 2021)  2021
13,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Fall Term 2020)  2020
14,02-282TLC - MEDICINE LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
15,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Fall Term 2020)  2020
16,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Fall Term 2020)  2020
17,02-282C - MEDICINE CLERKSHIP COMPLETION (Fall Term 2020)  2020
18,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Fall Term 2020)  2020
19,02-282C - MEDICINE CLERKSHIP COMPLETION (Fall Term 2020)  2020
20,91-939U - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE (Fall Term 2020)  2020
21,02-282C - MEDICINE CLERKSHIP COMPLETION (Fall Term 2020)  2020
22,02-282 - MEDICINE CLERKSHIP (Spring Term 2020)  2020
23,91-939U - MEDICINE ACTING INTERNSHIP - UNIVERSITY SERVICE (Spring Term 2020)  2020
24,91-939FM - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE FM (Spring Term 2020)  2020
25,91-939U - MEDICINE ACTING INTERNSHIP - UNIVERSITY SERVICE (Spring Term 2020)  2020
26,91-946A - OUTPATIENT MEDICINE (Spring Term 2020)  2020
27,02-282 - MEDICINE CLERKSHIP (Spring Term 2020)  2020
28,91-939FM - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE FM (Spring Term 2020)  2020
29,91-939U - MEDICINE ACTING INTERNSHIP - UNIVERSITY SERVICE (Spring Term 2020)  2020
30,02-282 - MEDICINE CLERKSHIP (Fall Term 2019)  2019
31,91-939FM - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE FM (Fall Term 2019)  2019
32,91-939U - MEDICINE ACTING INTERNSHIP - UNIVERSITY SERVICE (Fall Term 2019)  2019
33,02-282 - MEDICINE CLERKSHIP (Fall Term 2019)  2019
34,91-939FM - MEDICINE ACTING INTERNSHIP - UMC INPATIENT SERVICE FM (Fall Term 2019)  2019
