,Year,Title,Altmetric
0,2015,Mental health consequences of chemical and radiologic emergencies: A systematic review. Emergency Medicine Clinics of North America. 33:197-211.  2015  10.1016/j.emc.2014.09.012,
1,2013,Boosting workplace stair utilization: A study of incremental reinforcement. Rehabilitation Psychology. 58:81-86.  2013  10.1037/a0031764,
2,2012,Providing general and preconception health care to low income women in family planning settings: Perception of providers and clients. Maternal and Child Health Journal. 16:346-354.  2012  10.1007/s10995-011-0744-6,
3,2011,A randomised controlled trial of written self-disclosure for functional recurrent abdominal pain in youth  2011  10.1080/08870440903477212,
4,2010,Referral and referral facilitation behavior of family planning providers for women with HIV infection in the Southern United States. Journal of Women's Health. 19:1385-1391.  2010  10.1089/jwh.2009.1747,
5,2009,"Family planning provider referral, facilitation behavior, and patient follow-up for abnormal Pap smears. Public Health Reports. 124:733-744.  2009  10.1177/003335490912400516",
6,2006,Improvement in gastrointestinal symptoms and quality of life after cholecystectomy  2006  10.1016/j.amjsurg.2006.01.020,
7,2005,Cluster analysis and chronic pain: An empirical classification of pain subgroups in a spinal cord injury sample. Rehabilitation Psychology. 50:381-388.  2005  10.1037/0090-5550.50.4.381,
8,2005,Randomized pilot of a self-guided Internet coping group for women with early-stage breast cancer. Annals of Behavioral Medicine. 30:54-64.  2005  10.1207/s15324796abm3001_7,
9,2005,The necessity of routine clinic follow-up visits after third molar removal. Journal of Oral and Maxillofacial Surgery. 63:1278-1282.  2005  10.1016/j.joms.2005.05.292,
10,2004,A new look at an old controversy: PPIs versus anti-reflux surgery in patients with gastroesophageal reflux disease (GERD) and severe esophagitis. Evidence-Based Gastroenterology. 5:108-109.  2004  10.1097/00132579-200411000-00003,
11,2004,Use of the Internet for information and support: Disclosure among persons with breast and prostate cancer. Journal of Behavioral Medicine. 27:491-505.  2004  10.1023/B:JOBM.0000047612.81370.f7,
12,2004,Re-examination of the cost-effectiveness of surgical versus medical therapy in patients with gastroesophageal reflux disease: The value of long-term data collection. American Journal of Gastroenterology. 99:1023-1028.  2004  10.1111/j.1572-0241.2004.30891.x,
13,2004,Improving the effectiveness of adjuvant psychological treatment for women with breast cancer: The feasibility of providing online support  2004  10.1002/pon.733,
14,2004,"Personal characteristics, health status, physical activity, and quality of life in cardiac rehabilitation participants. International Journal of Nursing Studies. 41:173-181.  2004  10.1016/S0020-7489(03)00127-5",
15,2003,Incomplete response to endoscopic sphincterotomy in patients with sphincter of Oddi dysfunction: Evidence for a chronic pain disorder. American Journal of Gastroenterology. 98:1738-1743.  2003  10.1111/j.1572-0241.2003.07597.x,
16,2003,Differing symptoms of abused versus nonabused women in obstetric-gynecology settings. American Journal of Obstetrics and Gynecology. 188:707-713.  2003  10.1067/mob.2003.193,
17,2003,Characterization of long-term outcomes after Toupet fundoplication [1] (multiple letters). Journal of Clinical Gastroenterology. 36:182-183.  2003  10.1097/00004836-200302000-00019,
18,2002,Psychological disorders and distress in older primary care patients: A comparison of older and younger samples. Psychosomatic Medicine. 64:635-643.  2002  10.1097/01.PSY.0000021942.35402.C3,
19,2002,"Characterization of long-term outcomes after Toupet fundoplication: Symptoms, medication use, and health status. Journal of Clinical Gastroenterology. 34:509-515.  2002  10.1097/00004836-200205000-00006",
20,2001,Psychosocial interventions for cancer: Review and analysis using a three-tiered outcomes model  2001  10.1002/pon.509,
21,2001,"Symptom management in older primary care patients: Feasibility of an experimental, written self-disclosure protocol. Annals of Internal Medicine. 134:905-911.  2001  10.7326/0003-4819-134-9_part_2-200105011-00015",
22,2001,"Symptom management in older primary care patients: feasibility of an experimental, written self-disclosure protocol.. Annals of Internal Medicine. 134:905-911.  2001  10.7326/0003-4819-134-9_part_2-200105011-00015",
23,2001,Survey of primary care physicians' approach to gastroesophageal reflux disease in elderly patients  2001  10.1093/gerona/56.8.M514,
24,2000,Evaluating the relationship between pain presentation and health-related quality of life in outpatients with metastatic or recurrent neoplastic disease. Quality of Life Research. 9:855-863.  2000  10.1023/A:1008944211294,
25,2000,Health-related quality of life and virologic outcomes in an HIV clinic. Quality of Life Research. 9:977-985.  2000  10.1023/A:1016668802328,
26,2000,What is heartburn worth? A cost-utility analysis of management strategies. Journal of General Internal Medicine. 15:175-182.  2000  10.1046/j.1525-1497.2000.02639.x,
