,Teaching Activities
0,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2021)  2021
1,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2020)  2020
2,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2020)  2020
3,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2019)  2019
4,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2019)  2019
5,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2018)  2018
6,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2018)  2018
7,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2018)  2018
8,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2017)  2017
9,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2017)  2017
10,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2017)  2017
11,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2016)  2016
12,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2016)  2016
13,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2016)  2016
14,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2015)  2015
15,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2015)  2015
16,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2014)  2014
17,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2014)  2014
