,Teaching Activities
0,PG528 - Medically Compromised Patient (Fall Term 2016)  2016
1,PG528 - Medically Compromised Patient (Fall Term 2014)  2014
2,CD639 - Dental Mgt Med Compromised Pt. (Fall Term 2014)  2014
3,PG771 - Adv Restorative Den Seminar II (Spring Term 2014)  2014
4,PG770 - Adv Restorative Dent Seminar I (Fall Term 2013)  2013
5,DENT2115 - Dental Therapeutics (Fall Term 2013)  2013
6,PG703 - Studies in Clin Gen Dentistry (Spring Term 2013)  2013
7,PG528 - Medically Compromised Patient (Fall Term 2012)  2012
8,DENT2115 - Dental Therapeutics (Fall Term 2012)  2012
9,PG703 - Studies in Clin Gen Dentistry (Spring Term 2012)  2012
10,PG703 - Studies in Clin Gen Dentistry (Fall Term 2011)  2011
11,DENT2115 - Dental Therapeutics (Fall Term 2011)  2011
12,PG703 - Studies in Clin Gen Dentistry (Spring Term 2011)  2011
13,PG528 - Medically Compromised Patient (Fall Term 2010)  2010
14,DENT2119 - Dental Therapeutics (Fall Term 2010)  2010
15,DENT1219 - Dental Therapeutics (Spring Term 2010)  2010
16,PG703 - Studies in Clin Gen Dentistry (Spring Term 2010)  2010
17,PG703 - Studies in Clin Gen Dentistry (Fall Term 2009)  2009
18,PG703 - Studies in Clin Gen Dentistry (Spring Term 2009)  2008 - 2009
19,DENT1219 - Dental Therapeutics (Spring Term 2009)  2009
20,PG528 - Medically Compromised Patient (Fall Term 2008)  2008
