,Teaching Activities
0,91-997A - ADVANCED OBSTETRICS & GYNECOLOGY (Fall Term 2020)  2020
1,91-911 - OBSTETRICS AND GYNECOLOGY (Fall Term 2020)  2020
2,91-912 - SURGICAL GYNECOLOGY (Fall Term 2020)  2020
3,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
4,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
5,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
6,MH-402 - OB/GYN CLERKSHIP MEHARRY MEDICAL COLLEGE (Spring Term 2020)  2020
7,91-911 - OBSTETRICS AND GYNECOLOGY (Spring Term 2020)  2020
8,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
9,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019
10,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
11,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
12,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
13,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
14,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
15,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
16,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
17,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
18,91-911 - OBSTETRICS AND GYNECOLOGY (Spring Term 2019)  2019
19,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2018)  2018
20,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2018)  2018
21,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2018)  2018
22,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2017)  2017 - 2018
23,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2018)  2018
24,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2017)  2017
25,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2017)  2017
26,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2017)  2017
27,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2017)  2017
28,91-911 - OBSTETRICS AND GYNECOLOGY (Fall Term 2017)  2017
29,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2017)  2017
30,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2017)  2017
31,91-912 - SURGICAL GYNECOLOGY (Spring Term 2017)  2017
32,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2016)  2016
33,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2016)  2016
34,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2016)  2016
35,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Fall Term 2015)  2015 - 2016
36,02-402TLC - OBSTETRICS/GYNECOLOGY LONGITUDINAL CLERKSHIP (Spring Term 2015)  2015 - 2016
37,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2016)  2016
38,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2016)  2016
39,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2015)  2015
40,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2015)  2015
41,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2015)  2015
42,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2015)  2015
43,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2012)  2012
44,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2012)  2012
45,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2012)  2012
46,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2012)  2012
47,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2011)  2011
48,91-912 - SURGICAL GYNECOLOGY (Fall Term 2011)  2011
49,91-912 - SURGICAL GYNECOLOGY (Fall Term 2011)  2011
50,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2011)  2011
51,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2011)  2011
52,91-912 - SURGICAL GYNECOLOGY (Spring Term 2011)  2011
53,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2011)  2011
54,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2011)  2011
55,91-912 - SURGICAL GYNECOLOGY (Spring Term 2011)  2011
56,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2011)  2011
57,91-912 - SURGICAL GYNECOLOGY (Spring Term 2011)  2011
58,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2010)  2010
59,91-912 - SURGICAL GYNECOLOGY (Fall Term 2010)  2010
60,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2010)  2010
61,91-912 - SURGICAL GYNECOLOGY (Fall Term 2010)  2010
62,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2010)  2010
63,TERM402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2010)  2010
64,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2010)  2010
65,91-912 - SURGICAL GYNECOLOGY (Spring Term 2010)  2010
66,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2010)  2010
67,91-912 - SURGICAL GYNECOLOGY (Spring Term 2010)  2010
68,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Spring Term 2010)  2010
69,91-912 - SURGICAL GYNECOLOGY (Spring Term 2010)  2010
70,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2009)  2009
71,91-912 - SURGICAL GYNECOLOGY (Fall Term 2009)  2009
72,02-402 - OBSTETRICS/GYNECOLOGY CLERKSHIP (Fall Term 2009)  2009
