,Year,Title,Altmetric
0,2020,Synthesis of 9-(6-Deoxy-α-L-Talofuranosyl)-6-Methylpurine and 9-(6-Deoxy-β-D-Allofuranosyl)-6-Methylpurine Nucleosides  2020  10.1002/cpnc.105,
1,2016,6-Methylpurine derived sugar modified nucleosides: Synthesis and evaluation of their substrate activity with purine nucleoside phosphorylases. Bioorganic Chemistry. 65:9-16.  2016  10.1016/j.bioorg.2015.12.006,
2,2016,6-Methylpurine derived sugar modified nucleosides: Synthesis and in vivo antitumor activity in D54 tumor expressing M64V-Escherichia coli purine nucleoside phosphorylase  2016  10.1016/j.ejmech.2015.12.029,
3,2016,The synthesis and biological evaluation of alkyl and benzyl naphthyridinium analogs of eupolauridine as potential antimicrobial and cytotoxic agents. Bioorganic and Medicinal Chemistry. 24:6119-6130.  2016  10.1016/j.bmc.2016.02.028,
4,2015,"Thiarabine, 1-(4-Thio-β-D-arabinofuranosyl)cytosine. A deoxycytidine analog with excellent anticancer activity. Current Medicinal Chemistry. 22:3881-3896.  2015  10.2174/092986732234151119153534",
5,2012,Synthesis and SAR of geminal substitutions at the C5′ carbosugar position of pyrimidine-derived HCV inhibitors. Bioorganic and Medicinal Chemistry Letters. 22:6967-6973.  2012  10.1016/j.bmcl.2012.08.111,
6,2012,Preclinical antitumor activity of thiarabine in human leukemia and lymphoma xenograft models  2012  10.1080/15257770.2012.710768,
7,2012,Synthesis and SAR of pyridothiazole substituted pyrimidine derived HCV replication inhibitors. Bioorganic and Medicinal Chemistry Letters. 22:5652-5657.  2012  10.1016/j.bmcl.2012.06.099,
8,2012,Preclinical combination therapy of thiarabine plus various clinical anticancer agents  2012  10.1080/15257770.2012.712181,
9,2012,Pyridofuran substituted pyrimidine derivatives as HCV replication (replicase) inhibitors. Bioorganic and Medicinal Chemistry Letters. 22:5144-5149.  2012  10.1016/j.bmcl.2012.06.021,
10,2012,"Preparation of 1,4-disubstituted-1,2,3-triazolo ribonucleosides by Na 2CuP2O7 catalyzed azide-alkyne 1,3-dipolar cycloaddition  2012  10.3998/ark.5550190.0013.807",
11,2012,5-Benzothiazole substituted pyrimidine derivatives as HCV replication (replicase) inhibitors. Bioorganic and Medicinal Chemistry Letters. 22:3229-3234.  2012  10.1016/j.bmcl.2012.03.036,
12,2012,Novel substituted pyrimidines as HCV replication (replicase) inhibitors. Bioorganic and Medicinal Chemistry Letters. 22:1160-1164.  2012  10.1016/j.bmcl.2011.11.091,
13,2012,High throughput screening of a library based on kinase inhibitor scaffolds against Mycobacterium tuberculosis H37Rv. Tuberculosis. 92:72-83.  2012  10.1016/j.tube.2011.05.005,
14,2012,Isolation and characterization of a murine P388 leukemia line resistant to thiarabine  2012  10.1080/15257770.2011.637099,
15,2012,Synthesis and evaluation of the substrate activity of C-6 substituted purine ribosides with E. coli purine nucleoside phosphorylase: Palladium mediated cross-coupling of organozinc halides with 6-chloropurine nucleosides [1]  2012  10.1016/j.ejmech.2011.10.039,
16,2011,Isolation and characterization of a murine P388 leukemia line resistant to clofarabine  2011  10.1080/15257770.2011.604662,
17,2011,Binding and inhibition of human spermidine synthase by decarboxylated S-adenosylhomocysteine. Protein Science. 20:1836-1844.  2011  10.1002/pro.717,
18,2011,Lack of in vivo cross-resistance with 4′-thio-ara-C against drug-resistant murine P388 and L1210 leukemias. Cancer Chemotherapy and Pharmacology. 68:399-403.  2011  10.1007/s00280-010-1498-3,
19,2011,The Alabama drug discovery alliance: A collaborative partnership to facilitate academic drug discovery. Pharmaceutical Research. 28:1454-1459.  2011  10.1007/s11095-011-0432-7,
20,2010,"Alteration of the carbohydrate for deoxyguanosine analogs markedly changes DNA replication fidelity, cell cycle progression and cytotoxicity. Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis. 684:1-10.  2010  10.1016/j.mrfmmm.2009.11.011",
21,2009,Inhibition of herpesvirus replication by 5-substituted 4′- thiopyrimidine nucleosides. Antimicrobial Agents and Chemotherapy. 53:5251-5258.  2009  10.1128/AAC.00417-09,
22,2009,Antituberculosis activity of the molecular libraries screening center network library. Tuberculosis. 89:354-363.  2009  10.1016/j.tube.2009.07.006,
23,2009,High-throughput screening for inhibitors of Mycobacterium tuberculosis H37Rv. Tuberculosis. 89:334-353.  2009  10.1016/j.tube.2009.05.008,
24,2009,Regioselective metalation of 6-methylpurines: Synthesis of fluoromethyl purines and related nucleosides for suicide gene therapy of cancer  2009  10.1080/15257770903091938,
