,Teaching Activities
0,NUR553L - Nursing Practicum Women/Child (Summer Term 2021)  2021
1,NUR553L - Nursing Practicum Women/Child (Summer Term 2021)  2021
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2021)  2021
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
4,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
5,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
7,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
8,NUR553L - Nursing Practicum Women/Child (Summer Term 2019)  2019
9,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2019)  2019
10,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2018)  2018
11,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2017)  2017
12,NUR508L - Clin Prac Chldbear/Chldrea Fam (Summer Term 2017)  2017
13,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2016)  2016
14,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
15,NUR508L - Clin Prac Chldbear/Chldrea Fam (Summer Term 2016)  2016
16,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2015)  2015
17,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2015)  2015
18,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2014)  2014
19,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2014)  2014
20,NUR446L - Child Adolescent Practicum (Spring Term 2014)  2014
21,NUR446L - Child Adolescent Practicum (Fall Term 2013)  2013
22,NUR446L - Child Adolescent Practicum (Spring Term 2013)  2013
23,NUR446L - Child Adolescent Practicum (Fall Term 2012)  2012
24,NUR446L - Child Adolescent Practicum (Spring Term 2012)  2012
25,NUR446L - Child Adolescent Practicum (Fall Term 2011)  2011
26,NUR446L - Child Adolescent Practicum (Spring Term 2011)  2011
