,Year,Title,Altmetric
0,2018,Characterization of paint dust aerosol generated from mechanical abrasion of TiO2-containing paints  2018  10.1080/15459624.2018.1484126,
1,2017,"Dose-response analysis of epigenetic, metabolic, and apical endpoints after short-term exposure to experimental hepatotoxicants. Food and Chemical Toxicology. 109:690-702.  2017  10.1016/j.fct.2017.05.013",
2,2017,Influence of ambient temperature on the heterogeneity of ambient fine particle chemical composition and disease prevalence. International Journal of Environmental Health Research. 27:27-39.  2017  10.1080/09603123.2016.1257704,
3,2016,Analysis of the ambient particulate matter-induced chromosomal aberrations using an in vitro system. Journal of Visualized Experiments. 2016.  2016  10.3791/54969,
4,2016,Multiyear analyses of ground-level air contaminants over Paris metropolitan region using real-time observations and air mass backward trajectories  2016  10.1016/j.partic.2015.10.005,
5,2016,Thermal decomposition of nano-enabled thermoplastics: Possible environmental health and safety implications. Journal of Hazardous Materials. 305:87-95.  2016  10.1016/j.jhazmat.2015.11.001,
6,2016,Characterization of water-soluble organic matter in urban aerosol by 1H-NMR spectroscopy. Atmospheric Environment. 128:235-245.  2016  10.1016/j.atmosenv.2015.12.067,
7,2016,Particulate dust emission factors from unpaved roads in the U.S.-Mexico border semi-arid region. Journal of Arid Environments. 124:189-192.  2016  10.1016/j.jaridenv.2015.07.015,
8,2015,Air pollution and cardiovascular and respiratory emergency visits in Central Arkansas: A time-series analysis. Science of the Total Environment. 536:872-879.  2015  10.1016/j.scitotenv.2015.06.056,
9,2015,In vitro toxicity and epigenotoxicity of different types of ambient particulate matter. Toxicological Sciences. 148:473-487.  2015  10.1093/toxsci/kfv200,
10,2015,"Linking exposures of particles released from nano-enabled products to toxicology: An integrated methodology for particle sampling, extraction, dispersion, and dosing. Toxicological Sciences. 146:321-333.  2015  10.1093/toxsci/kfv095",
11,2015,Response of transposable elements to environmental stressors  2015  10.1016/j.mrrev.2015.05.003,
12,2015,"Chemical Variability of PM10 and PM2.5 in Southwestern Rural Nevada, USA  2015  10.1007/s11270-015-2481-8",
13,2015,An integrated methodology for the assessment of environmental health implications during thermal decomposition of nano-enabled products. Environmental Science: Nano. 2:262-272.  2015  10.1039/c4en00210e,
14,2015,UVA and cutaneous melanoma incidences: Spatial patterns and communities at risk. Journal of Environmental Health. 77:8-14.  2015,
15,2015,Erratum: Nuclear magnetic resonance spectroscopy for determining the functional content of organic aerosols: A review (Environ. Pollut. (2014) 191 (232-249)). Environmental Pollution. 196:479.  2015  10.1016/j.envpol.2014.10.017,
16,2015,"Monitoring, source identification and health risks of air toxics in Albuquerque, New Mexico, U.S.A. Aerosol and air quality research. 15:556-571.  2015  10.4209/aaqr.2014.04.0075",
17,2014,"Trends of non-accidental, cardiovascular, stroke and lung cancer mortality in Arkansas are associated with ambient PM2.5 reductions. International Journal of Environmental Research and Public Health. 11:7442-7455.  2014  10.3390/ijerph110707442",
18,2014,Functional characterization of the water-soluble organic carbon of size-fractionated aerosol in the southern Mississippi Valley. Atmospheric Chemistry and Physics. 14:6075-6088.  2014  10.5194/acp-14-6075-2014,
19,2014,"Air pollution and hospital emergency room and admissions for cardiovascular and respiratory diseases in Doña Ana County, New Mexico. Environmental Research. 129:39-46.  2014  10.1016/j.envres.2013.12.006",
20,2014,Epigenetic alterations induced by ambient particulate matter in mouse macrophages. Environmental and Molecular Mutagenesis. 55:428-435.  2014  10.1002/em.21855,
21,2014,Nuclear magnetic resonance spectroscopy for determining the functional content of organic aerosols: A review. Environmental Pollution. 191:232-249.  2014  10.1016/j.envpol.2014.04.034,
22,2014,"The effect of anthropogenic volatile organic compound sources on ozone in Boise, Idaho. Environmental Chemistry. 11:445-458.  2014  10.1071/EN13150",
23,2013,NMR Analysis of the Water-Soluble Fraction of Airborne Pollen Particles. Applied Magnetic Resonance. 44:1347-1358.  2013  10.1007/s00723-013-0492-4,
24,2013,Soil humic-like organic compounds in prescribed fire emissions using nuclear magnetic resonance spectroscopy. Environmental Pollution. 181:167-171.  2013  10.1016/j.envpol.2013.06.008,
25,2013,The impact of wind on particle mass concentrations in four European urban areas. Global NEST Journal. 15.  2013,
26,2013,Assessment of the contribution of wildfires to ozone concentrations in the central US-Mexico border region. Aerosol and air quality research. 13:838-848.  2013  10.4209/aaqr.2012.08.0232,
27,2013,"Sources, trends and regional impacts of fine particulate matter in southern Mississippi valley: Significance of emissions from sources in the Gulf of Mexico coast. Atmospheric Chemistry and Physics. 13:3721-3732.  2013  10.5194/acp-13-3721-2013",
28,2013,"Spatiotemporal variability of ground-level ozone and influence of smoke in Treasure Valley, Idaho. Atmospheric Research. 124:44-52.  2013  10.1016/j.atmosres.2012.12.005",
29,2013,Quantification of environmental tobacco smoke contribution on outdoor particulate aliphatic and polycyclic aromatic hydrocarbons. Archives of Environmental Contamination and Toxicology. 64:347-356.  2013  10.1007/s00244-012-9844-6,
30,2013,Quantitative determination of regional contributions to fine and coarse particle mass in urban receptor sites. Environmental Pollution. 176:1-9.  2013  10.1016/j.envpol.2013.01.004,
31,2013,Spatial attribution of sulfate and dust aerosol sources in an urban area using receptor modeling coupled with Lagrangian trajectories. Atmospheric Pollution Research. 4:346-353.  2013  10.5094/APR.2013.039,
32,2012,Particulate matter air pollution and respiratory symptoms in individuals having either asthma or chronic obstructive pulmonary disease: A European multicentre panel study  2012  10.1186/1476-069X-11-75,
33,2012,Environmental tobacco smoke aerosol in non-smoking households of patients with chronic respiratory diseases. Atmospheric Environment. 62:82-88.  2012  10.1016/j.atmosenv.2012.07.086,
34,2012,The effects of fuel evaporation and biomass burning on toluene concentrations in an urban area  2012  10.1007/s11270-012-1329-8,
35,2012,Association between exhaled breath condensate nitrate + nitrite levels with ambient coarse particle exposure in subjects with airways disease. Occupational and Environmental Medicine. 69:663-669.  2012  10.1136/oemed-2011-100255,
36,2012,Effects of smoking on the levels of urinary biomarkers of aromatic hydrocarbons in oil refinery workers. Stochastic Environmental Research and Risk Assessment. 26:731-738.  2012  10.1007/s00477-011-0554-9,
37,2012,Erratum: In situ observations of soil minerals and organic matter in the early phases of prescribed fires (Journal of Geophysical Research D: Atmospheres (2012) 117 (D12313) DOI: 10.1029/2011JD017420). Journal of Geophysical Research. 117.  2012  10.1029/2012JD018771,
38,2012,In situ observations of soil minerals and organic matter in the early phases of prescribed fires. Journal of Geophysical Research. 117.  2012  10.1029/2011JD017420,
39,2011,Temporal variations of atmospheric aerosol in four European urban areas. Environmental Science and Pollution Research. 18:1202-1212.  2011  10.1007/s11356-011-0471-y,
40,2010,Ambient air pollution and respiratory health effects in mail carriers. Environmental Research. 110:278-285.  2010  10.1016/j.envres.2009.11.002,
41,2010,Lung function and indicators of exposure to indoor and outdoor particulate matter among asthma and COPD patients. Occupational and Environmental Medicine. 67:2-10.  2010  10.1136/oem.2008.040857,
42,2009,Development of a geospatial screening tool to identify source areas of windblown dust. Environmental Modelling and Software. 24:1003-1011.  2009  10.1016/j.envsoft.2008.12.009,
43,2009,Source reconciliation of atmospheric dust causing visibility impairment in Class I areas of the western United States. Journal of Geophysical Research. 114.  2009  10.1029/2008JD009923,
44,2009,A new technique for characterizing the efficacy of fugitive dust suppressants. Journal of the Air and Waste Management Association. 59:603-612.  2009  10.3155/1047-3289.59.5.603,
45,2008,Indoor-outdoor relationships of particle number and mass in four European cities. Atmospheric Environment. 42:156-169.  2008  10.1016/j.atmosenv.2007.09.026,
46,2007,Spatial variation of particle number and mass over four European cities. Atmospheric Environment. 41:6622-6636.  2007  10.1016/j.atmosenv.2007.04.020,
47,2007,Assessment of the local windblown component of dust in the western United States. Journal of Geophysical Research. 112.  2007  10.1029/2006JD007832,
48,2007,Performance of a high-volume cascade impactor in six European urban environments: Mass measurement and chemical characterization of size-segregated particulate samples. Science of the Total Environment. 374:297-310.  2007  10.1016/j.scitotenv.2007.01.002,
49,2007,Dependence of home outdoor particulate mass and number concentrations on residential and traffic features in urban areas. Journal of the Air and Waste Management Association. 57:1507-1517.  2007  10.3155/1047-3289.57.12.1507,
50,2006,Particulate polycyclic aromatic hydrocarbons and n-alkanes in recycled paper processing operations. Journal of Hazardous Materials. 137:742-751.  2006  10.1016/j.jhazmat.2006.04.003,
51,2002,Direct evidence of atmospheric secondary organic aerosol formation in forest atmosphere through heteromolecular nucleation  2002  10.1021/es025811c,
52,2002,Development of a high volume cascade impactor for toxicological and chemical characterization studies. Aerosol Science and Technology. 36:925-933.  2002  10.1080/02786820290092113,
53,2002,The composition and sources of PM2.5 organic aerosol in two urban areas of Chile. Atmospheric Environment. 36:3851-3863.  2002  10.1016/S1352-2310(02)00269-8,
54,2002,"Particle size distribution of organic primary and secondary aerosol constituents in urban, background marine, and forest atmosphere. Journal of Geophysical Research. 107.  2002  10.1029/2000jd000278",
55,2002,Gas/particle partitioning and size distribution of primary and secondary carbonaceous aerosols in public buildings  2002  10.1034/j.1600-0668.2002.120104.x,
56,2001,Development and laboratory performance evaluation of a personal multipollutant sampler for simultaneous measurements of particulate and gaseous pollutants. Aerosol Science and Technology. 35:741-752.  2001  10.1080/02786820152546789,
