,Teaching Activities
0,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
1,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
2,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2019)  2019
3,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2019)  2019
4,NUR427L - Concepts of Complex Nur Pract (Fall Term 2018)  2018
5,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2017)  2017
6,NUR502L - Foundations Clinical Practice (Spring Term 2017)  2017
7,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2016)  2016
8,NUR506L - Clinical Pract Adult Patients (Summer Term 2016)  2016
9,NUR502L - Foundations Clinical Practice (Spring Term 2016)  2016
10,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2015)  2015
11,NUR506L - Clinical Pract Adult Patients (Summer Term 2015)  2015
12,NUR502L - Foundations Clinical Practice (Spring Term 2015)  2015
13,NUR506L - Clinical Pract Adult Patients (Summer Term 2014)  2014
