,Teaching Activities
0,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
1,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2019)  2019
2,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2019)  2019
3,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2019)  2019
4,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2018)  2018
5,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2018)  2018
6,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2018)  2018
7,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2017)  2017
8,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2017)  2017
9,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2017)  2017
10,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2016)  2016
11,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2016)  2016
12,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2016)  2016
13,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2015)  2015
14,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2015)  2015
15,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2014)  2014
16,NPE686L - Prac II NP Pediatric Prim Care (Summer Term 2014)  2014
17,NUR446L - Child Adolescent Practicum (Fall Term 2010)  2010
18,NUR446L - Child Adolescent Practicum (Fall Term 2010)  2010
