,Teaching Activities
0,PHL116 - Bioethics (Spring Term 2012)  2012
1,GRD717 - Prin of Scientific Integrity (Fall Term 2011)  2011
2,PHL116 - Bioethics (Fall Term 2011)  2011
3,PHL116 - Bioethics (Fall Term 2011)  2011
4,GRD717 - Prin of Scientific Integrity (Summer Term 2011)  2011
5,GRD717 - Prin of Scientific Integrity (Fall Term 2010)  2010
6,EPI790 - Doctoral Seminar (Summer Term 2010)  2010
7,PHL499 - Directed Studies - RES (Spring Term 2010)  2010
8,GRD717 - Prin of Scientific Integrity (Fall Term 2009)  2009
9,PHL315 - Ethics: Good/Evil (Spring Term 2009)  2009
10,PHL499 - Directed Studies - RES (Spring Term 2009)  2009
11,GRD717 - Prin of Scientific Integrity (Fall Term 2008)  2008
12,LCH102 - Freshman Sem:Cont Eth & Soc Pr (Fall Term 2008)  2008
13,PHL490 - Philosophy Seminar (Fall Term 2008)  2008
14,PHL590 - Directed Readings (Fall Term 2008)  2008
15,GRD717 - Prin of Scientific Integrity (Spring Term 2008)  2008
16,GRD717 - Prin of Scientific Integrity (Fall Term 2007)  2007
17,LCH102 - Freshman Sem:Cont Eth & Soc Pr (Fall Term 2007)  2007
