,Teaching Activities
0,PG721 - Advanced Clinical  Pros I (Spring Term 2021)  2020 - 2021
1,PG722 - Advanced Clinical Pros II (Spring Term 2021)  2020 - 2021
2,PG723 - Advanced Clinical Pros III (Spring Term 2021)  2020 - 2021
3,PG751 - Evidence-Based Dentistry (Spring Term 2021)  2020 - 2021
4,PG752 - PBL: Advanced Pros Topics (Spring Term 2021)  2020 - 2021
5,PG753 - Multidisciplinary Seminars I (Spring Term 2021)  2020 - 2021
6,PG754 - Treatment Planning Conf (Spring Term 2021)  2020 - 2021
7,PG755 - Prosthodontics Case Conf (Spring Term 2021)  2020 - 2021
8,PG756 - Prosthodontic Lit Review (Spring Term 2021)  2020 - 2021
9,PG757 - Board Exam Topics (Spring Term 2021)  2020 - 2021
10,DENT3240 - Introduction to TMD (Spring Term 2021)  2020 - 2021
11,PG721 - Advanced Clinical  Pros I (Fall Term 2020)  2020
12,PG722 - Advanced Clinical Pros II (Fall Term 2020)  2020
13,PG723 - Advanced Clinical Pros III (Fall Term 2020)  2020
14,PG731 - Intro to Adv Prosthodontics (Fall Term 2020)  2020
15,PG751 - Evidence-Based Dentistry (Fall Term 2020)  2020
16,PG752 - PBL: Advanced Pros Topics (Fall Term 2020)  2020
17,PG754 - Treatment Planning Conf (Fall Term 2020)  2020
18,PG755 - Prosthodontics Case Conf (Fall Term 2020)  2020
19,PG756 - Prosthodontic Lit Review (Fall Term 2020)  2020
20,PG757 - Board Exam Topics (Fall Term 2020)  2020
21,PG766 - TMD Interdisciplinary Problem (Fall Term 2020)  2020
22,PG721 - Advanced Clinical  Pros I (Spring Term 2020)  2019 - 2020
23,PG722 - Advanced Clinical Pros II (Spring Term 2020)  2019 - 2020
24,PG723 - Advanced Clinical Pros III (Spring Term 2020)  2019 - 2020
25,PG751 - Evidence-Based Dentistry (Spring Term 2020)  2019 - 2020
26,PG752 - PBL: Advanced Pros Topics (Spring Term 2020)  2019 - 2020
27,PG754 - Treatment Planning Conf (Spring Term 2020)  2019 - 2020
28,PG755 - Prosthodontics Case Conf (Spring Term 2020)  2019 - 2020
29,PG756 - Prosthodontic Lit Review (Spring Term 2020)  2019 - 2020
30,PG757 - Board Exam Topics (Spring Term 2020)  2019 - 2020
31,DENT3240 - Introduction to TMD (Spring Term 2020)  2020
32,PG591 - Special Topics in Maxil Pros (Fall Term 2019)  2019
33,PG592 - Adv Maxillofac Pros Lab Tech (Fall Term 2019)  2019
34,PG721 - Advanced Clinical  Pros I (Fall Term 2019)  2019
35,PG722 - Advanced Clinical Pros II (Fall Term 2019)  2019
36,PG723 - Advanced Clinical Pros III (Fall Term 2019)  2019
37,PG751 - Evidence-Based Dentistry (Fall Term 2019)  2019
38,PG752 - PBL: Advanced Pros Topics (Fall Term 2019)  2019
39,PG754 - Treatment Planning Conf (Fall Term 2019)  2019
40,PG755 - Prosthodontics Case Conf (Fall Term 2019)  2019
41,PG756 - Prosthodontic Lit Review (Fall Term 2019)  2019
42,PG757 - Board Exam Topics (Fall Term 2019)  2019
43,PG766 - TMD Interdisciplinary Problem (Fall Term 2019)  2019
44,PG565 - Maxillofacial Pros. Seminar (Spring Term 2019)  2018 - 2019
45,PG566 - Clinical Max Prosthetics (Spring Term 2019)  2018 - 2019
46,PG591 - Special Topics in Maxil Pros (Spring Term 2019)  2018 - 2019
47,PG592 - Adv Maxillofac Pros Lab Tech (Spring Term 2019)  2018 - 2019
48,PG721 - Advanced Clinical  Pros I (Spring Term 2019)  2018 - 2019
49,PG722 - Advanced Clinical Pros II (Spring Term 2019)  2018 - 2019
50,PG723 - Advanced Clinical Pros III (Spring Term 2019)  2018 - 2019
51,PG751 - Evidence-Based Dentistry (Spring Term 2019)  2018 - 2019
52,PG752 - PBL: Advanced Pros Topics (Spring Term 2019)  2018 - 2019
53,PG754 - Treatment Planning Conf (Spring Term 2019)  2018 - 2019
54,PG755 - Prosthodontics Case Conf (Spring Term 2019)  2018 - 2019
55,PG756 - Prosthodontic Lit Review (Spring Term 2019)  2018 - 2019
56,PG757 - Board Exam Topics (Spring Term 2019)  2018 - 2019
57,DENT3240 - Introduction to TMD (Spring Term 2019)  2019
58,PG721 - Advanced Clinical  Pros I (Fall Term 2018)  2018
59,PG722 - Advanced Clinical Pros II (Fall Term 2018)  2018
60,PG723 - Advanced Clinical Pros III (Fall Term 2018)  2018
61,PG731 - Intro to Adv Prosthodontics (Fall Term 2018)  2018
62,PG751 - Evidence-Based Dentistry (Fall Term 2018)  2018
63,PG752 - PBL: Advanced Pros Topics (Fall Term 2018)  2018
64,PG754 - Treatment Planning Conf (Fall Term 2018)  2018
65,PG755 - Prosthodontics Case Conf (Fall Term 2018)  2018
66,PG756 - Prosthodontic Lit Review (Fall Term 2018)  2018
67,PG757 - Board Exam Topics (Fall Term 2018)  2018
68,PG766 - TMD Interdisciplinary Problem (Fall Term 2018)  2018
69,PG721 - Advanced Clinical  Pros I (Spring Term 2018)  2017 - 2018
70,PG722 - Advanced Clinical Pros II (Spring Term 2018)  2017 - 2018
71,PG723 - Advanced Clinical Pros III (Spring Term 2018)  2017 - 2018
72,PG751 - Evidence-Based Dentistry (Spring Term 2018)  2017 - 2018
73,PG752 - PBL: Advanced Pros Topics (Spring Term 2018)  2017 - 2018
74,PG754 - Treatment Planning Conf (Spring Term 2018)  2017 - 2018
75,PG755 - Prosthodontics Case Conf (Spring Term 2018)  2017 - 2018
76,PG756 - Prosthodontic Lit Review (Spring Term 2018)  2017 - 2018
77,PG757 - Board Exam Topics (Spring Term 2018)  2017 - 2018
78,DENT3240 - Introduction to TMD (Spring Term 2018)  2018
79,PG721 - Advanced Clinical  Pros I (Fall Term 2017)  2017
80,PG722 - Advanced Clinical Pros II (Fall Term 2017)  2017
81,PG723 - Advanced Clinical Pros III (Fall Term 2017)  2017
82,PG731 - Intro to Adv Prosthodontics (Fall Term 2017)  2017
83,PG751 - Evidence-Based Dentistry (Fall Term 2017)  2017
84,PG752 - PBL: Advanced Pros Topics (Fall Term 2017)  2017
85,PG754 - Treatment Planning Conf (Fall Term 2017)  2017
86,PG755 - Prosthodontics Case Conf (Fall Term 2017)  2017
