,Teaching Activities
0,NHSA683L - Nursing/Health Sys Adm II Prac (Spring Term 2020)  2020
1,NHSA682L - Nursing/Health Sys Adm I Pract (Fall Term 2019)  2019
2,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2019)  2019
3,NHSA682L - Nursing/Health Sys Adm I Pract (Fall Term 2018)  2018
4,NHSA681L - Adv Qual/Patient Safety Pract (Summer Term 2018)  2018
5,NHSA683L - Nursing/Health Sys Adm II Prac (Spring Term 2018)  2018
6,NHSA683L - Nursing/Health Sys Adm II Prac (Spring Term 2018)  2018
7,NHSA682L - Nursing/Health Sys Adm I Pract (Fall Term 2017)  2017
8,NHSA681L - Adv Qual/Patient Safety Pract (Summer Term 2017)  2017
9,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2017)  2017
10,NHSA682L - Nursing/Health Sys Adm I Pract (Fall Term 2016)  2016
11,NHSA681L - Adv Qual/Patient Safety Pract (Summer Term 2016)  2016
12,NUR690 - Indep Study in Nursing (Spring Term 2016)  2016
13,NHSA683L - Nursing/Health Sys Adm II Prac (Fall Term 2015)  2015
14,NHSA681L - Adv Qual/Patient Safety Pract (Summer Term 2015)  2015
15,NHSA682L - Nursing/Health Sys Adm I Pract (Summer Term 2015)  2015
16,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2015)  2015
17,NHSA681L - Adv Qual/Patient Safety Pract (Spring Term 2015)  2015
18,NHSA617L - Nursing Financial Mgt Pract (Fall Term 2014)  2014
19,NHSA683L - Nursing/Health Sys Adm II Prac (Fall Term 2014)  2014
20,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2014)  2014
21,NUR456L - Leader Management Practicum (Spring Term 2014)  2014
22,NHSA617L - Nursing Financial Mgt Pract (Fall Term 2013)  2013
23,NHSA683L - Nursing/Health Sys Adm II Prac (Fall Term 2013)  2013
24,NHSA682L - Nursing/Health Sys Adm I Pract (Summer Term 2013)  2013
25,NUR456L - Leader Management Practicum (Spring Term 2013)  2013
26,NHSA683L - Nursing/Health Sys Adm II Prac (Fall Term 2012)  2012
27,NHSA682L - Nursing/Health Sys Adm I Pract (Summer Term 2012)  2012
28,NUR458L - Clinical Practicum for RNs (Summer Term 2012)  2012
29,NHSA622 - Nursing/Health Sys Admin III (Spring Term 2012)  2012
30,NHSA686L - Prac II: Nur Health Sys Admin (Spring Term 2012)  2012
31,NHSA621 - Nursing/Health Sys Admin II (Fall Term 2011)  2011
32,NHSA685L - NHSA Practicum I (Fall Term 2011)  2011
33,NUR458L - Clinical Practicum for RNs (Summer Term 2011)  2011
34,NHSA686L - Prac II: Nur Health Sys Admin (Spring Term 2011)  2011
35,NUR513 - Leadership in Prof Nursing (Spring Term 2009)  2009
