,Year,Title,Altmetric
0,2019,Rebound of medication abortion in Texas following updated mifepristone label. Contraception. 99:278-280.  2019  10.1016/j.contraception.2019.01.001,
1,2019,Counseling and referrals for women with unplanned pregnancies at publicly funded family planning organizations in Texas. Contraception. 99:48-51.  2019  10.1016/j.contraception.2018.09.006,
2,2018,Norms and stigma around unintended pregnancy in Alabama: Associations with recent contraceptive use and dual method use among young women  2018  10.1080/03630242.2017.1414099,
3,2018,"Abortion ""reversal""-Legislating without evidence. New England Journal of Medicine. 379:1491-1493.  2018  10.1056/NEJMp1805927",
4,2018,Providing Family Planning Services at Primary Care Organizations after the Exclusion of Planned Parenthood from Publicly Funded Programs in Texas: Early Qualitative Evidence. Health Services Research. 53:2770-2786.  2018  10.1111/1475-6773.12783,
5,2018,Unmet demand for short-acting hormonal and long-acting reversible contraception among community college students in Texas. Journal of American College Health. 66:360-368.  2018  10.1080/07448481.2018.1431901,
6,2018,Contraception after Delivery among Publicly Insured Women in Texas: Use Compared with Preference. Obstetrical and Gynecological Survey. 73:5-6.  2018  10.1097/01.ogx.0000527999.53522.15,
7,2017,Does information about abortion safety affect Texas voters’ opinions about restrictive laws? A randomized study. Contraception. 96:381-387.  2017  10.1016/j.contraception.2017.08.007,
8,2017,The Availability and Use of Postpartum LARC in Mexico and Among Hispanics in the United States. Maternal and Child Health Journal. 21:1744-1752.  2017  10.1007/s10995-016-2179-6,
9,2017,A socio-ecological approach for examining factors related to contraceptive use among recent Latina immigrants in an emerging Latino state  2017  10.1080/03630242.2016.1206056,
10,2017,Contraception after Delivery among Publicly Insured Women in Texas. Obstetrics and Gynecology. 130:393-402.  2017  10.1097/AOG.0000000000002136,
11,2017,Barriers to Offering Vasectomy at Publicly Funded Family Planning Organizations in Texas. American Journal of Men's Health. 11:757-766.  2017  10.1177/1557988317694296,
12,2017,Gerdts et Al. Respond. American Journal of Public Health. 107:e24-e25.  2017  10.2105/AJPH.2016.303636,
13,2017,Norms and stigma regarding pregnancy decisions during an unintended pregnancy: Development and predictors of scales among young women in the U.S. South. PLoS ONE. 12.  2017  10.1371/journal.pone.0174210,
14,2017,"Change in distance to nearest facility and abortion in Texas, 2012 to 2014  2017  10.1001/jama.2016.17026",
15,2016,Women's Knowledge of and Support for Abortion Restrictions in Texas: Findings from a Statewide Representative Survey. Perspectives on Sexual and Reproductive Health. 48:189-197.  2016  10.1363/48e8716,
16,2016,Women's experience obtaining abortion care in Texas after implementation of restrictive abortion laws: A qualitative study. PLoS ONE. 11.  2016  10.1371/journal.pone.0165048,
17,2016,Social Norms and Stigma Regarding Unintended Pregnancy and Pregnancy Decisions: A Qualitative Study of Young Women in Alabama. Perspectives on Sexual and Reproductive Health. 48:73-81.  2016  10.1363/48e9016,
18,2016,Experiences Accessing Abortion Care in Alabama among Women Traveling for Services. Women's Health Issues. 26:298-304.  2016  10.1016/j.whi.2016.01.003,
19,2016,Impact of clinic closures on women obtaining abortion services after implementation of a restrictive law in Texas. American Journal of Public Health. 106:857-864.  2016  10.2105/AJPH.2016.303134,
20,2016,Perceived interest in vasectomy among latina women and their partners in a community with limited access to female sterilization. Journal of Health Care for the Poor and Underserved. 27:762-777.  2016  10.1353/hpu.2016.0083,
21,2016,Women's experiences seeking abortion care shortly after the closure of clinics due to a restrictive law in Texas. Contraception. 93:292-297.  2016  10.1016/j.contraception.2015.12.017,
22,2016,Barriers to Postpartum Contraception in Texas and Pregnancy Within 2 Years of Delivery. Obstetrics and Gynecology. 127:289-296.  2016  10.1097/AOG.0000000000001201,
23,2015,Complications from first-trimester aspiration abortion: a systematic review of the literature. Contraception. 92:422-438.  2015  10.1016/j.contraception.2015.07.013,
24,2015,Geographic Variation in Characteristics of Postpartum Women Using Female Sterilization. Women's Health Issues. 25:628-633.  2015  10.1016/j.whi.2015.06.011,
25,2015,"Continuing pregnancy after mifepristone and ""reversal"" of first-trimester medical abortion: A systematic review. Contraception. 92:206-211.  2015  10.1016/j.contraception.2015.06.001",
