,Teaching Activities
0,HCO697 - Internship (Spring Term 2019)  2019
1,HCO629 - Immigrant Health (Fall Term 2018)  2018
2,HCO697 - Internship (Fall Term 2018)  2018
3,HCO729 - Immigrant Health (Fall Term 2018)  2018
4,HCO629 - Immigrant Health (Fall Term 2017)  2017
5,HCO697 - Internship (Fall Term 2017)  2017
6,HCO697 - Internship (Summer Term 2017)  2017
7,HCO697 - Internship (Summer Term 2016)  2016
8,HCO695 - Health Care Organization Sem (Spring Term 2016)  2016
9,HCO697 - Internship (Summer Term 2015)  2015
10,HCO629 - Immigrant Health (Fall Term 2014)  2014
11,HCO729 - Immigrant Health (Fall Term 2014)  2014
12,HCO697 - Internship (Summer Term 2014)  2014
13,HCO697 - Internship (Fall Term 2013)  2013
14,HCO697 - Internship (Summer Term 2013)  2013
