,Year,Title,Altmetric
0,2019,Revisiting age-related admission following tonsillectomy in the pediatric population  2019  10.1002/lary.27795,
1,2018,Pediatric anaplastic embryonal rhabdomyosarcoma: Targeted therapy guided by genetic analysis and a patient-derived xenograft study. Frontiers in Oncology. 7.  2018  10.3389/fonc.2017.00327,
2,2016,Early surgical intervention in type I laryngeal cleft. International Journal of Pediatric Otorhinolaryngology. 90:236-240.  2016  10.1016/j.ijporl.2016.09.017,
3,2015,Pediatric lingual and other intraoral lesions. Otolaryngologic Clinics of North America. 48:175-190.  2015  10.1016/j.otc.2014.09.012,
4,2013,Preclinical comparison of near-infrared-labeled cetuximab and panitumumab for optical imaging of head and neck squamous cell carcinoma  2013  10.1007/s11307-013-0652-9,
5,2011,MRSA and non-MRSA otorrhea in children: A comparative study of clinical course  2011  10.1001/archoto.2011.198,
6,2011,Recurrent pediatric aggressive fibromatosis of the head and neck with vocal cord paralysis: A case report and review  2011  10.1016/j.pedex.2010.07.005,
7,2009,Minimally invasive parathyroidectomy: Use of intraoperative parathyroid hormone assays after 2 preoperative localization studies  2009  10.1001/archoto.2009.160,
8,2009,Functional outcomes after transoral robotic surgery for head and neck cancer  2009  10.1016/j.otohns.2009.05.014,
9,2009,Revision Septoplasty. Otolaryngologic Clinics of North America. 42:261-278.  2009  10.1016/j.otc.2009.01.014,
10,2007,Role of microvascular density in nonlocalizing parathyroid sestamibi scans  2007  10.1097/MLG.0b013e318149241f,
11,2007,Sensitivity and specificity of fluorescent immunoguided neoplasm detection in head and neck cancer xenografts  2007  10.1001/archotol.133.5.511,
12,2007,Use of fluorescent labeled anti-epidermal growth factor receptor antibody to image head and neck squamous cell carcinoma xenografts. Molecular Cancer Therapeutics. 6:1230-1238.  2007  10.1158/1535-7163.MCT-06-0741,
13,2006,In vivo detection of head and neck cancer orthotopic xenografts by immunofluorescence  2006  10.1097/01.mlg.0000232513.19873.da,
14,2006,"Pretreatment, preoperative swallowing exercises may improve dysphagia quality of life  2006  10.1097/01.mlg.0000217278.96901.fc",
15,2005,High-risk tracheostomy: Exploring the limits of the percutaneous tracheostomy  2005  10.1097/01.MLG.0000163107.80668.12,
