,Teaching Activities
0,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2021)  2021
1,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2021)  2021
2,NUR551L - Vulnerable Pop Practicum (Fall Term 2020)  2020
3,NUR551L - Vulnerable Pop Practicum (Fall Term 2020)  2020
4,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2020)  2020
5,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2020)  2020
6,NUR551L - Vulnerable Pop Practicum (Fall Term 2019)  2019
7,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2019)  2019
8,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2019)  2019
9,NUR551L - Vulnerable Pop Practicum (Fall Term 2018)  2018
10,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2018)  2018
11,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2018)  2018
12,NUR516L - Clin Practice Psych-Mental Hlt (Fall Term 2017)  2017
13,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2017)  2017
14,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2017)  2017
15,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2016)  2016
16,NUR516L - Clin Practice Psych-Mental Hlt (Summer Term 2015)  2015
17,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2015)  2015
18,NUR516L - Clin Practice Psych-Mental Hlt (Summer Term 2014)  2014
19,NUR386L - Psychiatric Mental Hlth Pract (Fall Term 2013)  2013
20,NUR386L - Psychiatric Mental Hlth Pract (Spring Term 2013)  2013
