,Year,Title,Altmetric
0,2000,A five year longitudinal radiographic evaluation of bone changes around tooth/implant and implant supported prostheses.. Journal of Dental Research. 79:297-297.  2000,
1,2000,Comparison of implant/tooth supported prostheses with rigid and non-rigid connectors - a 5-year study.. Journal of Dental Research. 79:296-296.  2000,
2,1997,Longitudinal radiographic evaluation of bone changes around tooth/implant and implant supported prostheses. Journal of Dental Research. 76:84-84.  1997,
3,1995,Mechanical properties of a light-polymerizing provisional restorative material with and without reinforcement fibers. Journal of Prosthetic Dentistry. 73:510-514.  1995  10.1016/S0022-3913(05)80108-8,
4,1992,Rapid mixing of zinc phosphate cement for fixed prosthodontic procedures. Journal of Prosthetic Dentistry. 67:52-58.  1992  10.1016/0022-3913(92)90049-G,
5,1991,An SEM evaluation of the in-vitro effects of an air-abrasive system on various implant surfaces. International Journal of Oral and Maxillofacial Implants. 6:1-11.  1991,
6,1991,An SEM evaluation of the in-vitro effects of an air-abrasive system on various implant surfaces. International Journal of Oral and Maxillofacial Implants. 6:463-469.  1991,
7,1991,Application of silica coating technique for removable prosthodontics. A clinical report. Journal of Prosthetic Dentistry. 65:1-3.  1991  10.1016/0022-3913(91)90037-W,
8,1991,The multidisciplinary approach managing enamel defects.. Journal of the American Dental Association. 122:62-65.  1991  10.14219/jada.archive.1991.0071,
9,1990,Comparison of dye and ion microleakage tests.. American Journal of Dentistry. 3:192-194.  1990,
10,1990,CLINICAL-PRACTICE - PROFESSIONAL AFFAIRS - DISCUSSION. Journal of Prosthetic Dentistry. 64:270-273.  1990,
11,1990,EDUCATION - DISCUSSION. Journal of Prosthetic Dentistry. 64:351-357.  1990,
12,1990,2-AND-ONE-HALF YEARS EVALUATION OF CLINICAL ESTHETIC VENEERS (DICOR). Journal of Dental Research. 69:279-279.  1990,
13,1990,OBTURATION EFFICACY AFTER POST-SPACE PREPARATION - EFFECT OF OBTURATION DIAMETER. Journal of Dental Research. 69:176-176.  1990,
14,1989,Fixed partial dentures opposing complete dentures. Journal of Prosthetic Dentistry. 62:483-487.  1989  10.1016/0022-3913(89)90186-8,
15,1986,Use of Ca (OH)2 for measuring microleakage. Dental Materials. 2:121-124.  1986  10.1016/S0109-5641(86)80007-0,
16,1984,An in vitro comparison of two dowel and core techniques for endodontically treated molars. Journal of Prosthetic Dentistry. 51:509-514.  1984  10.1016/0022-3913(84)90303-2,
17,1983,Management of the endodontically treated tooth. Part I: Concept for restorative designs. Journal of Prosthetic Dentistry. 49:340-345.  1983  10.1016/0022-3913(83)90274-3,
18,1983,Management of the endodontically treated tooth. Part II: Technique. Journal of Prosthetic Dentistry. 49:491-497.  1983  10.1016/0022-3913(83)90309-8,
19,1982,Erosion: a case caused by unusual diet.. Journal of the American Dental Association. 104:51-52.  1982  10.14219/jada.archive.1982.0147,
20,1982,Fixed-removable partial denture. Journal of Prosthetic Dentistry. 48:547-550.  1982  10.1016/0022-3913(82)90360-2,
