,Teaching Activities
0,NAH692L - Residency: Adult/Gero NP (Summer Term 2021)  2021
1,NAH692L - Residency: Adult/Gero NP (Summer Term 2021)  2021
2,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2020)  2020
3,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2020)  2020
4,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2019)  2019
5,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2019)  2019
6,NAH692L - Residency: Adult/Gero NP (Summer Term 2019)  2019
7,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2019)  2019
8,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2018)  2018
9,NAH692L - Residency: Adult/Gero NP (Summer Term 2018)  2018
10,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2018)  2018
11,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2017)  2017
12,NAH692L - Residency: Adult/Gero NP (Summer Term 2017)  2017
13,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2017)  2017
14,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2016)  2016
15,NAH692L - Residency: Adult/Gero NP (Summer Term 2016)  2016
16,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2016)  2016
17,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2015)  2015
18,NAH692L - Residency: Adult/Gero NP (Summer Term 2015)  2015
19,NAH692L - Residency: Adult/Gero NP (Summer Term 2015)  2015
20,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2015)  2015
21,NAH692L - Residency: Adult/Gero NP (Fall Term 2014)  2014
22,NAH686L - Practicum II: Adult/Gero NP (Summer Term 2014)  2014
23,NAH685L - Prac I: Adult/Gero Nurse Pract (Spring Term 2014)  2014
24,NAH692L - Residency: Adult/Gero NP (Fall Term 2013)  2013
25,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
26,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
27,NAH692L - Residency:Adult Nurse Pract (Fall Term 2012)  2012
28,NAH686L - Practicum II Adult Nurse Pract (Summer Term 2012)  2012
29,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2012)  2012
