,Teaching Activities
0,NUR612 - Advanced Pathophysiology (Fall Term 2019)  2019
1,NUR612 - Advanced Pathophysiology (Fall Term 2019)  2019
2,NUR612 - Advanced Pathophysiology (Summer Term 2019)  2019
3,NUR612 - Advanced Pathophysiology (Summer Term 2019)  2019
4,NUR612 - Advanced Pathophysiology (Fall Term 2018)  2018
5,NUR612 - Advanced Pathophysiology (Summer Term 2018)  2018
6,NUR612 - Advanced Pathophysiology (Summer Term 2018)  2018
7,NUR475 - Health Assessment for RNs (Spring Term 2018)  2018
8,NUR475 - Health Assessment for RNs (Fall Term 2017)  2017
9,NUR612 - Advanced Pathophysiology (Fall Term 2017)  2017
10,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2017)  2017
11,NUR475 - Health Assessment for RNs (Spring Term 2017)  2017
12,NUR475 - Health Assessment for RNs (Fall Term 2016)  2016
13,NUR612 - Advanced Pathophysiology (Fall Term 2016)  2016
14,NUR612 - Advanced Pathophysiology (Summer Term 2016)  2016
15,NUR612 - Advanced Pathophysiology (Summer Term 2016)  2016
16,NUR475 - Health Assessment for RNs (Spring Term 2016)  2016
17,NUR475 - Health Assessment for RNs (Fall Term 2015)  2015
18,NUR612 - Advanced Pathophysiology (Fall Term 2015)  2015
19,NUR612 - Advanced Pathophysiology (Summer Term 2015)  2015
20,NUR475 - Health Assessment for RNs (Spring Term 2015)  2015
21,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
22,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
23,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
24,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
25,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
26,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
27,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
28,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
29,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
30,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
31,NUR612 - Advanced Pathophysiology (Summer Term 2014)  2014
32,NUR612 - Advanced Pathophysiology (Summer Term 2014)  2014
33,NUR612 - Advanced Pathophysiology (Summer Term 2014)  2014
