,Teaching Activities
0,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2021)  2021
1,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2021)  2021
2,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2021)  2021
3,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2020)  2020
4,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2020)  2020
5,NUR313L - Concepts Professional Nur Prac (Spring Term 2020)  2020
6,NUR313L - Concepts Professional Nur Prac (Spring Term 2020)  2020
7,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
8,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
9,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2018)  2018
10,NUR313L - Concepts Professional Nur Prac (Fall Term 2017)  2017
11,NUR506L - Clinical Pract Adult Patients (Summer Term 2017)  2017
