,Teaching Activities
0,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2021)  2021
1,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2021)  2021
2,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2021)  2021
3,NUR606 - Translating Evidence into Prac (Fall Term 2020)  2020
4,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2020)  2020
5,NUR606 - Translating Evidence into Prac (Spring Term 2020)  2020
6,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2019)  2019
7,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2019)  2019
8,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2019)  2019
9,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2019)  2019
10,NUR606 - Translating Evidence into Prac (Spring Term 2019)  2019
11,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
12,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
13,NFH623 - Advanced Family Nursing III (Summer Term 2018)  2018
14,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2018)  2018
15,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2017)  2017
16,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2017)  2017
17,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2017)  2017
18,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2016)  2016
19,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2014)  2014
20,NAH685L - Prac I: Adult/Gero Nurse Pract (Spring Term 2014)  2014
