,Teaching Activities
0,NHSA631 - Adv Quality/Patient Safety (Summer Term 2021)  2021
1,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2021)  2021
2,NHSA683L - Nursing/Health Sys Adm II Prac (Spring Term 2021)  2021
3,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2020)  2020
4,NHSA631 - Adv Quality/Patient Safety (Summer Term 2019)  2019
5,NHSA633 - Nursing/Health Sys Adm II (Spring Term 2019)  2019
6,NHSA631 - Adv Quality/Patient Safety (Summer Term 2018)  2018
7,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2018)  2018
8,NHSA681L - Adv Qual/Patient Safety Pract (Summer Term 2017)  2017
9,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2017)  2017
10,NHSA631 - Adv Quality/Patient Safety (Summer Term 2016)  2016
11,NHSA616 - Nursing Financial Management (Spring Term 2016)  2016
12,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2016)  2016
13,NHSA682L - Nursing/Health Sys Adm I Pract (Fall Term 2015)  2015
14,NHSA631 - Adv Quality/Patient Safety (Summer Term 2015)  2015
15,NHSA631 - Adv Quality/Patient Safety (Spring Term 2015)  2015
16,NHSA617L - Nursing Financial Mgt Pract (Fall Term 2014)  2014
17,NHSA683L - Nursing/Health Sys Adm II Prac (Fall Term 2014)  2014
18,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2014)  2014
19,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2014)  2014
