,Teaching Activities
0,ECE410 - Organiz Program/Young Children (Spring Term 2021)  2021
1,ECE631 - Programs for Young Children (Spring Term 2021)  2021
2,EDR652 - Pre/Early Reading Instruction (Summer Term 2020)  2020
3,ECE492 - Home Visitation Curr Projs (Spring Term 2020)  2020
4,ECE347 - Lang Exper for the Young Chld (Spring Term 2020)  2020
5,ECE750 - Literacy Before School (Spring Term 2020)  2020
6,EDC799 - Dissertation Research (Spring Term 2020)  2020
7,EDR653 - Literature for Grades P-12 (Spring Term 2020)  2020
8,EEC691 - Practicum in ECE/ELEM (Spring Term 2020)  2020
9,EDC799 - Dissertation Research (Fall Term 2019)  2019
10,ECE799 - Dissertation Research (Summer Term 2019)  2019
11,ECE751 - School/Literacy Instruction (Spring Term 2019)  2019
12,ECE798 - Non-Dissertation Research (Spring Term 2019)  2019
13,ECE799 - Dissertation Research (Spring Term 2019)  2019
14,EDC797 - Dissertation Seminar (Spring Term 2019)  2019
15,EEC302 - Expressive Arts (P-6) (Spring Term 2019)  2019
16,EEC405 - Children's Lit in EC and Elem (Spring Term 2019)  2019
17,EEC505 - Children's Lit in EC and Elem (Spring Term 2019)  2019
18,EEC593 - Individual Readings (Spring Term 2019)  2019
19,ECE750 - Literacy Before School (Fall Term 2018)  2018
20,ECE799 - Dissertation Research (Fall Term 2018)  2018
21,EEC405 - Children's Lit in EC and Elem (Fall Term 2018)  2018
22,EEC505 - Children's Lit in EC and Elem (Fall Term 2018)  2018
23,ECE737 - Parent/Child/School Interface (Summer Term 2018)  2018
24,ECE740 - Research Apprenticeship (Summer Term 2018)  2018
25,ECE760 - Current Issues in Education (Summer Term 2018)  2018
26,ECE799 - Dissertation Research (Summer Term 2018)  2018
27,ECE799 - Dissertation Research (Spring Term 2018)  2018
28,ECE798 - Non-Dissertation Research (Fall Term 2017)  2017
29,ECE799 - Dissertation Research (Fall Term 2017)  2017
30,ECE792 - Directed Readings in Research (Summer Term 2017)  2017
31,ECE798 - Non-Dissertation Research (Summer Term 2017)  2017
32,ECE799 - Dissertation Research (Summer Term 2017)  2017
33,ECE751 - School/Literacy Instruction (Spring Term 2017)  2017
34,ECE790 - Internship ECE and Development (Spring Term 2017)  2017
35,ECE792 - Directed Readings in Research (Spring Term 2017)  2017
36,ECE793 - Individual Research in ECE (Spring Term 2017)  2017
37,ECE794 - Current Research Topics ECE (Spring Term 2017)  2017
38,ECE798 - Non-Dissertation Research (Spring Term 2017)  2017
39,ECE799 - Dissertation Research (Spring Term 2017)  2017
40,EDR690 - Internship in Reading (Spring Term 2017)  2017
41,EEC672 - Piaget & Perspectives Learning (Spring Term 2017)  2017
42,ECE740 - Research Apprenticeship (Fall Term 2016)  2016
43,ECE798 - Non-Dissertation Research (Fall Term 2016)  2016
44,ECE799 - Dissertation Research (Fall Term 2016)  2016
45,EDR690 - Internship in Reading (Fall Term 2016)  2016
46,EDR690 - Internship in Reading (Fall Term 2016)  2016
47,ECE630 - Cognitive Curriculum ECE (Summer Term 2016)  2016
