,Year,Title,Altmetric
0,2021,Typical 22q11.2 deletion syndrome appears to confer a reduced risk of schwannoma. Genetics in Medicine. 23:1779-1782.  2021  10.1038/s41436-021-01175-0,
1,2021,Revised diagnostic criteria for neurofibromatosis type 1 and Legius syndrome: an international consensus recommendation. Genetics in Medicine. 23:1506-1513.  2021  10.1038/s41436-021-01170-5,
2,2021,Targeted massively parallel sequencing of candidate regions on chromosome 22q predisposing to multiple schwannomas: An analysis of 51 individuals in a single-center experience. Human Mutation. 2021  10.1002/humu.24294,
3,2020,Constitutional mismatch repair deficiency is the diagnosis in 0.41% of pathogenic NF1/SPRED1 variant negative children suspected of sporadic neurofibromatosis type 1. Genetics in Medicine. 22:2081-2088.  2020  10.1038/s41436-020-0925-z,
4,2020,AG-exclusion zone revisited: Lessons to learn from 91 intronic NF1 3′ splice site mutations outside the canonical AG-dinucleotides. Human Mutation. 41:1145-1156.  2020  10.1002/humu.24005,
5,2020,Quantification of splice variants using real-time PCR. Nucleic Acids Research. 29.  2020  10.1093/nar/29.13.e68,
6,2019,Child Neurology: Spastic paraparesis and dystonia with a novel ADCY5 mutation. Neurology. 93:510-514.  2019  10.1212/WNL.0000000000008089,
7,2019,First International Conference on RASopathies and Neurofibromatoses in Asia: Identification and advances of new therapeutics  2019  10.1002/ajmg.a.61125,
8,2019,"From process to progress—2017 International Conference on Neurofibromatosis 1, Neurofibromatosis 2 and Schwannomatosis  2019  10.1002/ajmg.a.61112",
9,2019,Expanding the clinical phenotype of individuals with a 3-bp in-frame deletion of the NF1 gene (c.2970_2972del): an update of genotype–phenotype correlation. Genetics in Medicine. 21:867-876.  2019  10.1038/s41436-018-0269-0,
10,2019,"Correction to: Expanding the clinical phenotype of individuals with a 3-bp in-frame deletion of the NF1 gene (c.2970_2972del): an update of genotype–phenotype correlation (Genetics in Medicine, (2018), 10.1038/s41436-018-0269-0). Genetics in Medicine. 21:764-765.  2019  10.1038/s41436-018-0326-8",
11,2019,Constitutional mismatch repair deficiency as a differential diagnosis of neurofibromatosis type 1: Consensus guidelines for testing a child without malignancy. Journal of Medical Genetics. 56:53-62.  2019  10.1136/jmedgenet-2018-105664,
12,2019,Ultra-deep amplicon sequencing indicates absence of low-grade mosaicism with normal cells in patients with type-1 NF1 deletions. Human Genetics. 138:73-81.  2019  10.1007/s00439-018-1961-5,
13,2018,Mutations in LZTR1 drive human disease by dysregulating RAS ubiquitination. Science. 362:1177-1182.  2018  10.1126/science.aap7607,
14,2018,Genetically engineered minipigs model the major clinical features of human neurofibromatosis type 1. Communications Biology. 1.  2018  10.1038/s42003-018-0163-y,
15,2018,Germline and somatic NF1 alterations are linked to increased HER2 expression in breast cancer. Cancer Prevention Research. 11:655-663.  2018  10.1158/1940-6207.CAPR-18-0072,
16,2018,Extreme clustering of type-1 NF1 deletion breakpoints co-locating with G-quadruplex forming sequences. Human Genetics. 137:511-520.  2018  10.1007/s00439-018-1904-1,
17,2018,High-Throughput Tabular Data Processor – Platform independent graphical tool for processing large data sets. PLoS ONE. 13.  2018  10.1371/journal.pone.0192858,
18,2018,Genotype-Phenotype Correlation in NF1: Evidence for a More Severe Phenotype Associated with Missense Mutations Affecting NF1 Codons 844–848. American Journal of Human Genetics. 102:69-87.  2018  10.1016/j.ajhg.2017.12.001,
19,2018,Breast cancer risk and germline genomic profiling of women with neurofibromatosis type 1 who developed breast cancer  2018  10.1002/gcc.22503,
20,2018,Unilateral vestibular schwannoma and meningiomas in a patient with PIK3CA-related segmental overgrowth: Co-occurrence of mosaicism for 2 rare disorders  2018  10.1111/cge.13099,
21,2017,Constitutional LZTR1 mutation presenting with a unilateral vestibular schwannoma in a teenager  2017  10.1111/cge.13013,
22,2017,Alternative outcomes of pathogenic complex somatic structural variations in the genomes of NF1 and NF2 patients. neurogenetics. 18:169-174.  2017  10.1007/s10048-017-0512-x,
23,2017,panelcn.MOPS: Copy-number detection in targeted NGS panel data for clinical diagnostics. Human Mutation. 38:889-897.  2017  10.1002/humu.23237,
24,2017,Predicting neurofibromatosis type 1 risk among children with isolated café-au-lait macules. Journal of The American Academy of Dermatology. 76:1077-1083.e3.  2017  10.1016/j.jaad.2017.02.027,
25,2017,Connections between constitutional mismatch repair deficiency syndrome and neurofibromatosis type 1  2017  10.1111/cge.12904,
26,2017,Mosaicism for a SPRED1 deletion revealed in a patient with clinically suspected mosaic neurofibromatosis. British Journal of Dermatology. 176:1077-1078.  2017  10.1111/bjd.14873,
27,2017,Analysis of copy number variants in 11 pairs of monozygotic twins with neurofibromatosis type 1  2017  10.1002/ajmg.a.38058,
28,2016,Mice with missense and nonsense NF1 mutations display divergent phenotypes compared with human neurofibromatosis type I  2016  10.1242/dmm.025783,
29,2016,"Interaction between a domain of the negative regulator of the ras-ERK pathway, SPRED1 protein, and the GTPase-activating protein-related domain of neurofibromin is implicated in legius syndrome and neurofibromatosis type 1. Journal of Biological Chemistry. 291:3124-3134.  2016  10.1074/jbc.M115.703710",
30,2016,Fine mapping of meiotic NAHR-associated crossovers causing large NF1 deletions. Human Molecular Genetics. 25:484-496.  2016  10.1093/hmg/ddv487,
31,2015,"Report of a patient with a constitutional missense mutation in SMARCB1, Coffin-Siris phenotype, and schwannomatosis  2015  10.1002/ajmg.a.37356",
32,2015,"Cafe-au-lait macules, axillary freckling and a variant of neurofibromatosis type 1 gene. Nederlands Tijdschrift voor Dermatologie en Venereologie. 25:542-544.  2015",
33,2015,Concurrent DNA Copy-Number Alterations and Mutations in Genes Related to Maintenance of Genome Stability in Uninvolved Mammary Glandular Tissue from Breast Cancer Patients. Human Mutation. 36:1088-1099.  2015  10.1002/humu.22845,
34,2015,High Incidence of Noonan Syndrome Features Including Short Stature and Pulmonic Stenosis in Patients carrying NF1 Missense Mutations Affecting p.Arg1809: Genotype-Phenotype Correlation. Human Mutation. 36:1052-1063.  2015  10.1002/humu.22832,
35,2015,Paraspinal neurofibromas and hypertrophic neuropathy in Noonan syndrome with multiple lentigines. Journal of Medical Genetics. 53:123-126.  2015  10.1136/jmedgenet-2015-103177,
36,2015,Decoding NF1 Intragenic Copy-Number Variations. American Journal of Human Genetics. 97:238-249.  2015  10.1016/j.ajhg.2015.06.002,
37,2015,The third international meeting on genetic disorders in the RAS/MAPK pathway: Towards a therapeutic approach  2015  10.1002/ajmg.a.37089,
38,2015,Clinical implications of rabphillin-3A-like gene alterations in breast cancer. PLoS ONE. 10.  2015  10.1371/journal.pone.0129216,
39,2015,Sex-discordant monochorionic twins with blood and tissue chimerism  2015  10.1002/ajmg.a.37022,
40,2015,Elucidating the impact of neurofibromatosis-1 germline mutations on neurofibromin function and dopamine-based learning. Human Molecular Genetics. 24:3518-3528.  2015  10.1093/hmg/ddv103,
41,2015,Hypomagnesemia due to two novel TRPM6 mutations. Journal of Pediatric Endocrinology and Metabolism. 28:1373-1378.  2015  10.1515/jpem-2014-0394,
42,2014,Identification of Large NF1 duplications reciprocal to NAHR-Mediated Type-1 NF1 deletions. Human Mutation. 35:1469-1475.  2014  10.1002/humu.22692,
43,2014,Update from the 2013 international neurofibromatosis conference  2014  10.1002/ajmg.a.36754,
44,2014,SVA retrotransposon insertion-associated deletion represents a novel mutational mechanism underlying large genomic copy number changes with non-recurrent breakpoints. Genome Biology. 15.  2014  10.1186/gb-2014-15-6-r80,
45,2014,Analysis of crossover breakpoints yields new insights into the nature of the gene conversion events associated with large NF1 deletions mediated by nonallelic homologous recombination. Human Mutation. 35:215-226.  2014  10.1002/humu.22473,
46,2014,Germline loss-of-function mutations in LZTR1 predispose to an inherited disorder of multiple schwannomas. Nature Genetics. 46:182-187.  2014  10.1038/ng.2855,
47,2014,"Jaffe-Campanacci syndrome, revisited: Detailed clinical and molecular analyses determine whether patients have neurofibromatosis type 1, coincidental manifestations, or a distinct disorder. Genetics in Medicine. 16:448-459.  2014  10.1038/gim.2013.163",
48,2014,Palindrome-Mediated and Replication-Dependent Pathogenic Structural Rearrangements within the NF1 Gene. Human Mutation. 35:891-898.  2014  10.1002/humu.22569,
49,2013,Adrenal hypoplasia congenita with phenotypic features suggestive of neurofibromatosis type 1 among three African-American brothers  2013  10.1002/ajmg.a.36031,
50,2013,Mutation spectrum of NF1 and clinical characteristics in 78 Korean patients with neurofibromatosis Type 1. Pediatric Neurology. 48:447-453.  2013  10.1016/j.pediatrneurol.2013.02.004,
51,2013,Update from the 2011 International Schwannomatosis Workshop: From genetics to diagnostic criteria  2013  10.1002/ajmg.a.35760,
52,2013,"Paraspinal ganglioneuroma in the proband of a large family with mild cutaneous manifestations of NF1, carrying a deep NF1 intronic mutation  2013  10.1111/j.1399-0004.2012.01882.x",
53,2013,Elucidating distinct roles for NF1 in melanomagenesis. Cancer Discovery. 3:339-349.  2013  10.1158/2159-8290.CD-12-0313,
54,2012,Identification of recurrent type-2 NF1 microdeletions reveals a mitotic nonallelic homologous recombination hotspot underlying a human genomic disorder. Human Mutation. 33:1599-1609.  2012  10.1002/humu.22171,
55,2012,Review and update of SPRED1 mutations causing legius syndrome. Human Mutation. 33:1538-1546.  2012  10.1002/humu.22152,
56,2012,Improved multiplex ligation-dependent probe amplification analysis identifies a deleterious PMS2 allele generated by recombination with crossover between PMS2 and PMS2CL  2012  10.1002/gcc.21966,
57,2012,"Multiple orbital neurofibromas, painful peripheral nerve tumors, distinctive face and marfanoid habitus: A new syndrome. European Journal of Human Genetics. 20:618-625.  2012  10.1038/ejhg.2011.275",
58,2012,"Multiple, diffuse schwannomas in a RASopathy phenotype patient with germline KRAS mutation: A causal relationship?  2012  10.1111/j.1399-0004.2011.01764.x",
59,2012,Café-au-lait macules and intertriginous freckling in piebaldism: Clinical overlap with neurofibromatosis type 1 and Legius syndrome  2012  10.1002/ajmg.a.35297,
60,2012,Neurofibromatosis 2011: A report of the Children's Tumor Foundation Annual Meeting. Acta Neuropathologica. 123:369-380.  2012  10.1007/s00401-011-0905-0,
61,2012,Characterization of the nonallelic homologous recombination hotspot PRS3 associated with type-3 F1 deletions. Human Mutation. 33:372-383.  2012  10.1002/humu.21644,
62,2012,Prognostic significance and gene expression profiles of p53 mutations in microsatellite-stable Stage III colorectal adenocarcinomas. PLoS ONE. 7.  2012  10.1371/journal.pone.0030020,
63,2012,"Gonosomal mosaicism for an NF1 deletion in a sperm donor: Evidence of the need for coordinated, long-term communication of health information among relevant parties. Human Reproduction. 27:1223-1226.  2012  10.1093/humrep/des014",
64,2011,The NF1 gene contains hotspots for L1 endonuclease-dependent De Novo insertion. PLoS Genetics. 7.  2011  10.1371/journal.pgen.1002371,
65,2011,"Identification of SPRED1 deletions using RT-PCR, multiplex ligation-dependent probe amplification and quantitative PCR  2011  10.1002/ajmg.a.33894",
66,2011,Mosaic type-1 NF1 microdeletions as a cause of both generalized and segmental neurofibromatosis type-1 (NF1). Human Mutation. 32:213-219.  2011  10.1002/humu.21418,
67,2011,The development of cutaneous neurofibromas. American Journal of Pathology. 178:500-505.  2011  10.1016/j.ajpath.2010.10.041,
68,2010,Bax expression is a candidate prognostic and predictive marker of colorectal cancer.. Journal of Gastrointestinal Oncology. 1:76-89.  2010  10.3978/j.issn.2078-6891.2010.019,
69,2010,Coexistence of neurofibromatosis type 1 and mosaic trisomy 8 in the same patient  2010,
70,2010,Phenotypic variability among café-au-lait macules in neurofibromatosis type 1. Journal of The American Academy of Dermatology. 63:440-447.  2010  10.1016/j.jaad.2009.09.042,
71,2010,Identification of PKHD1 multiexon deletions using multiplex ligation-dependent probe amplification and quantitative polymerase chain reaction  2010  10.1089/gtmb.2009.0188,
72,2010,Functional PMS2 hybrid alleles containing a pseudogene-specific missense variant trace back to a single ancient intrachromosomal recombination event. Human Mutation. 31:552-560.  2010  10.1002/humu.21223,
73,2010,Error in a study of the clinical and mutational spectrum of neurofibromatosis type 1-like syndrome  2010  10.1001/jama.2010.827,
74,2010,NF1 Is a Tumor Suppressor in Neuroblastoma that Determines Retinoic Acid Response and Disease Outcome. Cell. 142:218-229.  2010  10.1016/j.cell.2010.06.004,
75,2010,Radiation-induced rhabdomyosarcoma of the brainstem in a patient with neurofibromatosis Type 2: Case report. Journal of Neurosurgery. 112:81-87.  2010  10.3171/2009.6.JNS09105,
76,2009,Clinical and mutational spectrum of neurofibromatosis type 1-like syndrome  2009  10.1001/jama.2009.1663,
77,2009,Two sporadic spinal neurofibromatosis patients with malignant peripheral nerve sheath tumour. European Journal of Medical Genetics. 52:409-414.  2009  10.1016/j.ejmg.2009.08.001,
78,2009,"Correction: Glomus tumors in neurofibromatosis type 1: Genetic, functional, and clinical evidence of a novel association (Cancer Research (2009) 69, (7393-7401)). Cancer Research. 69:8216.  2009  10.1158/0008-5472.CAN-69-20-COR1",
79,2009,"Glomus tumors in neurofibromatosis type 1: Genetic, functional, and clinical evidence of a novel association. Cancer Research. 69:7393-7401.  2009  10.1158/0008-5472.CAN-09-1752",
80,2009,Proteasomal and Genetic Inactivation of the NF1 Tumor Suppressor in Gliomagenesis. Cancer Cell. 16:44-54.  2009  10.1016/j.ccr.2009.05.009,
81,2009,Congenital pseudarthrosis of neurofibromatosis type 1: Impaired osteoblast differentiation and function and altered NF1 gene expression. BONE. 44:243-250.  2009  10.1016/j.bone.2008.10.050,
82,2009,Planning the human variome project: The Spain report. Human Mutation. 30:496-510.  2009  10.1002/humu.20972,
83,2008,NF1 mutational spectrum. Monographs in Human Genetics. 16:63-77.  2008  10.1159/000126545,
84,2008,Molecular characterization of a patient with an interstitial 1q deletion [del(1)(q24.1q25.3)] and distinctive skeletal abnormalities  2008  10.1002/ajmg.a.32550,
85,2008,Combined retinal hamartomas leading to the diagnosis of neurofibromatosis type 2. Ophthalmic Genetics. 29:133-138.  2008  10.1080/13816810802206507,
86,2008,RNA-based mutation analysis identifies an unusual MSH6 splicing defect and circumvents PMS2 pseudogene interference. Human Mutation. 29:299-305.  2008  10.1002/humu.20657,
87,2008,Clinical significance of a novel single nucleotide polymorphism in the 5′ untranslated region of the Rabphillin-3A-Like gene in colorectal adenocarcinoma. Frontiers in Bioscience. 13:1050-1061.  2008  10.2741/2742,
88,2008,Somatic mutation analysis in NF1 café au lait spots reveals two NF1 hits in the melanocytes. Journal of Investigative Dermatology. 128:1050-1053.  2008  10.1038/sj.jid.5701095,
89,2007,Germline loss-of-function mutations in SPRED1 cause a neurofibromatosis 1-like phenotype. Nature Genetics. 39:1120-1126.  2007  10.1038/ng2113,
90,2007,Extensive in silico analysis of NF1 splicing defects uncovers determinants for splicing outcome upon 5′ splice-site disruption. Human Mutation. 28:599-612.  2007  10.1002/humu.20493,
91,2007,An absence of cutaneous neurofibromas associated with a 3-bp inframe deletion in exon 17 of the NF1 gene (c.2970-2972 delAAT): Evidence of a clinically significant NF1 genotype-phenotype correlation. American Journal of Human Genetics. 80:140-151.  2007  10.1086/510781,
92,2007,Is pulmonary arterial hypertension in neurofibromatosis type 1 secondary to a plexogenic arteriopathy?. Chest. 132:798-808.  2007  10.1378/chest.06-3017,
93,2007,Mitotic recombination as evidence of alternative pathogenesis of gastrointestinal stromal tumours in neurofibromatosis type 1.. Journal of Medical Genetics. 44.  2007  10.1136/jmg.2006.043075,
94,2007,Molecular dissection of isolated disease features in mosaic neurofibromatosis type 1. American Journal of Human Genetics. 81:243-251.  2007  10.1086/519562,
95,2006,Conservation of hotspots for recombination in low-copy repeats associated with the NF1 microdeletion. Nature Genetics. 38:1419-1423.  2006  10.1038/ng1920,
96,2006,Real-time quantitative allele discrimination assay using 3′ locked nucleic acid primers for detection of low-percentage mosaic mutations. Analytical Biochemistry. 359:144-146.  2006  10.1016/j.ab.2006.07.039,
97,2006,Comprehensive NF1 screening on cultured Schwann cells from neurofibromas. Human Mutation. 27:1030-1040.  2006  10.1002/humu.20389,
98,2006,Somatic loss of wild type NF1 allele in neurofibromas: Comparison of NF1 microdeletion and non-microdeletion patients  2006  10.1002/gcc.20353,
99,2006,Complete trisomy 17p syndrome in a girl with der(14)t(14;17)(p11.2;p11.2)  2006  10.1002/ajmg.a.31330,
100,2006,Café-au-lait spots in neurofibromatosis type 1 and in healthy control individuals: Hyperpigmentation of a different kind?. Archives of Dermatological Research. 297:439-449.  2006  10.1007/s00403-006-0644-6,
101,2006,Molecular pathogenesis of multiple gastrointestinal stromal tumors in NF1 patients. Human Molecular Genetics. 15:1015-1023.  2006  10.1093/hmg/ddl016,
102,2006,Neurofibromatosis type 1 protein and amyloid precursor protein interact in normal human melanocytes and colocalize with melanosomes. Journal of Investigative Dermatology. 126:653-659.  2006  10.1038/sj.jid.5700087,
103,2006,"Spectrum of single- and multiexon NF1 copy number changes in a cohort of 1,100 unselected NF1 patients  2006  10.1002/gcc.20289",
104,2006,"Neurofibromin binds to caveolin-1 and regulates ras, FAK, and Akt. Biochemical and Biophysical Research Communications. 340:1200-1208.  2006  10.1016/j.bbrc.2005.12.129",
105,2006,Double inactivation of NF1 in tibial pseudarthrosis. American Journal of Human Genetics. 79:143-148.  2006  10.1086/504441,
106,2006,Identification of novel deletion breakpoints bordered by segmental duplications in the NF1 locus using high resolution array-CGH. Journal of Medical Genetics. 43:28-38.  2006  10.1136/jmg.2005.033795,
107,2005,Neurofibromatosis-Noonan Syndrome: Molecular evidence of the concurrence of both disorders in a patient  2005  10.1002/ajmg.a.30813,
108,2005,Recent molecular insights in hereditary breast and ovarian cancer in Belgium. Tijdschrift voor Geneeskunde. 61:1053-1060.  2005  10.2143/tvg.61.14.1002236,
109,2005,Pitfalls of automated comparative sequence analysis as a single platform for routine clinical testing for NF1.. Journal of Medical Genetics. 42.  2005,
110,2005,An interstitial deletion of chromosome 7 at band q21: A case report and review  2005  10.1002/ajmg.a.30106,
111,2005,Comprehensive genomic analysis of PKHD1 mutations in ARPKD cohorts. Journal of Medical Genetics. 42:336-349.  2005  10.1136/jmg.2004.024489,
112,2005,Pigment cell-related manifestations in neurofibromatosis type 1: An overview. Pigment Cell and Melanoma Research. 18:13-24.  2005  10.1111/j.1600-0749.2004.00206.x,
113,2005,Deletions involving long-range conserved nongenic sequences upstream and downstream of FOXL2 as a novel disease-causing mechanism in blepharophimosis syndrome. American Journal of Human Genetics. 77:205-218.  2005  10.1086/432083,
114,2005,Familial pericentric inversion of chromosome 18: Behavioral abnormalities in patients heterozygous for either the dup(18p)/del(18q) or dup(18q)/del(18p) recombinant chromosome. European Journal of Human Genetics. 13:52-58.  2005  10.1038/sj.ejhg.5201281,
115,2004,Disruption of exonic splicing enhancer elements is the principal cause of exon skipping associated with seven nonsense or missense alleles of NF1. Human Mutation. 24:491-501.  2004  10.1002/humu.20103,
116,2004,Multiple myofibromas and an epidermal verrucous nevus in a child with neurofibromatosis type 1  2004  10.1159/000079894,
117,2004,The human FOXL2 mutation database. Human Mutation. 24:189-193.  2004  10.1002/humu.20079,
118,2004,BRCA1 and BRCA2 germline mutation spectrum and frequencies in Belgian breast/ovarian cancer families. British Journal of Cancer. 90:1244-1251.  2004  10.1038/sj.bjc.6601656,
119,2004,Neurofibromin is actively transported to the nucleus. FEBS Letters. 560:98-102.  2004  10.1016/S0014-5793(04)00078-X,
120,2004,A New Type of Autosomal Recessive Spondyloepiphyseal Dysplasia Tarda  2004  10.1002/ajmg.a.20419,
121,2004,A new type of autosomal recessive spondyloepiphyseal dysplasia tarda.  2004  10.1002/ajmg.a.20419,
122,2004,Genetic and clinical mosaicism in a patient with neurofibromatosis type 1. Human Genetics. 114:284-290.  2004  10.1007/s00439-003-1047-9,
123,2004,Mutations of VMD2 splicing regulators cause nanophthalmos and autosomal dominant vitreoretinochoroidopathy (ADVIRC). Investigative Ophthalmology and Visual Science. 45:3683-3689.  2004  10.1167/iovs.04-0550,
124,2003,Differentiating pathogenic mutations from polymorphic alterations in the splice sites of BRCA1 and BRCA2  2003  10.1002/gcc.10221,
125,2003,"FOXL2 and BPES: Mutational hotspots, phenotypic variability, and revision of the genotype-phenotype correlation. American Journal of Human Genetics. 72:478-487.  2003  10.1086/346118",
126,2003,Independent NF1 mutations in two large families with spinal neurofibromatosis [1]. Journal of Medical Genetics. 40:122-126.  2003,
127,2003,Evidence for involvement of a tumor suppressor gene on 1p in malignant peripheral nerve sheath tumors. Cancer Genetics. 143:120-124.  2003  10.1016/S0165-4608(02)00853-1,
128,2003,"Interphase FISH, the structure of reciprocal translocation chromosomes and physical mapping studies rule out the duplication of the NF1 gene at 17q11.2. A reply. Human Genetics. 113:188-190.  2003  10.1007/s00439-003-0955-z",
129,2002,Chromosomal radiosensitivity in breast cancer patients with a known or putative genetic predisposition. British Journal of Cancer. 87:1379-1385.  2002  10.1038/sj.bjc.6600628,
130,2002,Evolution and expression of FOXL2 [1]. Journal of Medical Genetics. 39:916-921.  2002,
131,2002,Does monosymptomatic enuresis exist? A molecular genetic exploration of 32 families with enuresis/incontinence. BJU International. 90:76-83.  2002  10.1046/j.1464-410X.2002.02775.x,
132,2002,Quantification of NF1 transcripts reveals novel highly expressed splice variants. FEBS Letters. 522:71-76.  2002  10.1016/S0014-5793(02)02887-9,
133,2002,Complex splicing generates great diversity in human NFI transcripts. BMC Genomics. 3.  2002  10.1186/1471-2164-3-13,
134,2002,Kallmann syndrome in a patient with congenital spherocytosis and an interstitial 8p11.2 deletion  2002  10.1002/ajmg.10295,
135,2002,"Aberrant splicing in several human tumors in the tumor suppressor genes neurofibromatosis type 1, neurofibromatosis type 2, and tuberous sclerosis 2. Cancer Research. 62:1503-1509.  2002",
136,2002,Strategies for prenatal and preimplantation genetic diagnosis in Marfan syndrome (MFS). Prenatal Diagnosis. 22:22-28.  2002  10.1002/pd.223,
137,2002,A patient severely affected by spinal neurofibromas carries a recurrent splice site mutation in the NF1 gene. European Journal of Human Genetics. 10:334-338.  2002  10.1038/sj.ejhg.5200807,
138,2002,FOXL2 mutation screening in a large panel of POF patients and XX males.. Journal of Medical Genetics. 39.  2002  10.1136/jmg.39.8.e43,
139,2002,Pathological splice mutations outside the invariant AG/GT splice sites of BRCA1 exon 5 increase alternative transcript levels in the 5′ end of the BRCA1 gene. Oncogene. 21:4171-4175.  2002  10.1038/sj.onc.1205520,
140,2002,Strategies for prenatal and preimplantation genetic diagnosis in Marfan syndrome (MFS).. Prenatal Diagnosis. 22:22-28.  2002,
141,2001,Spectrum of FOXL2 gene mutations in blepharophimosis-ptosis-epicanthus inversus (BPES) families demonstrates a genotype-phenotype correlation. Human Molecular Genetics. 10:1591-1600.  2001  10.1093/hmg/10.15.1591,
142,2001,"Cloning and characterization of human WDR10, a novel gene located at 3q21 encoding a WD-repeat protein that is highly expressed in pituitary and testis  2001  10.1089/10445490150504684",
143,2001,Association between Cys282Tyr missense mutation and haptoglobin phenotype polymorphism in patients with chronic hepatitis C. European Journal of Gastroenterology and Hepatology. 13:1077-1081.  2001  10.1097/00042737-200109000-00014,
144,2001,Carrier screening for cystic fibrosis in a prenatal setting  2001  10.1089/109065701753145574,
145,2001,Diverse prevalence of large deletions within the OA1 gene in ocular albinism type 1 patients from Europe and North America. Human Genetics. 108:51-54.  2001  10.1007/s004390000440,
146,2000,A high occurrence of BRCA1 and BRCA2 mutations among Czech hereditary breast and breast-ovarian cancer families.  2000,
147,2000,Occurrence of scleroderma in monozygotic twins. Journal of Rheumatology. 27:2267-2269.  2000,
148,2000,"Identification of BPESC1, a novel gene disrupted by a balanced chromosomal translocation, t(3;4)(q23;p15.2), in a patient with BPES. Genomics. 68:296-304.  2000  10.1006/geno.2000.6304",
