,Teaching Activities
0,NFH792L - Residency: Family NP (Summer Term 2021)  2021
1,NUR740 - Health Policy and Politics (Summer Term 2021)  2021
2,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
3,NUR606 - Translating Evidence into Prac (Spring Term 2021)  2021
4,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
5,NUR606 - Translating Evidence into Prac (Fall Term 2020)  2020
6,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2020)  2020
7,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
8,NFH685L - Pract I: Family Nurse Pract (Fall Term 2019)  2019
9,NFH692L - Residency: Family Nurs Pract (Summer Term 2019)  2019
10,NFH686L - Pract II: Family Nurse Pract (Spring Term 2019)  2019
11,NFH685L - Pract I: Family Nurse Pract (Fall Term 2018)  2018
12,NFH692L - Residency: Family Nurs Pract (Summer Term 2018)  2018
13,NFH686L - Pract II: Family Nurse Pract (Spring Term 2018)  2018
14,NFH692L - Residency: Family Nurs Pract (Summer Term 2017)  2017
15,NFH686L - Pract II: Family Nurse Pract (Spring Term 2017)  2017
16,NFH685L - Pract I: Family Nurse Pract (Fall Term 2016)  2016
17,NFH692L - Residency: Family Nurs Pract (Summer Term 2016)  2016
18,NUR004 - UAB Hospital Orientation (Summer Term 2016)  2016
19,NFH686L - Pract II: Family Nurse Pract (Spring Term 2016)  2016
20,NFH685L - Pract I: Family Nurse Pract (Fall Term 2015)  2015
21,NFH692L - Residency: Family Nurs Pract (Summer Term 2015)  2015
22,NFH686L - Pract II: Family Nurse Pract (Spring Term 2015)  2015
23,NFH692L - Residency: Family Nurs Pract (Fall Term 2014)  2014
24,NFH686L - Pract II: Family Nurse Pract (Summer Term 2014)  2014
25,NFH685L - Pract I: Family Nurse Pract (Spring Term 2014)  2014
