,Teaching Activities
0,OPT221L - CEVS II Lab (Spring Term 2014)  2014
1,OPT323 - Injections/Minor Surgical Proc (Spring Term 2014)  2014
2,OPT323L - Injections/Minor Surg Proc Lab (Spring Term 2014)  2014
3,OPT323L - Injections/Minor Surg Proc Lab (Spring Term 2014)  2014
4,OPT323L - Injections/Minor Surg Proc Lab (Spring Term 2014)  2014
5,OPT323L - Injections/Minor Surg Proc Lab (Spring Term 2014)  2014
6,OPT327 - Ophthalmic Lasers (Spring Term 2014)  2014
7,CLN311 - Primary Eye Care Clin II (Fall Term 2013)  2013
8,CLN311 - Primary Eye Care Clin II (Fall Term 2013)  2013
9,CLN311 - Primary Eye Care Clin II (Fall Term 2013)  2013
10,CLN311 - Primary Eye Care Clin II (Fall Term 2013)  2013
11,CLN311 - Primary Eye Care Clin II (Fall Term 2013)  2013
12,CLN311 - Primary Eye Care Clin II (Fall Term 2013)  2013
13,CLN312 - Clinical Rotation II (Fall Term 2013)  2013
14,CLN312 - Clinical Rotation II (Fall Term 2013)  2013
15,CLN312 - Clinical Rotation II (Fall Term 2013)  2013
16,CLN312 - Clinical Rotation II (Fall Term 2013)  2013
17,CLN312 - Clinical Rotation II (Fall Term 2013)  2013
18,CLN312 - Clinical Rotation II (Fall Term 2013)  2013
19,OPT211L - CEVS I Lab (Fall Term 2013)  2013
20,OPT211L - CEVS I Lab (Fall Term 2013)  2013
21,CLN231 - Primary Eye Care Clinic I (Summer Term 2013)  2013
22,CLN231 - Primary Eye Care Clinic I (Summer Term 2013)  2013
23,CLN231 - Primary Eye Care Clinic I (Summer Term 2013)  2013
24,CLN331 - Primary Eye Care Clinic IV (Summer Term 2013)  2013
25,OPT323 - Injections/Minor Surgical Proc (Spring Term 2013)  2013
26,OPT323L - Injections/Minor Surg Proc Lab (Spring Term 2013)  2013
27,CLN311 - Primary Eye Care Clin II (Fall Term 2012)  2012
28,CLN311 - Primary Eye Care Clin II (Fall Term 2012)  2012
29,CLN311 - Primary Eye Care Clin II (Fall Term 2012)  2012
30,CLN311 - Primary Eye Care Clin II (Fall Term 2012)  2012
31,CLN311 - Primary Eye Care Clin II (Fall Term 2012)  2012
32,CLN311 - Primary Eye Care Clin II (Fall Term 2012)  2012
33,CLN312 - Clinical Rotation II (Fall Term 2012)  2012
34,CLN312 - Clinical Rotation II (Fall Term 2012)  2012
35,CLN312 - Clinical Rotation II (Fall Term 2012)  2012
36,CLN312 - Clinical Rotation II (Fall Term 2012)  2012
37,CLN312 - Clinical Rotation II (Fall Term 2012)  2012
38,CLN312 - Clinical Rotation II (Fall Term 2012)  2012
39,OPT211 - CEVS I (Fall Term 2012)  2012
40,OPT211L - CEVS I Lab (Fall Term 2012)  2012
41,OPT211L - CEVS I Lab (Fall Term 2012)  2012
42,OPT315 - Physical Diagnosis (Fall Term 2012)  2012
43,OPT315L - Physical Diagnosis Lab (Fall Term 2012)  2012
44,OPT315L - Physical Diagnosis Lab (Fall Term 2012)  2012
45,CLN251 - Primary Eye Care Clinic I (Summer Term 2012)  2012
46,CLN251 - Primary Eye Care Clinic I (Summer Term 2012)  2012
47,CLN251 - Primary Eye Care Clinic I (Summer Term 2012)  2012
48,CLN251 - Primary Eye Care Clinic I (Summer Term 2012)  2012
49,CLN251 - Primary Eye Care Clinic I (Summer Term 2012)  2012
50,CLN252 - Clinical Rotation I (Summer Term 2012)  2012
51,CLN252 - Clinical Rotation I (Summer Term 2012)  2012
52,CLN252 - Clinical Rotation I (Summer Term 2012)  2012
53,CLN252 - Clinical Rotation I (Summer Term 2012)  2012
54,CLN252 - Clinical Rotation I (Summer Term 2012)  2012
55,OPT334 - Injections/Minor Surgical Proc (Spring Term 2012)  2012
56,OPT334L - Injections/Minor Surg Proc Lab (Spring Term 2012)  2012
57,OPT334L - Injections/Minor Surg Proc Lab (Spring Term 2012)  2012
58,OPT334L - Injections/Minor Surg Proc Lab (Spring Term 2012)  2012
59,OPT334L - Injections/Minor Surg Proc Lab (Spring Term 2012)  2012
60,OPT242L - Advanced Clin Procedures I Lab (Spring Term 2012)  2012
61,OPT242L - Advanced Clin Procedures I Lab (Spring Term 2012)  2012
62,CLN331 - Primary Eye Care Clinic IV (Spring Term 2012)  2012
63,CLN331 - Primary Eye Care Clinic IV (Spring Term 2012)  2012
64,CLN331 - Primary Eye Care Clinic IV (Spring Term 2012)  2012
65,CLN331 - Primary Eye Care Clinic IV (Spring Term 2012)  2012
66,CLN331 - Primary Eye Care Clinic IV (Spring Term 2012)  2012
67,CLN331 - Primary Eye Care Clinic IV (Spring Term 2012)  2012
68,CLN332 - Clinical Rotation IV (Spring Term 2012)  2012
69,CLN332 - Clinical Rotation IV (Spring Term 2012)  2012
70,CLN332 - Clinical Rotation IV (Spring Term 2012)  2012
71,CLN332 - Clinical Rotation IV (Spring Term 2012)  2012
72,CLN332 - Clinical Rotation IV (Spring Term 2012)  2012
73,CLN332 - Clinical Rotation IV (Spring Term 2012)  2012
74,CLN321 - Primary Eye Care Clinic III (Fall Term 2011)  2011
75,CLN321 - Primary Eye Care Clinic III (Fall Term 2011)  2011
76,CLN321 - Primary Eye Care Clinic III (Fall Term 2011)  2011
77,CLN321 - Primary Eye Care Clinic III (Fall Term 2011)  2011
78,CLN321 - Primary Eye Care Clinic III (Fall Term 2011)  2011
79,CLN321 - Primary Eye Care Clinic III (Fall Term 2011)  2011
80,CLN322 - Clinical Rotation III (Fall Term 2011)  2011
81,CLN322 - Clinical Rotation III (Fall Term 2011)  2011
82,CLN322 - Clinical Rotation III (Fall Term 2011)  2011
83,CLN322 - Clinical Rotation III (Fall Term 2011)  2011
84,CLN322 - Clinical Rotation III (Fall Term 2011)  2011
85,CLN322 - Clinical Rotation III (Fall Term 2011)  2011
86,OPT221 - CEVS III (Fall Term 2011)  2011
87,OPT221L - CEVS III Lab (Fall Term 2011)  2011
88,OPT221L - CEVS III Lab (Fall Term 2011)  2011
89,CLN311 - Primary Eye Care Clin II (Fall Term 2011)  2011
90,CLN311 - Primary Eye Care Clin II (Fall Term 2011)  2011
91,CLN311 - Primary Eye Care Clin II (Fall Term 2011)  2011
92,CLN311 - Primary Eye Care Clin II (Fall Term 2011)  2011
93,CLN311 - Primary Eye Care Clin II (Fall Term 2011)  2011
94,CLN312 - Clinical Rotation II (Fall Term 2011)  2011
95,CLN312 - Clinical Rotation II (Fall Term 2011)  2011
96,CLN312 - Clinical Rotation II (Fall Term 2011)  2011
97,CLN312 - Clinical Rotation II (Fall Term 2011)  2011
98,CLN312 - Clinical Rotation II (Fall Term 2011)  2011
99,CLN312 - Clinical Rotation II (Fall Term 2011)  2011
100,OPT211 - CEVS II (Fall Term 2011)  2011
101,OPT211L - CEVS II Lab (Fall Term 2011)  2011
102,OPT211L - CEVS II Lab (Fall Term 2011)  2011
103,OPT151 - Clin Eval of the Vision System (Summer Term 2011)  2011
104,OPT151L - Clin Evaluation of Vis Sys Lab (Summer Term 2011)  2011
105,OPT151L - Clin Evaluation of Vis Sys Lab (Summer Term 2011)  2011
