,Teaching Activities
0,NUR613 - Pharmacology and Therapeutics (Spring Term 2021)  2021
1,NUR613 - Pharmacology and Therapeutics (Spring Term 2021)  2021
2,NUR612 - Advanced Pathophysiology (Fall Term 2020)  2020
3,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2020)  2020
4,NUR613 - Pharmacology and Therapeutics (Spring Term 2020)  2020
5,NUR612 - Advanced Pathophysiology (Fall Term 2019)  2019
6,NUR612 - Advanced Pathophysiology (Fall Term 2019)  2019
7,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2019)  2019
8,NUR612 - Advanced Pathophysiology (Summer Term 2019)  2019
9,NUR613 - Pharmacology and Therapeutics (Spring Term 2019)  2019
10,NUR612 - Advanced Pathophysiology (Fall Term 2018)  2018
11,NUR613 - Pharmacology and Therapeutics (Spring Term 2018)  2018
