,Investigator On
0,Adult Life Predictors of Genitourinary Disorders  awarded by  Kaiser Permanente
1,An Exploratory Study of Factors That Influence Perceived Discrimination and Hypertension Management in African Americans  awarded by  Johnson (Robert Wood) Foundation
2,"An Intervention to Address Racial Bias in Non-Physician Healthcare Staff  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
3,"Coronary Artery Risk Development in Young Adults (CARDIA) Study - Birmingham, Alabama Field Center  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
4,"Coronary Artery Risk Development in Young Adults (CARDIA) Study - Coordinating Center  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
5,Epidemiology: Oxidation Stress and Early Atherosclerosis  awarded by  University of Minnesota
6,Heart Failure with Preserved EF: Female sex-hormones and cycle GMP-PKG Modula  awarded by  Johns Hopkins University
7,Lactation and Incidence of Diabetes Mellitus in CARDIA Women  awarded by  Kaiser Permanente
8,"Longitudinal Studies of Coronary Heart Disease Risk Factors in Young Adults (CARDIA) - Coordinating Center  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
9,Pregnancy-Related Risk Factors and Glucose Intolerance in Women During Midlife  awarded by  Kaiser Permanente
10,"Private Grant  awarded by  Merck, Sharp, and Dohme (MSD) Research Foundation"
11,The Alabama Care Plan: Assessing the Impact of Regional Care Organizations on Diabetes Outcomes in a Sample of Alabama Medicaid Recipients  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
12,UAB Diabetes Research Center  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
13,UAB Diabetes Research Center - Interventions and Translation Core  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
