,Teaching Activities
0,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
1,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2017)  2017
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2016)  2016
4,NUR508L - Clin Prac Chldbear/Chldrea Fam (Summer Term 2016)  2016
5,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2015)  2015
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2015)  2015
7,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2014)  2014
8,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2014)  2014
9,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
10,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2013)  2013
11,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2013)  2013
