,Year,Title,Altmetric
0,2008,DSPP effects on in vivo bone mineralization. BONE. 43:983-990.  2008  10.1016/j.bone.2008.08.110,
1,2008,Tissue- and cell-specific alternative splicing of NFIC  2008  10.1159/000152912,
2,2008,Expression and processing of small integrin-binding ligand N-linked glycoproteins in mouse odontoblastic cells. Archives of Oral Biology. 53:879-889.  2008  10.1016/j.archoralbio.2008.05.005,
3,2008,Bone morphogenetic protein 2 mediates dentin sialophosphoprotein expression and odontoblast differentiation via NF-Y signaling. Journal of Biological Chemistry. 283:19359-19370.  2008  10.1074/jbc.M709492200,
4,2008,Fluoride at non-toxic dose affects odontoblast gene expression in vitro. Toxicology. 249:26-34.  2008  10.1016/j.tox.2008.04.013,
5,2008,PDGF up-regulates CSF-1 gene transcription in ameloblast-like cells. Journal of Dental Research. 87:33-38.  2008  10.1177/154405910808700105,
6,2007,Isolation and characterization of multipotent human periodontal ligament stem cells  2007  10.1111/j.1601-6343.2007.00399.x,
7,2007,Vitamin D receptor deficiency affects dentin maturation in mice. Archives of Oral Biology. 52:1172-1179.  2007  10.1016/j.archoralbio.2007.06.010,
8,2007,MEPE expression in osteocytes during orthodontic tooth movement. Archives of Oral Biology. 52:684-690.  2007  10.1016/j.archoralbio.2006.12.010,
9,2007,Targeted expression of csCSF-1 in op/op mice ameliorates tooth defects. Archives of Oral Biology. 52:432-443.  2007  10.1016/j.archoralbio.2006.10.018,
10,2006,Molecular basis of human dentin diseases  2006  10.1002/ajmg.a.31359,
11,2006,In vitro cytotoxicity of a low-shrinkage polymerizable liquid crystal resin monomer  2006  10.1002/jbm.b.30504,
12,2006,Ultrastructural and immunocytochemical characterization of immortalized odontoblast MO6-G3. International Endodontic Journal. 39:453-463.  2006  10.1111/j.1365-2591.2006.01089.x,
13,2006,In vitro cytotoxicity of a remineralizing resin-based calcium phosphate cement. Dental Materials. 22:338-345.  2006  10.1016/j.dental.2005.05.004,
14,2005,Expression and regulation of the Msx1 natural antisense transcript during development. Nucleic Acids Research. 33:5208-5218.  2005  10.1093/nar/gki831,
15,2005,Dentin sialoprotein and dentin phosphoprotein overexpression during amelogenesis. Journal of Biological Chemistry. 280:31991-31998.  2005  10.1074/jbc.M502991200,
16,2005,Inactivation of Nek1 protein kinase signaling in Kat2J mice leads to skeletal defects.. Journal of Bone and Mineral Research. 20:S40-S40.  2005,
17,2005,Microarray analysis of differential gene expression in OSCC cell lines.. Journal of Bone and Mineral Research. 20:S213-S213.  2005,
18,2005,Differential regulation of dentin sialophosphoprotein expression by Runx2 during odontoblast cytodifferentiation.. Journal of Biological Chemistry. 280:29717-29727.  2005  10.1074/jbc.M502929200,
19,2005,Effects of sodium fluoride on the actin cytoskeleton of murine ameloblasts. Archives of Oral Biology. 50:681-688.  2005  10.1016/j.archoralbio.2004.11.021,
20,2005,Discovering the Future with a Smile. Journal of Dental Research. 84:582-583.  2005  10.1177/154405910508400701,
21,2005,Mouse amelogenin exons 8 and 9: Sequence analysis and protein distribution. Journal of Dental Research. 84:613-617.  2005  10.1177/154405910508400706,
22,2005,DLX3 mutation associated with autosomal dominant amelogenesis imperfecta with taurodontism  2005  10.1002/ajmg.a.30521,
23,2005,Dentin phosphoprotein compound mutation in dentin sialophosphoprotein causes dentinogenesis imperfecta type III  2005  10.1002/ajmg.a.30460,
24,2005,Altered gene expression in human cleidocranial dysplasia dental pulp cells. Archives of Oral Biology. 50:227-236.  2005  10.1016/j.archoralbio.2004.10.014,
25,2005,"Modulation of 1?,25-dihydroxyvitamin D3-membrane associated, rapid response steroid binding protein expression in mouse odontoblasts by 1?,25-(OH)2D3. Journal of Cellular Biochemistry. 94:139-152.  2005  10.1002/jcb.20275",
26,2004,Regulation of the cell type-specific dentin sialophosphoprotein gene expression in mouse odontoblasts by a novel transcription repressor and an activator CCAAT-binding factor. Journal of Biological Chemistry. 279:42182-42191.  2004  10.1074/jbc.M402476200,
27,2004,"Deletion of Dentin Matrix Protein-1 Leads to a Partial Failure of Maturation of Predentin into Dentin, Hypomineralization, and Expanded Cavities of Pulp and Root Canal during Postnatal Tooth Development. Journal of Biological Chemistry. 279:19141-19148.  2004  10.1074/jbc.m400490200",
28,2004,Binding of two nuclear factors to a novel silencer element in human dentin matrix protein 1 (DMP1) promoter regulates the cell type-specific DMP1 gene expression. Journal of Cellular Biochemistry. 92:332-349.  2004  10.1002/jcb.20051,
