,Teaching Activities
0,DENT2120 - Genetics (Fall Term 2016)  2016
1,DENT2120 - Genetics (Fall Term 2015)  2014 - 2015
2,DENT2120 - Genetics (Fall Term 2014)  2014
3,DENT2120 - Genetics (Fall Term 2013)  2013
4,DENT2120 - Genetics (Fall Term 2012)  2012
5,DENT2120 - Genetics (Fall Term 2011)  2011
6,CD721 - Oral & Skeletal BiologyJour (Fall Term 2011)  2011
7,DENT6100 - Research-Intensive Education (Spring Term 2011)  2011
8,PG750 - Genetics (Fall Term 2010)  2010
9,PG763 - Oral & Skeletal Bio Journal (Fall Term 2010)  2010
10,DENT6100 - Research-Intensive Education (Fall Term 2010)  2010
11,DENT2107 - Genetics (Fall Term 2010)  2010
12,CD721 - Oral & Skeletal BiologyJour (Fall Term 2010)  2010
13,DENT6100 - Research-Intensive Education (Spring Term 2010)  2010
14,DENT2107 - Genetics (Fall Term 2009)  2009
15,BME798 - Non-Dissertation Research (Summer Term 2008)  2008
16,BME798 - Non-Dissertation Research (Spring Term 2008)  2008
