,Teaching Activities
0,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
1,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2021)  2021
2,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2020)  2020
3,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2019)  2019
4,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2018)  2018
5,NCC685L - Clin Pr I Adv Ped Nur Acute Cr (Summer Term 2018)  2018
6,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2018)  2018
7,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Fall Term 2017)  2017
8,NCC685L - Clin Pr I Adv Ped Nur Acute Cr (Summer Term 2017)  2017
9,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2017)  2017
10,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Fall Term 2016)  2016
11,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2016)  2016
12,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2015)  2015
13,NDP622 - Dual Option Pediatrics II (Spring Term 2015)  2015
14,NDP624 - Dual Option Pediatric IV (Spring Term 2015)  2015
15,NCC623 - Adv Ped Nursing III Acute Care (Fall Term 2014)  2014
16,NDP621 - Dual Option Pediatric I (Fall Term 2014)  2014
17,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2014)  2014
18,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2014)  2014
19,NUR446L - Child Adolescent Practicum (Fall Term 2013)  2013
20,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
21,NUR446L - Child Adolescent Practicum (Spring Term 2013)  2013
