,Teaching Activities
0,EPI222 - Physical Activity and Obesity (Spring Term 2015)  2015
1,KIN133 - Aerobic Training (Spring Term 2015)  2015
2,KIN133 - Aerobic Training (Spring Term 2015)  2015
3,KIN133 - Aerobic Training (Spring Term 2015)  2015
4,KIN133 - Aerobic Training (Spring Term 2015)  2015
5,KIN133 - Aerobic Training (Spring Term 2015)  2015
6,KIN133 - Aerobic Training (Spring Term 2015)  2015
7,KIN133 - Aerobic Training (Spring Term 2015)  2015
8,KIN222 - Concepts of Health and Fitness (Spring Term 2015)  2015
9,EPI222 - Physical Activity and Obesity (Fall Term 2014)  2014
10,KIN133 - Aerobic Training (Fall Term 2014)  2014
11,KIN133 - Aerobic Training (Fall Term 2014)  2014
12,KIN133 - Aerobic Training (Fall Term 2014)  2014
13,KIN133 - Aerobic Training (Fall Term 2014)  2014
14,KIN133 - Aerobic Training (Fall Term 2014)  2014
15,KIN133 - Aerobic Training (Fall Term 2014)  2014
16,KIN133 - Aerobic Training (Fall Term 2014)  2014
17,KIN133 - Aerobic Training (Fall Term 2014)  2014
18,KIN222 - Concepts of Health and Fitness (Fall Term 2014)  2014
19,HE222 - Concepts of Health and Fitness (Spring Term 2014)  2014
20,PE133 - Aerobic Training (Spring Term 2014)  2014
21,PE133 - Aerobic Training (Spring Term 2014)  2014
22,PE133 - Aerobic Training (Spring Term 2014)  2014
23,PE133 - Aerobic Training (Spring Term 2014)  2014
24,PE133 - Aerobic Training (Spring Term 2014)  2014
25,PE133 - Aerobic Training (Spring Term 2014)  2014
26,PE133 - Aerobic Training (Spring Term 2014)  2014
27,PE133 - Aerobic Training (Spring Term 2014)  2014
28,EPI222 - Physical Activity and Obesity (Fall Term 2013)  2013
29,HE222 - Concepts of Health and Fitness (Fall Term 2013)  2013
30,PE133 - Aerobic Training (Fall Term 2013)  2013
31,PE133 - Aerobic Training (Fall Term 2013)  2013
32,PE133 - Aerobic Training (Fall Term 2013)  2013
33,PE133 - Aerobic Training (Fall Term 2013)  2013
34,PE133 - Aerobic Training (Fall Term 2013)  2013
35,PE133 - Aerobic Training (Fall Term 2013)  2013
36,PE133 - Aerobic Training (Fall Term 2013)  2013
37,PE133 - Aerobic Training (Fall Term 2013)  2013
38,EPI697 - Internship (Summer Term 2013)  2013
39,EPI632 - Molecular Gen Obesity (Spring Term 2013)  2013
40,EPI798 - Doctoral Directed Research (Spring Term 2013)  2013
41,HE222 - Concepts of Health and Fitness (Spring Term 2013)  2013
42,PE131 - Aerobics (Spring Term 2013)  2013
43,PE131 - Aerobics (Spring Term 2013)  2013
44,PE131 - Aerobics (Spring Term 2013)  2013
45,PE131 - Aerobics (Spring Term 2013)  2013
46,PE131 - Aerobics (Spring Term 2013)  2013
47,PE131 - Aerobics (Spring Term 2013)  2013
48,PE131 - Aerobics (Spring Term 2013)  2013
49,PE131 - Aerobics (Spring Term 2013)  2013
50,EPI697 - Internship (Fall Term 2012)  2012
51,HE222 - Concepts of Health and Fitness (Fall Term 2012)  2012
52,PE131 - Aerobics (Fall Term 2012)  2012
53,PE131 - Aerobics (Fall Term 2012)  2012
54,PE131 - Aerobics (Fall Term 2012)  2012
55,PE131 - Aerobics (Fall Term 2012)  2012
56,PE131 - Aerobics (Fall Term 2012)  2012
57,PE131 - Aerobics (Fall Term 2012)  2012
58,PE131 - Aerobics (Fall Term 2012)  2012
59,PE131 - Aerobics (Fall Term 2012)  2012
60,EPI699 - Project Research (Summer Term 2012)  2012
61,EPI632 - Molecular Gen Obesity (Spring Term 2012)  2012
62,EPI699 - Project Research (Spring Term 2012)  2012
63,HE222 - Concepts of Health and Fitness (Spring Term 2012)  2012
64,PE131 - Aerobics (Spring Term 2012)  2012
65,PE131 - Aerobics (Spring Term 2012)  2012
66,PE131 - Aerobics (Spring Term 2012)  2012
67,PE131 - Aerobics (Spring Term 2012)  2012
68,PE131 - Aerobics (Spring Term 2012)  2012
69,PE131 - Aerobics (Spring Term 2012)  2012
70,PE131 - Aerobics (Spring Term 2012)  2012
71,PE131 - Aerobics (Spring Term 2012)  2012
72,GBS756 - Cardiometabolic Dis JC (Fall Term 2011)  2011
73,PE131 - Aerobics (Fall Term 2011)  2011
74,PE131 - Aerobics (Fall Term 2011)  2011
75,PE131 - Aerobics (Fall Term 2011)  2011
76,PE131 - Aerobics (Fall Term 2011)  2011
77,PE131 - Aerobics (Fall Term 2011)  2011
78,PE131 - Aerobics (Fall Term 2011)  2011
79,PE131 - Aerobics (Fall Term 2011)  2011
80,PE131 - Aerobics (Fall Term 2011)  2011
81,EPI632 - Molecular Gen Obesity (Spring Term 2011)  2011
