,Teaching Activities
0,EGR150 - Computer Meth in Engineering (Spring Term 2020)  2020
1,EGR150 - Computer Meth in Engineering (Fall Term 2019)  2019
2,EGR150 - Computer Meth in Engineering (Fall Term 2019)  2019
3,EGR150 - Computer Meth in Engineering (Summer Term 2019)  2019
4,EGR150 - Computer Meth in Engineering (Spring Term 2019)  2019
5,EGR150 - Computer Meth in Engineering (Spring Term 2019)  2019
6,EGR150 - Computer Meth in Engineering (Spring Term 2019)  2019
7,EGR150 - Computer Meth in Engineering (Spring Term 2019)  2019
8,EGR150 - Computer Meth in Engineering (Fall Term 2018)  2018
9,EGR150 - Computer Meth in Engineering (Fall Term 2018)  2018
10,EGR150 - Computer Meth in Engineering (Summer Term 2018)  2018
11,EE316 - Electrical Networks (Summer Term 2008)  2008
12,EE316L - Electrical Networks Lab (Summer Term 2008)  2008
13,EE316L - Electrical Networks Lab (Summer Term 2008)  2008
14,EE314 - Electrical Circuits (Spring Term 2008)  2008
