,Year,Title,Altmetric
0,2018,Munchausen by Proxy: A Qualitative Investigation into Online Perceptions of Medical Child Abuse. Journal of Forensic Sciences. 63:771-775.  2018  10.1111/1556-4029.13610,
1,2016,Pets and human suicide. Journal of the American Veterinary Medical Association. 249:740-741.  2016  10.2460/javma.249.7.740,
2,2016,Factitious disorder: A systematic review of 455 cases in the professional literature. General Hospital Psychiatry. 41:20-28.  2016  10.1016/j.genhosppsych.2016.05.002,
3,2016,Munchausen by proxy by internet and pets  2016  10.1136/vr.i3450,
4,2016,More research needed for munchausen by proxy and pets. Journal of the American Veterinary Medical Association. 248:1229-1230.  2016  10.2460/javma.248.11.1229,
5,2016,Malingering by Proxy: A Literature Review and Current Perspectives. Journal of Forensic Sciences. 61:171-176.  2016  10.1111/1556-4029.12977,
6,2013,"Somatoform, Factitious, and Related Diagnoses in the National Hospital Discharge Survey: Addressing the Proposed DSM-5 Revision. Psychosomatics. 54:142-148.  2013  10.1016/j.psym.2012.08.013",
7,2012,Factitious Disorder by Proxy in Educational Settings: A Review. Educational Psychology Review. 24:47-61.  2012  10.1007/s10648-011-9180-9,
8,2012,Pretense of a Paradox: Factitious Intersex Conditions on the Internet  2012  10.1080/19317611.2011.629287,
9,2011,Munchausen by proxy by internet. Child Abuse and Neglect. 35:965-966.  2011  10.1016/j.chiabu.2011.05.020,
10,2011,A Case of Factitious Pedophilia. Journal of Forensic Sciences. 56:1380-1382.  2011  10.1111/j.1556-4029.2011.01804.x,
11,2011,Munchausen by Internet: Current Perspectives and Three New Cases. Psychosomatics. 52:185-189.  2011  10.1016/j.psym.2010.11.005,
12,2010,Physician-based estimates of medically unexplained symptoms: A comparison of four case definitions. Family Practice. 27:487-493.  2010  10.1093/fampra/cmq051,
13,2009,The case of factitious disorder versus malingering what are the distinctions?  2009,
14,2009,"The A, B, C's of factitious disorder: A response to Turner. MedGenMed : Medscape general medicine. 11.  2009",
15,2008,Factitious usher syndrome: A new type of factitious disorder. MedGenMed : Medscape general medicine. 10.  2008,
16,2008,Psychiatric and behavioral correlates of factitious blindness. Comprehensive Psychiatry. 49:159-162.  2008  10.1016/j.comppsych.2007.08.010,
17,2007,Malingering in the Medical Setting. Psychiatric Clinics of North America. 30:645-662.  2007  10.1016/j.psc.2007.07.007,
18,2007,Beyond Munchausen syndrome by proxy [1]. Pediatrics (Spanish Edition). 120:1217-1218.  2007  10.1542/peds.2007-1917,
19,2007,Renal and urologic manifestations of pediatric condition falsification/ Munchausen by proxy. Pediatric Nephrology. 22:849-856.  2007  10.1007/s00467-007-0431-4,
20,2007,"Factitious disorder: Detection, diagnosis, and forensic implications  2007",
21,2007,"Legal issues surrounding the exposure of ""Munchausen by Internet"" [2]. Psychosomatics. 48:451-452.  2007  10.1176/appi.psy.48.5.451-a",
22,2007,Mastectomy resulting from factitious disorder [3]. Psychosomatics. 48:361.  2007  10.1176/appi.psy.48.4.361,
23,2006,Recovery from Munchausen syndrome [2]. Southern Medical Journal. 99:1398-1399.  2006  10.1097/01.smj.0000232977.80118.89,
24,2006,Serial factitious disorder and Munchausen by proxy in pregnancy. International Journal of Clinical Practice. 60:1675-1678.  2006  10.1111/j.1742-1241.2006.00975.x,
25,2006,Job-hopping and factitious victimization [2]. Southern Medical Journal. 99:1142-1143.  2006  10.1097/01.smj.0000240698.78443.41,
26,2006,Emerging concerns about Iran's scientific and medical future  2006  10.1016/S0140-6736(06)69403-8,
27,2006,Mathematical modeling of the course and prognosis of factitious disorders: A game-theoretic approach. Journal of Theoretical Biology. 240:48-53.  2006  10.1016/j.jtbi.2005.08.025,
28,2002,Munchausen by Proxy in an international context. Child Abuse and Neglect. 26:509-524.  2002  10.1016/S0145-2134(02)00327-7,
29,2001,Prophylactic bilateral radical mastectomy resulting from factitious disorder.. Psychosomatics. 42:519-521.  2001  10.1176/appi.psy.42.6.519,
30,2001,"A case of factitious disorder by proxy: The role of the health-care system, diagnostic dilemmas, and family dynamics. Harvard Review of Psychiatry. 9:124-135.  2001  10.1080/10673220127886",
31,2000,Munchausen by Internet: Detecting Factitious Illness and Crisis on the Internet. Southern Medical Journal. 93:669-672.  2000  10.1097/00007611-200093070-00006,
32,2000,Web alert.. Current Psychiatry Reports. 2:367-368.  2000  10.1007/s11920-000-0014-6,
33,1995,Factitious Disorders and Fraud. Psychosomatics. 36:509-510.  1995  10.1016/S0033-3182(95)71638-3,
34,1995,Malingered pregnancy. Southern Medical Journal. 88:376.  1995  10.1097/00007611-199503000-00028,
35,1994,Liejacking  1994  10.1001/jama.1994.03510440034019,
36,1994,Deceiving others/deceiving oneself: Four cases of factitious rape. Southern Medical Journal. 87:736-738.  1994  10.1097/00007611-199407000-00012,
37,1994,Denial in Munchausen syndrome by proxy: the consulting psychiatrist's dilemma.. International Journal of Psychiatry in Medicine. 24:121-128.  1994  10.2190/1B42-9RD9-H1PE-7UVF,
38,1994,The Costs of Factitious Disorders. Psychosomatics. 35:506-507.  1994  10.1016/S0033-3182(94)71750-3,
39,1994,Therapeutic blood monitoring of tricyclic antidepressants. Southern Medical Journal. 87:101.  1994  10.1097/00007611-199401000-00026,
40,1991,Factitious cyclic hypersomnia: a new variant of factitious disorder.. Southern Medical Journal. 84:379-381.  1991  10.1097/00007611-199103000-00017,
41,1991,The Longing for Nurturance: A Case of Factitious Cancer. Psychosomatics. 32:226-228.  1991  10.1016/S0033-3182(91)72096-3,
