,Teaching Activities
0,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2021)  2021
1,NUR447L - Synthesis and Assim Practicum (Spring Term 2021)  2021
2,NUR447L - Synthesis and Assim Practicum (Spring Term 2021)  2021
3,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2021)  2021
4,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2020)  2020
5,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2020)  2020
6,NUR447L - Synthesis and Assim Practicum (Spring Term 2020)  2020
7,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2020)  2020
8,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
9,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
10,NUR447L - Synthesis and Assim Practicum (Summer Term 2019)  2019
11,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2019)  2019
12,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2019)  2019
13,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2018)  2018
14,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2018)  2018
15,NUR313L - Concepts Professional Nur Prac (Spring Term 2018)  2018
16,NUR518L - Synthesis Practicum in Nursing (Fall Term 2017)  2017
17,NUR506L - Clinical Pract Adult Patients (Summer Term 2017)  2017
