,Teaching Activities
0,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2021)  2021
1,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2020)  2020
2,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
3,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2019)  2019
4,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2019)  2019
5,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2018)  2018
6,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2018)  2018
7,NUR502L - Foundations Clinical Practice (Spring Term 2017)  2017
8,NUR506L - Clinical Pract Adult Patients (Summer Term 2016)  2016
9,NUR502L - Foundations Clinical Practice (Spring Term 2016)  2016
10,NUR506L - Clinical Pract Adult Patients (Summer Term 2015)  2015
11,NUR502L - Foundations Clinical Practice (Spring Term 2015)  2015
