,Year,Title,Altmetric
0,2009,A preliminary survey of impression trays used in the fabrication of fixed indirect restorations  2009  10.1111/j.1532-849X.2009.00493.x,
1,2006,Hardness and wear resistance of two resin composites cured with equivalent radiant exposure from a low irradiance LED and QTH light-curing units. American Journal of Dentistry. 19:31-36.  2006,
2,2003,Flexural modulus of commercially available flowable composite resin materials.. Journal of Dental Research. 82:B59-B59.  2003,
3,2002,Comparison of four luting agents used with an implant system.. Journal of Dental Research. 81:A413-A413.  2002,
4,2000,Cost-effectiveness or clinical speech recognition software: A parametric analysis.. Journal of Dental Research. 79:577-577.  2000,
5,2000,Degree of conversion of indirect resin composite by varying methods of cure.. Journal of Dental Research. 79:449-449.  2000,
6,2000,Tensile strength of elastomeric separators after cold sterilization.. Journal of Dental Research. 79:548-548.  2000,
7,2000,Wear of enamel opposing three esthetic materials and one alloy.. Journal of Dental Research. 79:280-280.  2000,
8,1999,Tensile bond strengths of provisional luting agents used with an implant system.. Journal of Prosthetic Dentistry. 81:510-514.  1999  10.1016/S0022-3913(99)70203-9,
9,1999,Vertical height loss: An investigation of four restorative materials opposing enamel  1999  10.1111/j.1532-849X.1999.tb00047.x,
10,1998,Tooth structure loss apical to preparations for fixed partial dentures when using self-limiting burs. Journal of Prosthetic Dentistry. 79:491-494.  1998  10.1016/S0022-3913(98)70167-2,
11,1998,Comparison of provisional luting agents used with an implant system.. Journal of Dental Research. 77:201-201.  1998,
12,1998,In vitro mechanical property comparison of four resins used for fabrication of provisional fixed restorations.. Journal of Prosthetic Dentistry. 80:158-162.  1998  10.1016/S0022-3913(98)70104-0,
13,1997,Evaluation of wear: Enamel opposing three ceramic materials and a gold alloy. Journal of Prosthetic Dentistry. 77:523-530.  1997  10.1016/S0022-3913(97)70146-X,
14,1997,Vortical height loss: An investigation of four restorative materials opposing enamel.. Journal of Dental Research. 76:389-389.  1997,
15,1996,Enamel wear when opposing three ceramics and a gold alloy.. Journal of Dental Research. 75:453-453.  1996,
16,1994,Comparison of shear bond strengths of two resin luting systems for a base and a high noble metal alloy bonded to enamel. Journal of Prosthetic Dentistry. 72:457-461.  1994  10.1016/0022-3913(94)90114-7,
