,Teaching Activities
0,DENT1265 - Preclinical Dentistry D1b (Spring Term 2021)  2020 - 2021
1,DENT1160 - Preclinical Dentistry D1a (Fall Term 2020)  2020
2,DENT1265 - Preclinical Dentistry D1b (Spring Term 2020)  2020
3,DENT1160 - Preclinical Dentistry D1a (Fall Term 2019)  2019
4,DENT1265 - Preclinical Dentistry D1b (Spring Term 2019)  2019
5,DENT1160 - Preclinical Dentistry D1a (Fall Term 2018)  2018
6,DENT1265 - Preclinical Dentistry D1b (Spring Term 2018)  2018
7,DENT1160 - Preclinical Dentistry D1a (Fall Term 2017)  2017
8,DENT1265 - Preclinical Dentistry D1b (Spring Term 2017)  2017
9,DENT1160 - Preclinical Dentistry D1a (Fall Term 2016)  2016
10,DENT1265 - Preclinical Dentistry D1b (Spring Term 2016)  2016
11,DENT1160 - Preclinical Dentistry D1a (Fall Term 2015)  2015
12,DENT1265 - Preclinical Dentistry D1b (Spring Term 2015)  2015
13,DENT1160 - Preclinical Dentistry D1a (Fall Term 2014)  2014
14,DENT1265R - Remediation Preclinic Dent D1b (Fall Term 2014)  2014
15,DENT1265 - Preclinical Dentistry D1b (Spring Term 2014)  2014
16,DENT1160 - Preclinical Dentistry D1a (Fall Term 2013)  2013
17,DENT1265 - PCD: Operative (Spring Term 2013)  2013
18,DENT1160 - PCD: Dental Anatomy (Fall Term 2012)  2012
19,DENT1265 - PCD: Operative (Fall Term 2012)  2012
20,DENT1265 - PCD: Operative (Spring Term 2012)  2012
21,DENT1160 - PCD: Dental Anatomy (Fall Term 2011)  2011
22,DENT1265 - PCD: Operative (Fall Term 2011)  2011
23,DENT1357 - Preclinical Operative Dent (Spring Term 2011)  2011
24,DENT1357 - Preclinical Operative Dent (Fall Term 2010)  2010
25,DENT1357 - Preclinical Operative Dent (Spring Term 2010)  2010
26,DENT1357 - Preclinical Operative Dent (Spring Term 2009)  2009
27,DENT1314 - Intro to Comp Care (Spring Term 2008)  2008
28,DENT1335 - Operative Dentistry (Spring Term 2008)  2008
29,DENT1357 - Preclinical Operative Dent (Spring Term 2008)  2008
30,DENT1237 - Operative Dentistry (Winter Term 2008)  2007 - 2008
31,DENT1247 - Intro to Comprehensive Care (Winter Term 2008)  2007 - 2008
32,DENT1257 - Preclinical Operative Dent (Winter Term 2008)  2007 - 2008
33,DENT1137 - Operative Dentistry (Fall Term 2007)  2007
34,DENT1157 - Preclinical Operative Dent (Fall Term 2007)  2007
